voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de Buet;DE BUET;BUET;331850540
CHEMIN;Chemin de Buet;DE BUET;BUET;331850467
CHEMIN;Chemin de Champ Guillot;DE CHAMP GUILLOT;GUILLOT;254034226
CHEMIN;Chemin de la Brevette;DE LA BREVETTE;BREVETTE;318377081
CHEMIN;Chemin de la Croix;DE LA CROIX;CROIX;125814511
CHEMIN;Chemin de la Rue;DE LA RUE;RUE;331850480
CHEMIN;Chemin des Blaises;DES BLAISES;BLAISES;125814374
CHEMIN;Chemin des Bruyères;DES BRUYERES;BRUYERES;125814513
CHEMIN;Chemin des Chagnons;DES CHAGNONS;CHAGNONS;125814371
CHEMIN;Chemin des Cours Basses;DES COURS BASSES;BASSES;125814369
CHEMIN;Chemin des Jeangrands;DES JEANGRANDS;JEANGRANDS;125814365
CHEMIN;Chemin des Petits;DES PETITS;PETITS;209170814
CHEMIN;Chemin des Rio;DES RIO;RIO;331850531
CHEMIN;Chemin du Bas Peroux;DU BAS PEROUX;PEROUX;331850460
CHEMIN;Chemin du Carré;DU CARRE;CARRE;344080502
CHEMIN;Chemin du Grand Curtil;DU GRAND CURTIL;CURTIL;125814375
CHEMIN;Chemin du Peroux;DU PEROUX;PEROUX;125814366
CHEMIN;Chemin du Ponthet;DU PONTHET;PONTHET;331850507
CHEMIN;Chemin du Roset;DU ROSET;ROSET;125814367
;Grande Route;GRANDE ROUTE;ROUTE;251129682
IMPASSE;Impasse de la Bascule;DE LA BASCULE;BASCULE;332733053
IMPASSE;Impasse du Curtil Thevenin;DU CURTIL THEVENIN;THEVENIN;332733049
PLACE;Place du Bas du Bief;DU BAS DU BIEF;BIEF;602540319
ROUTE;Route de Pont de Vaux;DE PONT DE VAUX;VAUX;288399911
ROUTE;Route de la Prairie;DE LA PRAIRIE;PRAIRIE;35019305,332732954,332732955,521254212,521254329
