voie;name;name_norm;last_word_norm;ways
;1-13 Chemin Florian;1 13 CHEMIN FLORIAN;FLORIAN;180864116
;Accès au Castel Florian;ACCES AU CASTEL FLORIAN;FLORIAN;373558753
ALLEE;Allée Victor Hugo;VICTOR HUGO;HUGO;287820162
ALLEE;Allée de la Tire;DE LA TIRE;TIRE;306887508
ALLEE;Allée des Charmilles;DES CHARMILLES;CHARMILLES;484334939
ALLEE;Allée du Château;DU CHATEAU;CHATEAU;26146418,26354733
AVENUE;Avenue Auguste-François-Dubois;AUGUSTE FRANCOIS DUBOIS;DUBOIS;391395024
AVENUE;Avenue Voltaire;VOLTAIRE;MEYRIN;8066999,8067000,8067020,100610183,427968198,427968199,498920276,498920277,625890900,625890910,670964226
AVENUE;Avenue de Vessy;DE VESSY;VESSY;8066992,22954903,68256219,68256225,68256227,68256229,481047027
AVENUE;Avenue des Alpes;DES ALPES;ALPES;31893075,31893078,31972794,31972795,67001540,67001547,68296808,652115998,652115999,652116000
AVENUE;Avenue des Sablonnières;DES SABLONNIERES;SABLONNIERES;31880024,70326880,160779106
AVENUE;Avenue des Sports;DES SPORTS;SPORTS;8067124,31963124,90889240,101485121,101485192
AVENUE;Avenue du Bijou;DU BIJOU;BIJOU;35437330,68296791,540685666
AVENUE;Avenue du Jura;DU JURA;JURA;4867947,4867948,5215630,31899131,68256224,101974165,427968200,427968201,427968202,484800539,485311324,485311325,485311328,485311329,485311330,485311331,485315357,485315361,485315362,656635726,656635732
CHEMIN;Chemin Florian;FLORIAN;MEYRIN;8066996,8470132,8470133,22954840,72215611,72215613
CHEMIN;Chemin Sur Grosse;SUR GROSSE;GROSSE;40920990
CHEMIN;Chemin de Bois-Candide;DE BOIS CANDIDE;CANDIDE;24952382,106550904,106550931,584469133,584469134
CHEMIN;Chemin de Collex;DE COLLEX;COLLEX;31863825,31880017,31880019,427968203,467584356
CHEMIN;Chemin de Colovrex;DE COLOVREX;COLOVREX;26149785
CHEMIN;Chemin de Levant;DE LEVANT;LEVANT;25779587,67001552
CHEMIN;Chemin de Valavran;DE VALAVRAN;VALAVRAN;31893067
CHEMIN;Chemin de Vireloup;DE VIRELOUP;VIRELOUP;31893071,482107634
CHEMIN;Chemin de la Bagasse;DE LA BAGASSE;BAGASSE;98295221
CHEMIN;Chemin de la Brunette;DE LA BRUNETTE;BRUNETTE;60562575,227753459,484800541
CHEMIN;Chemin de la Glycine;DE LA GLYCINE;GLYCINE;201924816,201924817
CHEMIN;Chemin de la Planche Brulée;DE LA PLANCHE BRULEE;BRULEE;8066994,8470136,106672456,106672503,328846314,484832303,484832332,484832333
CHEMIN;Chemin de la Planche Brûlée;DE LA PLANCHE BRULEE;BRULEE;35435800,35435841
CHEMIN;Chemin de la Poterie;DE LA POTERIE;POTERIE;26161491,26161506,484832320,485315359,485315360
CHEMIN;Chemin des Blaches;DES BLACHES;BLACHES;161626199
CHEMIN;Chemin des Bossons;DES BOSSONS;BOSSONS;452135665
CHEMIN;Chemin des Fleurs;DES FLEURS;FLEURS;31893066,67074817
CHEMIN;Chemin des Granges;DES GRANGES;GRANGES;5215183
CHEMIN;Chemin des Jargilières;DES JARGILIERES;JARGILIERES;35436413,57832784,146376703
CHEMIN;Chemin des Marais;DES MARAIS;MARAIS;31893080,31893084
CHEMIN;Chemin des Mûriers;DES MURIERS;MURIERS;35436891
CHEMIN;Chemin des Potiers;DES POTIERS;POTIERS;35436433,57832734,484800526,485311315
CHEMIN;Chemin des Prés-Jins;DES PRES JINS;JINS;24952397
CHEMIN;Chemin des Trois Noyers;DES TROIS NOYERS;NOYERS;26052767,106550938,106672509,571571562,571571563
CHEMIN;Chemin des Vergers;DES VERGERS;VERGERS;57832547
CHEMIN;Chemin du Cache-Mallet;DU CACHE MALLET;MALLET;482107635
CHEMIN;Chemin du Champ Rapin;DU CHAMP RAPIN;RAPIN;35435816
CHEMIN;Chemin du Cimetière;DU CIMETIERE;CIMETIERE;26354734,306887526,306887530,484334922
CHEMIN;Chemin du Gobé;DU GOBE;GOBE;60562578,467584362
CHEMIN;Chemin du Gué;DU GUE;GUE;31893070
CHEMIN;Chemin du Levant;DU LEVANT;LEVANT;31876528,31880026,67001543
CHEMIN;Chemin du Mont Blanc;DU MONT BLANC;BLANC;8067022
CHEMIN;Chemin du Nant;DU NANT;NANT;32204213,484832335
CHEMIN;Chemin du Pré Similien;DU PRE SIMILIEN;SIMILIEN;31899129
CHEMIN;Chemin du Pré-Rapin;DU PRE RAPIN;RAPIN;440808630
CHEMIN;Chemin du Terraillet;DU TERRAILLET;TERRAILLET;8066993
;Grand'rue;GRAND RUE;RUE;7824721,43924063
HAMEAU;Hameau de Voltaire;DE VOLTAIRE;VOLTAIRE;60994662,60994670,60994680,60994684,60994698,102996586
IMPASSE;Impasse de l'Ouye;DE L OUYE;OUYE;35437770,467584354
IMPASSE;Impasse des Charmilles;DES CHARMILLES;CHARMILLES;31893072
IMPASSE;Impasse des Hirondelles;DES HIRONDELLES;HIRONDELLES;467033043
IMPASSE;Impasse du Belvédère;DU BELVEDERE;BELVEDERE;60994678,60994681
IMPASSE;Impasse du Pégan;DU PEGAN;PEGAN;161593475,161593478
;Large Hadron Collider;LARGE HADRON COLLIDER;COLLIDER;310046324
;Les Allées du Parc;LES ALLEES DU PARC;PARC;484832315
ROUTE;Route Douanière;DOUANIERE;HUGO;103085214
ROUTE;Route de Ferney;DE FERNEY;FERNEY;164070228,467033044,656539456,656539457,656539458
ROUTE;Route de Meyrin;DE MEYRIN;MEYRIN;4867928,28160282,103080633,103080652,293286154,479855464,484940089,484940090,484940094,484940095,484940096,484940097,484940098,571571558,571571561,571571565,571571566,652115995,652115997
ROUTE;Route de Prévessin;DE PREVESSIN;PREVESSIN;4867953,4867960,4867962,328846307,328846309,328846311,328846325,328849613,328849614
ROUTE;Route des Fayards;DES FAYARDS;FAYARDS;60562579
RUE;Rue Condorcet;CONDORCET;MEYRIN;8067001,201924813
RUE;Rue Victor Hugo;VICTOR HUGO;HUGO;98295224,98295235,287820161
RUE;Rue de Genève;DE GENEVE;GENEVE;43924064,484832309,484832310,546392590
RUE;Rue de Gex;DE GEX;GEX;4867918,68256231,102716058,572429420
RUE;Rue de Meyrin;DE MEYRIN;MEYRIN;8066995,25642342,26088227,26088290,103080637,164074713,201921563,484940091,484940092,484940093,652115996
RUE;Rue de Versoix;DE VERSOIX;VERSOIX;8067021,8067120,60562574,60562590,67001544,160775863
RUE;Rue de l'Église;DE L EGLISE;EGLISE;4867951,4867958,4867959
RUE;Rue du Père Adam;DU PERE ADAM;ADAM;31893062,56895937
RUELLE;Ruelle Saint-Germain;SAINT GERMAIN;GERMAIN;484913495
RUELLE;Ruelle des Brotteaux;DES BROTTEAUX;BROTTEAUX;452136282
RUELLE;Ruelle des Jardins;DES JARDINS;JARDINS;35204048
RESIDENCE;Résidence Les Cerisiers;LES CERISIERS;CERISIERS;467033045
