voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Bognes;DE BOGNES;BOGNES;80150073
CHEMIN;Chemin de Chapuzat;DE CHAPUZAT;CHAPUZAT;232236406
CHEMIN;Chemin de Rosanet;DE ROSANET;ROSANET;308783654
CHEMIN;Chemin de la Croix du Chêne;DE LA CROIX DU CHENE;CHENE;232238986
CHEMIN;Chemin de la Montagne;DE LA MONTAGNE;MONTAGNE;232236397
CHEMIN;Chemin des Fontanettes;DES FONTANETTES;FONTANETTES;308783656
CHEMIN;Chemin des Écoliers;DES ECOLIERS;ECOLIERS;64453558,64453559
CHEMIN;Chemin du Borgognon;DU BORGOGNON;BORGOGNON;232236415
CHEMIN;Chemin du Corbet;DU CORBET;CORBET;232236398
CHEMIN;Chemin du Réservoir;DU RESERVOIR;RESERVOIR;308783659
IMPASSE;Impasse de Dofinod;DE DOFINOD;DOFINOD;232236414
IMPASSE;Impasse de Fontaine Baron;DE FONTAINE BARON;BARON;232239001
IMPASSE;Impasse de Sous Sac;DE SOUS SAC;SAC;308783663
IMPASSE;Impasse de l'Angoulou;DE L ANGOULOU;ANGOULOU;391474696
IMPASSE;Impasse de la Balme;DE LA BALME;BALME;391474697
IMPASSE;Impasse de la Ganguillonne;DE LA GANGUILLONNE;GANGUILLONNE;391474698
IMPASSE;Impasse de la Gare;DE LA GARE;GARE;80150053
IMPASSE;Impasse des Roulettes;DES ROULETTES;ROULETTES;273852625
IMPASSE;Impasse du Bac;DU BAC;BAC;232236407
LOTISSEMENT;Lotissement Fontaine Baron;FONTAINE BARON;BARON;232236416
LOTISSEMENT;Lotissement Sous le Bois de Billiat;SOUS LE BOIS DE BILLIAT;BILLIAT;232236412
LOTISSEMENT;Lotissement de la Louvatière;DE LA LOUVATIERE;LOUVATIERE;232236399,232236413
MONTEE;Montée des Acacias;DES ACACIAS;ACACIAS;308783665
QUARTIER;Quartier des Jonquilles;DES JONQUILLES;JONQUILLES;43994618
ROUTE;Route de Balavent;DE BALAVENT;BALAVENT;64453560
ROUTE;Route de Chaix;DE CHAIX;CHAIX;232236400
ROUTE;Route de Richemond;DE RICHEMOND;RICHEMOND;42188894
ROUTE;Route de Seyssel;DE SEYSSEL;SEYSSEL;288732080
ROUTE;Route de Sous Les Bois;DE SOUS LES BOIS;BOIS;232236423
ROUTE;Route des Espagnols;DES ESPAGNOLS;ESPAGNOLS;45745957
ROUTE;Route du Col;DU COL;COL;288732063
ROUTE;Route du Pain de Sucre;DU PAIN DE SUCRE;SUCRE;53840576
RUE;Rue Marcel Paul;MARCEL PAUL;PAUL;100500932,573317281
RUE;Rue Saint-Jean;SAINT JEAN;JEAN;45745960
RUE;Rue de Valromey;DE VALROMEY;VALROMEY;232236418
RUE;Rue de l'Ancienne Poste;DE L ANCIENNE POSTE;POSTE;308783667
RUE;Rue de la Paix;DE LA PAIX;PAIX;64453556,390187994
RUE;Rue de la Vezeronce;DE LA VEZERONCE;VEZERONCE;308783669
RUE;Rue de la Vie Vieille;DE LA VIE VIEILLE;VIEILLE;43022948
RUE;Rue des Bornières;DES BORNIERES;BORNIERES;43994619
RUE;Rue des Chagnauds;DES CHAGNAUDS;CHAGNAUDS;64453557
RUE;Rue des Fontaines;DES FONTAINES;FONTAINES;80150050
RUE;Rue des Écoles;DES ECOLES;ECOLES;80150069
RUE;Rue du Barrage;DU BARRAGE;BARRAGE;43994620,45745976,99760529,99760531,99760536,390187990,390187993,390187995,390187996,431149493,573317273
RUE;Rue du Crêt;DU CRET;CRET;273852623,273852640
RUE;Rue du Forche;DU FORCHE;FORCHE;308783670
RUE;Rue du Pré Léavard;DU PRE LEAVARD;LEAVARD;232238994
RUE;Rue du Pré Péru;DU PRE PERU;PERU;232236422
RUE;Rue du Tilleul;DU TILLEUL;TILLEUL;308783671
RUE;Rue du Vieux Bourg;DU VIEUX BOURG;BOURG;232236419
