voie;name;name_norm;last_word_norm;ways
;A France;A FRANCE;FRANCE;76924817
ALLEE;Allée de la Garenne;DE LA GARENNE;GARENNE;77041502
ALLEE;Allée des Pirolettes;DES PIROLETTES;PIROLETTES;77041501
CHEMIN;Chemin Muletier;MULETIER;GRILLERE;76845312
CHEMIN;Chemin de Beauregard;DE BEAUREGARD;BEAUREGARD;76845317
CHEMIN;Chemin de Brotonne;DE BROTONNE;BROTONNE;76885260
CHEMIN;Chemin de Charine;DE CHARINE;CHARINE;133915457
CHEMIN;Chemin de Chevanet;DE CHEVANET;CHEVANET;77041504,185276563,185276564
CHEMIN;Chemin de Lyonnière;DE LYONNIERE;LYONNIERE;77467749
CHEMIN;Chemin de Presles;DE PRESLES;PRESLES;76885250
CHEMIN;Chemin de la Berlotte;DE LA BERLOTTE;BERLOTTE;76885278
CHEMIN;Chemin de la Charlette;DE LA CHARLETTE;CHARLETTE;76885287
CHEMIN;Chemin de la Grange Bozon;DE LA GRANGE BOZON;BOZON;77037111
CHEMIN;Chemin de la Grillere;DE LA GRILLERE;GRILLERE;76845311
CHEMIN;Chemin de la Verne;DE LA VERNE;VERNE;76885243
CHEMIN;Chemin des Dimes;DES DIMES;DIMES;76914466
CHEMIN;Chemin des Maquis de l'Ain;DES MAQUIS DE L AIN;AIN;76845320
CHEMIN;Chemin des Montaines;DES MONTAINES;MONTAINES;77041498
CHEMIN;Chemin des Pierres Blanches;DES PIERRES BLANCHES;BLANCHES;76885249
CHEMIN;Chemin des Potiers;DES POTIERS;POTIERS;76914404
CHEMIN;Chemin des Thibaudes;DES THIBAUDES;THIBAUDES;76927216,185276570,185276573
CHEMIN;Chemin des Vignes;DES VIGNES;VIGNES;76845315
CHEMIN;Chemin du Bois Guy;DU BOIS GUY;GUY;77041508
CHEMIN;Chemin du Bois d'Amont;DU BOIS D AMONT;AMONT;76914564
CHEMIN;Chemin du Col de France;DU COL DE FRANCE;FRANCE;76924816,76925726
CHEMIN;Chemin du Lavoir;DU LAVOIR;LAVOIR;76885282
CHEMIN;Chemin du Pré Rouge;DU PRE ROUGE;ROUGE;76914567,185276592,185276594
CHEMIN;Chemin du Rocher d'Exploitation;DU ROCHER D EXPLOITATION;EXPLOITATION;76845313
CHEMIN;Chemin du Stade;DU STADE;STADE;76914578,185276597,185276599
CHEMIN;Chemin du Tacot;DU TACOT;TACOT;76927212
;Chevanet;CHEVANET;BOZON;77041497
;En Prele;EN PRELE;PRELE;76885270
;En Rien;EN RIEN;RIEN;76885242
FOSSE;Fosse;;PRELE;76885272
IMPASSE;Impasse des Alouettes;DES ALOUETTES;ALOUETTES;76924820
IMPASSE;Impasse des Binots;DES BINOTS;BINOTS;77035516
IMPASSE;Impasse des Curtils;DES CURTILS;CURTILS;76914635
IMPASSE;Impasse des Rochettes;DES ROCHETTES;ROCHETTES;76924815,76924823
IMPASSE;Impasse du Tram;DU TRAM;TRAM;76924818,76924824,76924825
IMPASSE;Impasse en Buscaro;EN BUSCARO;BUSCARO;76914600
;Les Curtils;LES CURTILS;CURTILS;77035886
MONTEE;Montée du Moulin à Vent;DU MOULIN A VENT;VENT;76927211
;Moulin du Thou;MOULIN DU THOU;THOU;77041499
;Pré de la Cour;PRE DE LA COUR;COUR;76914464
ROUTE;Route de Lyonnières;DE LYONNIERES;LYONNIERES;76914439
ROUTE;Route de Valliéres;DE VALLIERES;VALLIERES;77041507
ROUTE;Route de l'Étang de Rien;DE L ETANG DE RIEN;RIEN;76914531
ROUTE;Route des Cordiers;DES CORDIERS;CORDIERS;76914552
ROUTE;Route des Mas;DES MAS;MAS;140689920
ROUTE;Route des Oeures;DES OEURES;OEURES;76914450
ROUTE;Route du Col de France;DU COL DE FRANCE;FRANCE;76925733,185276647,185276652,185276653,185276656,257710598,421887318
ROUTE;Route du Four;DU FOUR;FOUR;76914514
RUE;Rue Anne Marie Carrelet;ANNE MARIE CARRELET;CARRELET;76845321
RUE;Rue Gabriel Voisin;GABRIEL VOISIN;VOISIN;76924821
RUE;Rue Roger Vailland;ROGER VAILLAND;VAILLAND;76845319
RUE;Rue de Plantaglay;DE PLANTAGLAY;PLANTAGLAY;77041500
RUE;Rue de l'Abergey;DE L ABERGEY;ABERGEY;76914492
RUE;Rue de l'Ancienne Faïencerie;DE L ANCIENNE FAIENCERIE;FAIENCERIE;76845318,185276661,185276664
RUE;Rue de l'Ancienne Fruitière;DE L ANCIENNE FRUITIERE;FRUITIERE;76885253
RUE;Rue de l'Egratay;DE L EGRATAY;EGRATAY;76845310
RUE;Rue de l'École;DE L ECOLE;ECOLE;76885257
RUE;Rue de l'Église;DE L EGLISE;EGLISE;76845316
RUE;Rue des Colombages;DES COLOMBAGES;COLOMBAGES;76845308,185276666,185276667
RUE;Rue des Mavauvres;DES MAVAUVRES;MAVAUVRES;195864938
RUE;Rue du Calvaire;DU CALVAIRE;CALVAIRE;76885265
RUE;Rue du Cimetière;DU CIMETIERE;CIMETIERE;76845307
RUE;Rue du Potey;DU POTEY;POTEY;76885258
RUE;Rue du Rochat;DU ROCHAT;ROCHAT;77041503
TERRE;Terre des Mavauvres;DES MAVAUVRES;MAVAUVRES;76914484
