voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Traverse;DE TRAVERSE;TRAVERSE;276914185
CHEMIN;Chemin de la Croix d'Herbey;DE LA CROIX D HERBEY;HERBEY;236491041,236491042
CHEMIN;Chemin de la Dieda;DE LA DIEDA;DIEDA;262982761
CHEMIN;Chemin de la Fontaine à l'Ane;DE LA FONTAINE A L ANE;ANE;276914186
CHEMIN;Chemin des Loges;DES LOGES;LOGES;236491040
CHEMIN;Chemin des Parières;DES PARIERES;PARIERES;262982771
CHEMIN;Chemin du Champ Pinard;DU CHAMP PINARD;PINARD;276914187
CHEMIN;Chemin du Golet des Planes;DU GOLET DES PLANES;PLANES;204130198,509619068
CHEMIN;Chemin du Grand Jorat;DU GRAND JORAT;JORAT;276914188
CHEMIN;Chemin du Jorat;DU JORAT;JORAT;236491049
CHEMIN;Chemin du Nerbier;DU NERBIER;NERBIER;236491045
CHEMIN;Chemin du Pre Bouvier;DU PRE BOUVIER;BOUVIER;228122379,390504006
CHEMIN;Chemin du Pre Marion;DU PRE MARION;MARION;276914189,509619112
CHEMIN;Chemin du Puits de la Dime;DU PUITS DE LA DIME;DIME;42184674
IMPASSE;Impasse de Bigarette;DE BIGARETTE;BIGARETTE;42184675
IMPASSE;Impasse de l'Église;DE L EGLISE;EGLISE;42184672
IMPASSE;Impasse de la Sebie;DE LA SEBIE;SEBIE;42201341
IMPASSE;Impasse du Bac;DU BAC;BAC;42184668
;Les Planes;LES PLANES;PLANES;276914192
PLACE;Place de l'Église;DE L EGLISE;EGLISE;42184671
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;276914194
ROUTE;Route de Cuvillat;DE CUVILLAT;CUVILLAT;319738743,509619053,509619057
ROUTE;Route du Grand;DU GRAND;GRAND;276909586
ROUTE;Route du Petit;DU PETIT;PETIT;42184667
ROUTE;Route du Valromey;DU VALROMEY;VALROMEY;276914200,509619063,509619066
RUE;Rue Sous Les Pièces;SOUS LES PIECES;PIECES;42184670
RUE;Rue de la Bascule;DE LA BASCULE;BASCULE;42201340
RUE;Rue de la Fromagerie;DE LA FROMAGERIE;FROMAGERIE;42184669
RUE;Rue de la Scie;DE LA SCIE;SCIE;42184676
RUE;Rue du Four;DU FOUR;FOUR;276914205
VOIE;Voie Romaine;ROMAINE;ROMAINE;262982776
