voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Carline;CARLINE;MARTINET;467310758
ALLEE;Allée Edelweiss;EDELWEISS;MARTINET;467310757
ALLEE;Allée Lumière;LUMIERE;HAUTINS;26169543
ALLEE;Allée Mistralie;MISTRALIE;MARLIS;111626217
ALLEE;Allée Simon Van Der Meer;SIMON VAN DER MEER;MEER;386424552
ALLEE;Allée des Bleuets;DES BLEUETS;BLEUETS;111626238
ALLEE;Allée des Cascatelles;DES CASCATELLES;CASCATELLES;8516592,8516597,466365712
ALLEE;Allée des Chênes;DES CHENES;CHENES;40246772,40246776,111626222,466527515
ALLEE;Allée des Chênes d'Adrien;DES CHENES D ADRIEN;ADRIEN;499172708
ALLEE;Allée du Lac;DU LAC;LAC;203298368
CHAMP;Champ Corboz;CORBOZ;GARENNE;25786053,111626219,111626220,466527539,466527549,466527550
CHEMIN;Chemin Corboz;CORBOZ;MANCHETTE;26461195
CHEMIN;Chemin Fleuri;FLEURI;VILLAGE);26146403
CHEMIN;Chemin Hadry;HADRY;CLARINES;467009425
CHEMIN;Chemin Hudry;HUDRY;BELLEVUE;8066721
CHEMIN;Chemin Jacob;JACOB;8;321898440
CHEMIN;Chemin de Bargougny;DE BARGOUGNY;BARGOUGNY;26146390,26146391,26146392
CHEMIN;Chemin de Magny;DE MAGNY;MAGNY;8067006,8516535,8516536,203298362,203298386,538548882
CHEMIN;Chemin de Pré de Planche;DE PRE DE PLANCHE;PLANCHE;164071612,438635557
CHEMIN;Chemin de l'Église;DE L EGLISE;EGLISE;8471024,8471033,8471034,8516557,26125972,26125974,467486269
CHEMIN;Chemin de la Badiule;DE LA BADIULE;BADIULE;339408290,563361696,563361697
CHEMIN;Chemin de la Boverie;DE LA BOVERIE;BOVERIE;162205608
CHEMIN;Chemin de la Fruitière;DE LA FRUITIERE;FRUITIERE;8516556,184284060
CHEMIN;Chemin de la Garenne;DE LA GARENNE;GARENNE;25642345
CHEMIN;Chemin de la Marouette;DE LA MAROUETTE;MAROUETTE;26125975
CHEMIN;Chemin de la Ravoire;DE LA RAVOIRE;RAVOIRE;5215945,164074014,184284057,328846321,328846323,328846331
CHEMIN;Chemin de la Roselière;DE LA ROSELIERE;ROSELIERE;26085575,70213241,70213243
CHEMIN;Chemin de la Ruelle;DE LA RUELLE;RUELLE;308301935
CHEMIN;Chemin de la Source;DE LA SOURCE;SOURCE;162207236,467009426
CHEMIN;Chemin des Acculats;DES ACCULATS;ACCULATS;26125123
CHEMIN;Chemin des Aglands;DES AGLANDS;AGLANDS;26125125
CHEMIN;Chemin des Amandiers (res. Les Fruitiers);DES AMANDIERS (RES  LES FRUITIERS);FRUITIERS);26074180,70207830
CHEMIN;Chemin des Bergeronnettes;DES BERGERONNETTES;BERGERONNETTES;26146393
CHEMIN;Chemin des Blaches;DES BLACHES;BLACHES;25953576,161626199
CHEMIN;Chemin des Colverts;DES COLVERTS;COLVERTS;26085565,26085581,466365739
CHEMIN;Chemin des Coudriers;DES COUDRIERS;COUDRIERS;25953517
CHEMIN;Chemin des Crets;DES CRETS;CRETS;111641944,111641947,111641950,111641955
CHEMIN;Chemin des Etalles;DES ETALLES;ETALLES;256540839,499172890
CHEMIN;Chemin des Hautins;DES HAUTINS;HAUTINS;5215633,5215634,5215635,5215636,5215637,5215638,5215640,5215641,5215642,5215643,5215644,22954712,466527520,466527522
CHEMIN;Chemin des Hérissons;DES HERISSONS;HERISSONS;613032420
CHEMIN;Chemin des Meuniers;DES MEUNIERS;MEUNIERS;376535699
CHEMIN;Chemin des Perrières;DES PERRIERES;PERRIERES;8066991,654819662,654819663,654819664,654819665
CHEMIN;Chemin des Poussins;DES POUSSINS;POUSSINS;26051912,313109394,563477626,563477629,563585571,563585572
CHEMIN;Chemin des Pugins;DES PUGINS;PUGINS;26086013,26086053
