voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Curtil Blanc;DE CURTIL BLANC;BLANC;125763035
CHEMIN;Chemin de Vescours;DE VESCOURS;VESCOURS;125756349,318377023
CHEMIN;Chemin de l'Étang;DE L ETANG;ETANG;318377096
CHEMIN;Chemin de la Prairie;DE LA PRAIRIE;PRAIRIE;293129814
CHEMIN;Chemin de la Terre du Curé;DE LA TERRE DU CURE;CURE;318377080
CHEMIN;Chemin des Bambous;DES BAMBOUS;BAMBOUS;293129815
CHEMIN;Chemin des Bichatoux;DES BICHATOUX;BICHATOUX;318377024,455353931,455353933
CHEMIN;Chemin des Brevettes;DES BREVETTES;BREVETTES;131172992
CHEMIN;Chemin des Charmes;DES CHARMES;CHARMES;125763025
CHEMIN;Chemin des Couchoux;DES COUCHOUX;COUCHOUX;125756352
CHEMIN;Chemin des Juillets;DES JUILLETS;JUILLETS;293129816
CHEMIN;Chemin des Ravatoux;DES RAVATOUX;RAVATOUX;125763043
CHEMIN;Chemin du Moulin;DU MOULIN;MOULIN;293129827
CHEMIN;Chemin du Paray;DU PARAY;PARAY;302947217
;Corme de Vachon;CORME DE VACHON;VACHON;261437852
;Corne de Vachon;CORNE DE VACHON;VACHON;148586139
IMPASSE;Impasse 2000;2000;2000;293129817
IMPASSE;Impasse Bellevue;BELLEVUE;BELLEVUE;293129818
IMPASSE;Impasse de Curtil Sud;DE CURTIL SUD;SUD;125763041
IMPASSE;Impasse de l'Atelier;DE L ATELIER;ATELIER;293129819
IMPASSE;Impasse de la Baronnière;DE LA BARONNIERE;BARONNIERE;302947218
IMPASSE;Impasse des Guillemots;DES GUILLEMOTS;GUILLEMOTS;318377074
IMPASSE;Impasse des Jardins;DES JARDINS;JARDINS;331742433
IMPASSE;Impasse des Lilas;DES LILAS;LILAS;331742434
IMPASSE;Impasse des Limoines;DES LIMOINES;LIMOINES;293129820
IMPASSE;Impasse du Châtelet;DU CHATELET;CHATELET;302947219
IMPASSE;Impasse du Curtil Mozin;DU CURTIL MOZIN;MOZIN;125763038
PLACE;Place Jean Rougeboux;JEAN ROUGEBOUX;ROUGEBOUX;125763033
PLACE;Place du Marché;DU MARCHE;MARCHE;331742435
PONT;Pont Barrage de la Truchère;BARRAGE DE LA TRUCHERE;TRUCHERE;148586138
PONT;Pont de Seille;DE SEILLE;SEILLE;209170811
ROUTE;Route de Cuisery;DE CUISERY;CUISERY;288399910
ROUTE;Route de Pont de Vaux;DE PONT DE VAUX;VAUX;288399911
ROUTE;Route de Romenay;DE ROMENAY;ROMENAY;302947220,302947221,455353983,455353986
ROUTE;Route des Thibauts;DES THIBAUTS;THIBAUTS;293129821,455353988,455353991
RUE;Rue Centrale;CENTRALE;CENTRALE;302947222
RUE;Rue Champ Bourdon;CHAMP BOURDON;BOURDON;293129822
RUE;Rue de Lyon;DE LYON;LYON;125763044
RUE;Rue de l'Église;DE L EGLISE;EGLISE;331742436,331742437
RUE;Rue de la Creuz;DE LA CREUZ;CREUZ;302947223
RUE;Rue de la Croix;DE LA CROIX;CROIX;302947224
RUE;Rue de la Vieille Seille;DE LA VIEILLE SEILLE;SEILLE;302947225
RUE;Rue des Acacias;DES ACACIAS;ACACIAS;125763042
RUE;Rue des Chapuis;DES CHAPUIS;CHAPUIS;125763039
RUE;Rue des Maitres;DES MAITRES;MAITRES;293129824
RUE;Rue des Rippes;DES RIPPES;RIPPES;302947226
RUE;Rue du Bourg;DU BOURG;BOURG;288399920
RUE;Rue du Colombier;DU COLOMBIER;COLOMBIER;125763045
RUE;Rue du Mouty;DU MOUTY;MOUTY;125763046
RUE;Rue du Stade;DU STADE;STADE;125763037
RUE;Rue sous la Ville;SOUS LA VILLE;VILLE;125763022
