voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Tilleuls;DES TILLEULS;TILLEULS;174633297
CHEMIN;Chemin Neuf;NEUF;NEUF;218535259
CHEMIN;Chemin d'Artary;D ARTARY;ARTARY;260490244
CHEMIN;Chemin de Bolaros;DE BOLAROS;BOLAROS;260490186
CHEMIN;Chemin de Desserte de la Mouillie;DE DESSERTE DE LA MOUILLIE;MOUILLIE;134129893
CHEMIN;Chemin de Motte;DE MOTTE;MOTTE;306302072,490188527
CHEMIN;Chemin de Portes;DE PORTES;PORTES;260490206
CHEMIN;Chemin de Rizieux;DE RIZIEUX;RIZIEUX;218535256
CHEMIN;Chemin de Villebois à Bouis;DE VILLEBOIS A BOUIS;BOUIS;308156589
CHEMIN;Chemin de l'Octave;DE L OCTAVE;OCTAVE;218535272
CHEMIN;Chemin de la Montagne;DE LA MONTAGNE;MONTAGNE;308156590
CHEMIN;Chemin des Carrières de Bouis;DES CARRIERES DE BOUIS;BOUIS;218535266
CHEMIN;Chemin des Demoiselles;DES DEMOISELLES;DEMOISELLES;308156591
CHEMIN;Chemin des Fontanettes;DES FONTANETTES;FONTANETTES;260490266
CHEMIN;Chemin des Grands Prés;DES GRANDS PRES;PRES;306124909
CHEMIN;Chemin des Meules;DES MEULES;MEULES;218535251,404070908,404070909
CHEMIN;Chemin du Hameau de la Carriaz;DU HAMEAU DE LA CARRIAZ;CARRIAZ;260490203
CHEMIN;Chemin du Riez;DU RIEZ;RIEZ;308156592
CLOS;Clos du Rheby;DU RHEBY;RHEBY;308156593
COUR;Cour de Nayette;DE NAYETTE;NAYETTE;260490237,308156594
COUR;Cour de Sault;DE SAULT;SAULT;374397802
COUR;Cour de Serrières;DE SERRIERES;SERRIERES;308156595
COUR;Cour de l'Yran;DE L YRAN;YRAN;308156596
COUR;Cour de la Verchère;DE LA VERCHERE;VERCHERE;260490239
COUR;Cour des Fontanettes;DES FONTANETTES;FONTANETTES;308156597
COUR;Cour des Gorgeaux;DES GORGEAUX;GORGEAUX;308156598,308156599
