voie;name;name_norm;last_word_norm;ways
CITE;Cité Nouvelle;NOUVELLE;MAZURE;75681992
GRANDE RUE;Grande Rue;;BOISTELLE;50635478
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;322309192
ROUTE;Route de Puisieux;DE PUISIEUX;PUISIEUX;50635482
RUE;Rue de Chevreux;DE CHEVREUX;CHEVREUX;75780446
RUE;Rue de Soissons;DE SOISSONS;SOISSONS;50652738
RUE;Rue de Venizel;DE VENIZEL;VENIZEL;322309193
RUE;Rue de l'Aube;DE L AUBE;AUBE;50635854
RUE;Rue de la Boistelle;DE LA BOISTELLE;BOISTELLE;50635477
RUE;Rue de la Chapelle;DE LA CHAPELLE;CHAPELLE;322309196
RUE;Rue de la Croix du Carrier;DE LA CROIX DU CARRIER;CARRIER;75676265
RUE;Rue de la Croutelle;DE LA CROUTELLE;CROUTELLE;322309199
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;50635493
RUE;Rue de la Mazure;DE LA MAZURE;MAZURE;75681990
RUE;Rue de la Place;DE LA PLACE;PLACE;322309202
RUE;Rue de la Siege;DE LA SIEGE;SIEGE;322309204
RUE;Rue des Aloès;DES ALOES;ALOES;75681994
RUE;Rue des Carrier;DES CARRIER;CARRIER;75676269
RUE;Rue des Prés;DES PRES;PRES;50635858
RUE;Rue des Écoles;DES ECOLES;ECOLES;75676277
RUE;Rue du Bia;DU BIA;BIA;50635618
RUE;Rue du Bois d'Eau;DU BOIS D EAU;EAU;75676268
RUE;Rue du Chauffour;DU CHAUFFOUR;CHAUFFOUR;50635475,50635613
RUE;Rue du Jury;DU JURY;JURY;50652737,95161458
RUE;Rue du Mesnil;DU MESNIL;MESNIL;75676279
RUE;Rue du Montjard;DU MONTJARD;MONTJARD;50652739
RUE;Rue du Moulin de l'Etang;DU MOULIN DE L ETANG;ETANG;322309206
RUE;Rue du Presbytère;DU PRESBYTERE;PRESBYTERE;50635492
RUE;Rue du Puits des Chevaux;DU PUITS DES CHEVAUX;CHEVAUX;50635487
RUELLE;Ruelle Gilles;GILLES;MESNIL;75681987
;Sente du Crottois;SENTE DU CROTTOIS;CROTTOIS;50635488
SENTIER;Sentier des Voyettes;DES VOYETTES;VOYETTES;75676274
