voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin d'Autrementcourt à Cuirieux;D AUTREMENTCOURT A CUIRIEUX;CUIRIEUX;200962277
CHEMIN;Chemin de Voyenne à Autremencourt;DE VOYENNE A AUTREMENCOURT;AUTREMENCOURT;201985425
CHEMIN;Chemin de l'Allée de Marle;DE L ALLEE DE MARLE;MARLE;201985438
CHEMIN;Chemin de la Vallée Brunette;DE LA VALLEE BRUNETTE;BRUNETTE;201985459
CHEMIN;Chemin du Marais;DU MARAIS;MARAIS;201985427
;Petite Rue;PETITE RUE;RUE;201985429
RUE;Rue Notre-Dame;NOTRE DAME;DAME;328820673
RUE;Rue de Brazicourt;DE BRAZICOURT;BRAZICOURT;201985430
RUE;Rue de la Citadelle;DE LA CITADELLE;CITADELLE;201985431
RUE;Rue du Château;DU CHATEAU;CHATEAU;201985432
RUE;Rue du Moulin;DU MOULIN;MOULIN;201985433
RUE;Rue le Sart;LE SART;SART;201985434
