voie;name;name_norm;last_word_norm;ways
PLACE;Place Saint-Pierre;SAINT PIERRE;PIERRE;270665756,452436475
PLACE;Place du Château;DU CHATEAU;CHATEAU;270665751
ROUTE;Route de Craonnelle;DE CRAONNELLE;CRAONNELLE;452436471,452436474
RUE;Rue de Hédouville;DE HEDOUVILLE;HEDOUVILLE;452436479
RUE;Rue du Chemin des Dames;DU CHEMIN DES DAMES;DAMES;452436473
RUE;Rue du Jeu de Paume;DU JEU DE PAUME;PAUME;452436477
RUE;Rue du Jeu de Tamis;DU JEU DE TAMIS;TAMIS;270665760
RUELLE;Ruelle de l'École;DE L ECOLE;ECOLE;452436478
RUELLE;Ruelle des Voyageurs;DES VOYAGEURS;VOYAGEURS;270665789
RUELLE;Ruelle du Curé;DU CURE;CURE;452436476
