voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue de Soissons;DE SOISSONS;SOISSONS;147917114,161843904,670030373
CHEMIN;Chemin des Hautes Fremières;DES HAUTES FREMIERES;FREMIERES;161847033,161847034
CITE;Cité de la Princesse;DE LA PRINCESSE;PRINCESSE;161312353
;Groupe Scolaire Louis Aragon;GROUPE SCOLAIRE LOUIS ARAGON;ARAGON;459519747
IMPASSE;Impasse d'Ailleval;D AILLEVAL;AILLEVAL;161308144
IMPASSE;Impasse d'Ambrucy;D AMBRUCY;AMBRUCY;161308292
IMPASSE;Impasse de la Poste;DE LA POSTE;POSTE;161404006
IMPASSE;Impasse du Houx;DU HOUX;HOUX;161846667
;Les Plainettes;LES PLAINETTES;PLAINETTES;161312354
PLACE;Place Charles de Gaulle;CHARLES DE GAULLE;GAULLE;161291928,161291930,161291931
ROUTE;Route de Brancourt;DE BRANCOURT;BRANCOURT;161848551
RUE;Rue Basse;BASSE;BASSE;161844380
RUE;Rue Boris Vian;BORIS VIAN;VIAN;161845219
RUE;Rue Jean Carpentier;JEAN CARPENTIER;CARPENTIER;161845450
RUE;Rue Lamartine;LAMARTINE;LAMARTINE;161844681,161844683,161844686
RUE;Rue Louis Pasteur;LOUIS PASTEUR;PASTEUR;161845221
RUE;Rue Pablo Neruda;PABLO NERUDA;NERUDA;161845218
RUE;Rue Paul Claudel;PAUL CLAUDEL;CLAUDEL;161308148
RUE;Rue Picasso;PICASSO;PICASSO;161844682
RUE;Rue Richet et Lods;RICHET ET LODS;LODS;161847977
RUE;Rue Saint-Exupéry;SAINT EXUPERY;EXUPERY;161309536,459519741
RUE;Rue d'Allemant;D ALLEMANT;ALLEMANT;161844031
RUE;Rue de Thévenin;DE THEVENIN;THEVENIN;202795649
RUE;Rue de Vauxaillon;DE VAUXAILLON;VAUXAILLON;161292454
RUE;Rue de l'Église;DE L EGLISE;EGLISE;161309191
RUE;Rue de la Croisette;DE LA CROISETTE;CROISETTE;161844685
RUE;Rue de la Maison Rouge;DE LA MAISON ROUGE;ROUGE;161846665
RUE;Rue de la Montagne;DE LA MONTAGNE;MONTAGNE;161307682
RUE;Rue de la Plainette;DE LA PLAINETTE;PLAINETTE;161312924
RUE;Rue de la Vendée;DE LA VENDEE;VENDEE;161291929,161957181
RUE;Rue des Faux Pommiers;DES FAUX POMMIERS;POMMIERS;161307684
RUE;Rue des Grands Jardins;DES GRANDS JARDINS;JARDINS;161844684
RUE;Rue des Noires Epines;DES NOIRES EPINES;EPINES;161404221,161404228
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;161404997
RUE;Rue des Écoles;DES ECOLES;ECOLES;161309188
RUE;Rue des Étangs;DES ETANGS;ETANGS;161844382
RUE;Rue du 130e Régiment d'Infanterie;DU 130E REGIMENT D INFANTERIE;INFANTERIE;161408731,161408732,161408733
RUE;Rue du 52e Régiment d'Infanterie;DU 52E REGIMENT D INFANTERIE;INFANTERIE;161848554,188797188,332918884
RUE;Rue du 7e Bataillon de Chasseurs Alpins;DU 7E BATAILLON DE CHASSEURS ALPINS;ALPINS;149484730,149484731,149484732,161291926,161291927,206619853,206619854
RUE;Rue du 8 Mai 1945;DU 8 MAI 1945;1945;161406071
RUE;Rue du Bosquet de la Marigonde;DU BOSQUET DE LA MARIGONDE;MARIGONDE;161312923
RUE;Rue du Bourg Saint-Maurice;DU BOURG SAINT MAURICE;MAURICE;161309189
RUE;Rue du Chasseur Bienabe;DU CHASSEUR BIENABE;BIENABE;161844926,161845448
RUE;Rue du Château d'Eau;DU CHATEAU D EAU;EAU;161308146,161308151
RUE;Rue du Grand Arrivoir;DU GRAND ARRIVOIR;ARRIVOIR;161848553
RUE;Rue du Pavé;DU PAVE;PAVE;161845223
RUE;Rue du Port;DU PORT;PORT;161846911,241887589
RUE;Rue du Rond Buisson;DU ROND BUISSON;BUISSON;161308291
RUE;Rue du Stade;DU STADE;STADE;161404227
RUE;Rue du Tronquoy;DU TRONQUOY;TRONQUOY;161844925
;Voyeu d'Ambrucy;VOYEU D AMBRUCY;AMBRUCY;161845449
