voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin Pavé de Mazancourt;PAVE DE MAZANCOURT;MAZANCOURT;236851537
CHEMIN;Chemin de Villers à Longavesne;DE VILLERS A LONGAVESNE;LONGAVESNE;314084185
CHEMIN;Chemin de Villers à Longavesnes;DE VILLERS A LONGAVESNES;LONGAVESNES;97385353,97385357
IMPASSE;Impasse Henry Bataille;HENRY BATAILLE;BATAILLE;461965838
;Laie de Cabaret;LAIE DE CABARET;CABARET;233091832,233091833,272236638
;Laie de Longuavesne;LAIE DE LONGUAVESNE;LONGUAVESNE;440599281
;Laie de Saint-Hubert;LAIE DE SAINT HUBERT;HUBERT;173434867,231859703
;Laie de l'Ancien Mur du Parc;LAIE DE L ANCIEN MUR DU PARC;PARC;217887242
;Laie de la Brèche;LAIE DE LA BRECHE;BRECHE;217887237
;Laie de la Queue de Retz;LAIE DE LA QUEUE DE RETZ;RETZ;303283235
;Laie des Crapaudières;LAIE DES CRAPAUDIERES;CRAPAUDIERES;174752912
;Pavé de Mazancourt;PAVE DE MAZANCOURT;MAZANCOURT;233091842
ROUTE;Route de Cabaret;DE CABARET;CABARET;97385348
ROUTE;Route de Puiseux;DE PUISEUX;PUISEUX;233954068,305434236,462979760
ROUTE;Route de Soucy;DE SOUCY;SOUCY;233954061,233954062
ROUTE;Route de Vivières;DE VIVIERES;VIVIERES;236077840
RUE;Rue Saint-Hubert;SAINT HUBERT;HUBERT;232306358,233954063
RUE;Rue Sainte-Clotilde;SAINTE CLOTILDE;CLOTILDE;450418594
RUE;Rue de l'Escadron de Gironde;DE L ESCADRON DE GIRONDE;GIRONDE;233954064
RUE;Rue de l'Étang;DE L ETANG;ETANG;233954065
RUE;Rue de la Vallée;DE LA VALLEE;VALLEE;233954066,233954067
RUE;Rue des Coeuvres;DES COEUVRES;COEUVRES;234918114
RUE;Rue des Leups;DES LEUPS;LEUPS;99241230
RUE;Rue du Champs;DU CHAMPS;CHAMPS;101175863
RUE;Rue du Château;DU CHATEAU;CHATEAU;233954069
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;234915914
RUE;Rue du Moulin;DU MOULIN;MOULIN;233954071,233954072
RUE;Rue du Point du Jour;DU POINT DU JOUR;JOUR;99241225
SENTIER;Sentier Bertin;BERTIN;BERTIN;99241235
