voie;name;name_norm;last_word_norm;ways
BOULEVARD;Boulevard des Oies;DES OIES;OIES;168935310
CHEMIN;Chemin d'Idogne;D IDOGNE;IDOGNE;221648314
CHEMIN;Chemin de Larras;DE LARRAS;LARRAS;374849922
CHEMIN;Chemin de l'Alliat;DE L ALLIAT;ALLIAT;391071879
CHEMIN;Chemin de l'Ancoutay;DE L ANCOUTAY;ANCOUTAY;374874448
CHEMIN;Chemin de la Garenne;DE LA GARENNE;GARENNE;391068258
CHEMIN;Chemin de la Peras;DE LA PERAS;PERAS;168954081
CHEMIN;Chemin de la Petite Garenne;DE LA PETITE GARENNE;GARENNE;306275367,306275401
CHEMIN;Chemin des Gounaux;DES GOUNAUX;GOUNAUX;374746573,391068259
CHEMIN;Chemin des Prés Neufs;DES PRES NEUFS;NEUFS;391068260
CHEMIN;Chemin du Champ d'Escurolles;DU CHAMP D ESCUROLLES;ESCUROLLES;571079813
CHEMIN;Chemin du Choze;DU CHOZE;CHOZE;306275406
CHEMIN;Chemin du Pomiret;DU POMIRET;POMIRET;391068261
IMPASSE;Impasse d'Idogne;D IDOGNE;IDOGNE;221648545
IMPASSE;Impasse de Banelle;DE BANELLE;BANELLE;374849921
IMPASSE;Impasse de Cournassat;DE COURNASSAT;COURNASSAT;391068265
IMPASSE;Impasse de l'Église;DE L EGLISE;EGLISE;374746563
IMPASSE;Impasse de la Palle;DE LA PALLE;PALLE;391068266
IMPASSE;Impasse des Combes;DES COMBES;COMBES;168976413
IMPASSE;Impasse du Clos du Cloître;DU CLOS DU CLOITRE;CLOITRE;168977848
IMPASSE;Impasse du Grand Domaine;DU GRAND DOMAINE;DOMAINE;168976496
PASSE;Passe de la Conciergerie;DE LA CONCIERGERIE;CONCIERGERIE;191679658
PLACE;Place de la Loue;DE LA LOUE;LOUE;391071881
PLACE;Place du Château;DU CHATEAU;CHATEAU;391068267
ROUTE;Route d'Escurolles;D ESCUROLLES;ESCUROLLES;168935314,392469689
ROUTE;Route de Broût-Vernet;DE BROUT VERNET;VERNET;37525358,492366790
ROUTE;Route de Monteignet;DE MONTEIGNET;MONTEIGNET;221648226
ROUTE;Route de Saulzet;DE SAULZET;SAULZET;391068268,391068269
ROUTE;Route du Mayet d'École;DU MAYET D ECOLE;ECOLE;168954719,236226930,236226932
RUE;Rue David et Pérot;DAVID ET PEROT;PEROT;391068270
RUE;Rue de Banelle;DE BANELLE;BANELLE;37525356
RUE;Rue de Coumassat;DE COUMASSAT;COUMASSAT;168935311,235977916
RUE;Rue de Cournassat;DE COURNASSAT;COURNASSAT;235977917
RUE;Rue de Monteignet;DE MONTEIGNET;MONTEIGNET;391068271
RUE;Rue de Pierre du Roy;DE PIERRE DU ROY;ROY;168954080
RUE;Rue de l'Agriculture;DE L AGRICULTURE;AGRICULTURE;168935316
RUE;Rue de la Barrie;DE LA BARRIE;BARRIE;168977313
RUE;Rue de la Brêche;DE LA BRECHE;BRECHE;168935318
RUE;Rue de la Chapelle;DE LA CHAPELLE;CHAPELLE;391068272
RUE;Rue de la Croix Brulée;DE LA CROIX BRULEE;BRULEE;391068273
RUE;Rue de la Gendarmerie;DE LA GENDARMERIE;GENDARMERIE;168935317
RUE;Rue de la Poste;DE LA POSTE;POSTE;191679657
RUE;Rue des Forges;DES FORGES;FORGES;121836624,121836625,121836715
RUE;Rue des Gounaux;DES GOUNAUX;GOUNAUX;168977732
RUE;Rue des Sardons;DES SARDONS;SARDONS;374874447
RUE;Rue des Verdines;DES VERDINES;VERDINES;168954079
RUE;Rue du Clos des Vignes;DU CLOS DES VIGNES;VIGNES;374875464
RUE;Rue du Creux;DU CREUX;CREUX;121836644
RUE;Rue du Grand Domaine;DU GRAND DOMAINE;DOMAINE;168935312
RUE;Rue du Marché;DU MARCHE;MARCHE;168935319
RUE;Rue du Moulin Félix;DU MOULIN FELIX;FELIX;391068274
RUE;Rue du Pas;DU PAS;PAS;37525355
RUE;Rue du Quart;DU QUART;QUART;391068275
RUE;Rue du Sentier du Siau;DU SENTIER DU SIAU;SIAU;374875462
