voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de l'Étang d'Échaux;DE L ETANG D ECHAUX;ECHAUX;160286808
AVENUE;Avenue Chabrol;CHABROL;CHABROL;160284594
AVENUE;Avenue Joseph Monat;JOSEPH MONAT;MONAT;86018725,86018848,235929731
AVENUE;Avenue de la Boulaire;DE LA BOULAIRE;BOULAIRE;86018673,86018784,235929732
AVENUE;Avenue de la Libération;DE LA LIBERATION;LIBERATION;86018422
AVENUE;Avenue des Deux Étangs;DES DEUX ETANGS;ETANGS;201385617
AVENUE;Avenue du Lac;DU LAC;LAC;176673147
CHEMIN;Chemin de Besson;DE BESSON;BESSON;160284589
CHEMIN;Chemin de Courtine;DE COURTINE;COURTINE;283812715
CHEMIN;Chemin de la Dieze;DE LA DIEZE;DIEZE;160286383
CHEMIN;Chemin des Vergers;DES VERGERS;VERGERS;191793709
CHEMIN;Chemin du Colombier;DU COLOMBIER;COLOMBIER;86018617
CHEMIN;Chemin du Parc;DU PARC;PARC;160284593
CHEMIN;Chemin du Tacot;DU TACOT;TACOT;202955587,204923280,568357773
CHEMIN;Chemin du Touet Benon;DU TOUET BENON;BENON;201389359
IMPASSE;Impasse de la Croix Blanchet;DE LA CROIX BLANCHET;BLANCHET;86018672
LOTISSEMENT;Lotissement Les Parodelles;LES PARODELLES;PARODELLES;86018781
LOTISSEMENT;Lotissement de Buisson;DE BUISSON;BUISSON;568353882
PLACE;Place aux Foires;AUX FOIRES;FOIRES;160284579,160284588,160284595,160284596,176673121,197727178,197727179,456267255,456457656,456458213
PLACE;Place de l'Église;DE L EGLISE;EGLISE;202937614
PLACE;Place de la République;DE LA REPUBLIQUE;REPUBLIQUE;200523053
RUE;Rue Francisque Drifford;FRANCISQUE DRIFFORD;DRIFFORD;202937615,410771831,456267256
RUE;Rue Roger Degoulange;ROGER DEGOULANGE;DEGOULANGE;86018536,160286458,490666854,490666855
RUE;Rue de Belle Rivière;DE BELLE RIVIERE;RIVIERE;202936553
RUE;Rue de Buisson;DE BUISSON;BUISSON;86018680,202943345
RUE;Rue de Chatel;DE CHATEL;CHATEL;26132225
RUE;Rue de Ferrières;DE FERRIERES;FERRIERES;10069348
RUE;Rue de Lapalisse;DE LAPALISSE;LAPALISSE;237435799,410773134
RUE;Rue de Martinière;DE MARTINIERE;MARTINIERE;160286379
RUE;Rue de Vichy;DE VICHY;VICHY;410771834,456267257
RUE;Rue de l'Agriculture;DE L AGRICULTURE;AGRICULTURE;160284583
RUE;Rue de l'Industrie;DE L INDUSTRIE;INDUSTRIE;86018681
RUE;Rue de l'Étang Coutan;DE L ETANG COUTAN;COUTAN;201368447
RUE;Rue de la Plaine;DE LA PLAINE;PLAINE;201389361
RUE;Rue de la Poste;DE LA POSTE;POSTE;160284580
RUE;Rue des Parodelles;DES PARODELLES;PARODELLES;86018601
RUE;Rue des Tulipes;DES TULIPES;TULIPES;160286813,160287047
RUE;Rue du Collège;DU COLLEGE;COLLEGE;86018724,569374903,569374905
RUE;Rue du Jolan;DU JOLAN;JOLAN;160287062
RUE;Rue du Moulin;DU MOULIN;MOULIN;202937616
RUE;Rue du Petit Bois;DU PETIT BOIS;BOIS;202943340
RUE;Rue du Pré Fleuri;DU PRE FLEURI;FLEURI;160287030
RUE;Rue du Touet Benon;DU TOUET BENON;BENON;202936552
RUE;Rue du Village Caché;DU VILLAGE CACHE;CACHE;160284581,456267258
SENTIER;Sentier des Corponsons;DES CORPONSONS;CORPONSONS;160286457
ZA;Za de Mornier;DE MORNIER;MORNIER;160284586
