voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue Victor Hugo;VICTOR HUGO;HUGO;33189985
AVENUE;Avenue de Chazeuil;DE CHAZEUIL;CHAZEUIL;95641528
AVENUE;Avenue de Lyon;DE LYON;LYON;95525852,657606075
AVENUE;Avenue de la Gare;DE LA GARE;GARE;33190002,235927582
CHEMIN;Chemin des Cailloux;DES CAILLOUX;CAILLOUX;125959930
IMPASSE;Impasse Anne Marie;ANNE MARIE;MARIE;230895994
IMPASSE;Impasse Jean Chaume;JEAN CHAUME;CHAUME;392628802
IMPASSE;Impasse de Verdun;DE VERDUN;VERDUN;125755719
IMPASSE;Impasse de Vouroux;DE VOUROUX;VOUROUX;341438137
IMPASSE;Impasse de l'Économique;DE L ECONOMIQUE;ECONOMIQUE;95531916,136489397,180313226
IMPASSE;Impasse de la Marne;DE LA MARNE;MARNE;125755718
IMPASSE;Impasse des Pyrénées;DES PYRENEES;PYRENEES;95541246
IMPASSE;Impasse des Saguets;DES SAGUETS;SAGUETS;341438138
LOTISSEMENT;Lotissement L'Etang Martel;L ETANG MARTEL;MARTEL;95540200,95540201,95540205,95540206,392617501
PLACE;Place de l'Hôtel de Ville;DE L HOTEL DE VILLE;VILLE;33189989
PLACE;Place de la République;DE LA REPUBLIQUE;REPUBLIQUE;230900709
PLACE;Place de l’Église;DE L’EGLISE;L’EGLISE;392616810,392616811
PLACE;Place du 8 Mai;DU 8 MAI;MAI;33190150
PLACE;Place du Champ de Mars;DU CHAMP DE MARS;MARS;95541668
ROUTE;Route de Chazeuil;DE CHAZEUIL;CHAZEUIL;33190333
ROUTE;Route de Créchy;DE CRECHY;CRECHY;33177350,136488965
ROUTE;Route de Montoldre;DE MONTOLDRE;MONTOLDRE;392612106
ROUTE;Route de Moulins;DE MOULINS;MOULINS;321155513,352073252
ROUTE;Route de Saint-Pourçain-sur-Sioule;DE SAINT POURCAIN SUR SIOULE;SIOULE;27485054,27485073
RUE;Rue Antoine Fayard;ANTOINE FAYARD;FAYARD;33189987
RUE;Rue Carnot;CARNOT;CHAUME;33190067
RUE;Rue Claude Labonde;CLAUDE LABONDE;LABONDE;230899783
RUE;Rue Claudius Bourin;CLAUDIUS BOURIN;BOURIN;95537140
RUE;Rue Claudius Tury;CLAUDIUS TURY;TURY;33177031
RUE;Rue Gambetta;GAMBETTA;CHAZEUIL;42148280
RUE;Rue Henri Dunant;HENRI DUNANT;DUNANT;126432797
RUE;Rue Jean Chaume;JEAN CHAUME;CHAUME;33190024
RUE;Rue Jean Jaurès;JEAN JAURES;JAURES;95525851,230901947
RUE;Rue Jules Dupré;JULES DUPRE;DUPRE;33077314,657606073
RUE;Rue Louis Blanc;LOUIS BLANC;BLANC;95541670
RUE;Rue Louis Bonjon;LOUIS BONJON;BONJON;230900710
RUE;Rue Marius Courteix;MARIUS COURTEIX;COURTEIX;341438155
RUE;Rue Nicolas Morand;NICOLAS MORAND;MORAND;392621633,392621634,392621635
RUE;Rue René Corre;RENE CORRE;CORRE;95531915,392622412,392622414
RUE;Rue d'Alsace;D ALSACE;ALSACE;95540203,392618052
RUE;Rue d'Aquitaine;D AQUITAINE;AQUITAINE;95539642
RUE;Rue d'Île de France;D ILE DE FRANCE;FRANCE;33177045
RUE;Rue de Beaupuy;DE BEAUPUY;BEAUPUY;392617145
RUE;Rue de Bourgogne;DE BOURGOGNE;BOURGOGNE;95539645
RUE;Rue de Bretagne;DE BRETAGNE;BRETAGNE;392618680
RUE;Rue de Franche-Comté;DE FRANCHE COMTE;COMTE;95539643
RUE;Rue de La Rochelle;DE LA ROCHELLE;ROCHELLE;33177115
RUE;Rue de Mauregard;DE MAUREGARD;MAUREGARD;95528786
RUE;Rue de Normandie;DE NORMANDIE;NORMANDIE;33190159,33190161
RUE;Rue de Picardie;DE PICARDIE;PICARDIE;33190154
RUE;Rue de Provence;DE PROVENCE;PROVENCE;95539646
RUE;Rue de Touraine;DE TOURAINE;TOURAINE;33177093
RUE;Rue de Vouroux;DE VOUROUX;VOUROUX;25893661
RUE;Rue de l'Abattoir;DE L ABATTOIR;ABATTOIR;95537386,230899784
RUE;Rue de l'Hôtel de Ville;DE L HOTEL DE VILLE;VILLE;170662884
RUE;Rue de la Brunette;DE LA BRUNETTE;BRUNETTE;170663412
RUE;Rue de la Gendarmerie;DE LA GENDARMERIE;GENDARMERIE;95537383
RUE;Rue de la Villette;DE LA VILLETTE;VILLETTE;25893660,33177124,392624920,426781317,426781318
RUE;Rue des Anciens Combattants d'AFN;DES ANCIENS COMBATTANTS D AFN;AFN;392618910
RUE;Rue des Ardennes;DES ARDENNES;ARDENNES;33177072
RUE;Rue des Brémonts;DES BREMONTS;BREMONTS;27329806
RUE;Rue des Deux Garennes;DES DEUX GARENNES;GARENNES;95528626,230895993
RUE;Rue des Halles;DES HALLES;HALLES;95541671
RUE;Rue des Peupliers;DES PEUPLIERS;PEUPLIERS;95526705
RUE;Rue des Pochots;DES POCHOTS;POCHOTS;95531022
RUE;Rue des Trois Maures;DES TROIS MAURES;MAURES;33190124
RUE;Rue des Églantines;DES EGLANTINES;EGLANTINES;95526706
RUE;Rue du Bourbonnais;DU BOURBONNAIS;BOURBONNAIS;33177024
RUE;Rue du Clos Richard;DU CLOS RICHARD;RICHARD;499389083
RUE;Rue du Dauphiné;DU DAUPHINE;DAUPHINE;392621632
RUE;Rue du Marché;DU MARCHE;MARCHE;33177131
RUE;Rue du Moulin Vaque;DU MOULIN VAQUE;VAQUE;33177620
RUE;Rue du Onze Novembre;DU ONZE NOVEMBRE;NOVEMBRE;95541241
RUE;Rue du Quatre Septembre;DU QUATRE SEPTEMBRE;SEPTEMBRE;170662885
RUE;Rue du Repos;DU REPOS;REPOS;125755717
SQUARE;Square de Vouroux;DE VOUROUX;VOUROUX;95537139,392629958
