voie;name;name_norm;last_word_norm;ways
ANCIEN CHEMIN;Ancien Chemin de la Moutière;DE LA MOUTIERE;MOUTIERE;339304435
CHEMIN;Chemin de Tras;DE TRAS;TRAS;111413232,195372927,195372933
CHEMIN;Chemin de l'Où Vit Vouat;DE L OÙ VIT VOUAT;VOUAT;339304428
CHEMIN;Chemin de la Sagne;DE LA SAGNE;SAGNE;339303295
CHEMIN;Chemin du Rampan;DU RAMPAN;RAMPAN;195372929
;Grand Rue;GRAND RUE;RUE;339303306
;Le Boulevard;LE BOULEVARD;BOULEVARD;339303299
MONTEE;Montée de l'Église;DE L EGLISE;EGLISE;339303297
PLACE;Place Joseph Rancurel;JOSEPH RANCUREL;RANCUREL;339303310
PLACE;Place Simon Gaffard;SIMON GAFFARD;GAFFARD;339303302
PLACE;Place d'Autane;D AUTANE;AUTANE;339304433
PLACE;Place de la Mar Salo;DE LA MAR SALO;SALO;339304427
PLACE;Place du Cercle;DU CERCLE;CERCLE;339303314
RUE;Rue Amiral de Richery;AMIRAL DE RICHERY;RICHERY;339303307,423656986
RUE;Rue de l'Abato;DE L ABATO;ABATO;339304430
RUE;Rue de l'Église;DE L EGLISE;EGLISE;339303298
RUE;Rue de la Forge;DE LA FORGE;FORGE;195372922
RUE;Rue des Rendez-Vous;DES RENDEZ VOUS;VOUS;339303312
RUE;Rue des Étables;DES ETABLES;ETABLES;339303296
RUE;Rue du Château;DU CHATEAU;CHATEAU;339303304
RUE;Rue du Cochonnier;DU COCHONNIER;COCHONNIER;339304431,339304432
RUE;Rue du Fort;DU FORT;FORT;195372924,423656990,423656991
RUE;Rue du Four;DU FOUR;FOUR;339304429
RUE;Rue du Vergeron;DU VERGERON;VERGERON;339303293
