voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue des Aires;DES AIRES;AIRES;286080338
BOULEVARD;Boulevard du Nord;DU NORD;NORD;286080715
CARREFOUR;Carrefour Saint-Jean;SAINT JEAN;JEAN;27668431
CHEMIN;Chemin Plaine Redonne;PLAINE REDONNE;REDONNE;329726605
CHEMIN;Chemin de Beauregard;DE BEAUREGARD;BEAUREGARD;329723611,396605299
CHEMIN;Chemin de Bertrand;DE BERTRAND;BERTRAND;28968113
CHEMIN;Chemin de Biabaux;DE BIABAUX;BIABAUX;37498415,153506023
CHEMIN;Chemin de Brunière;DE BRUNIERE;BRUNIERE;286864594
CHEMIN;Chemin de Pramaiche;DE PRAMAICHE;PRAMAICHE;33849737
CHEMIN;Chemin de Saint-Jean;DE SAINT JEAN;JEAN;27668429,396604910
CHEMIN;Chemin de Seynet;DE SEYNET;SEYNET;33849735,85659372,171511354
CHEMIN;Chemin de l'Adroit;DE L ADROIT;ADROIT;286856558
CHEMIN;Chemin de l'Andrône de Madame;DE L ANDRONE DE MADAME;MADAME;85659356
CHEMIN;Chemin de la Calade;DE LA CALADE;CALADE;85659323
CHEMIN;Chemin de la Crau;DE LA CRAU;CRAU;55761336
CHEMIN;Chemin de la Raté;DE LA RATE;RATE;85659376
CHEMIN;Chemin des Aires;DES AIRES;AIRES;55761349
CHEMIN;Chemin des Cavaliers;DES CAVALIERS;CAVALIERS;33849739
CHEMIN;Chemin des Ferrayes;DES FERRAYES;FERRAYES;28968116
CHEMIN;Chemin des Gondines;DES GONDINES;GONDINES;91032495
CHEMIN;Chemin des Goudines;DES GOUDINES;GOUDINES;40097384,286066217
CHEMIN;Chemin des Prayes;DES PRAYES;PRAYES;33849740
CHEMIN;Chemin des Ubages;DES UBAGES;UBAGES;131821209
CHEMIN;Chemin du Bief;DU BIEF;BIEF;91032490
CHEMIN;Chemin du Frail;DU FRAIL;FRAIL;286066223
CHEMIN;Chemin du Largue;DU LARGUE;LARGUE;286066213
CHEMIN;Chemin du Moulin Nalin;DU MOULIN NALIN;NALIN;91032496
CHEMIN;Chemin du Plan;DU PLAN;PLAN;55761344
CHEMIN;Chemin du Pont Rouge;DU PONT ROUGE;ROUGE;85659351
CHEMIN;Chemin du Porcherieu;DU PORCHERIEU;PORCHERIEU;286068051,286077013
CHEMIN;Chemin du Prieuré;DU PRIEURE;PRIEURE;33849738
CHEMIN;Chemin du Rocher;DU ROCHER;ROCHER;286067921
COURS;Cours de Blegiers;DE BLEGIERS;BLEGIERS;286865350
IMPASSE;Impasse du Barri;DU BARRI;BARRI;286081475,286865401
;Le Grand Chemin;LE GRAND CHEMIN;CHEMIN;27668385,614535526
;Le Pont Rouge;LE PONT ROUGE;ROUGE;64497298
;Les Aires;LES AIRES;AIRES;30870210
LOTISSEMENT;Lotissement Chamounas;CHAMOUNAS;REMPART;437273961
LOTISSEMENT;Lotissement Les Ferrages;LES FERRAGES;FERRAGES;286866828
MONTEE;Montée de la Calade;DE LA CALADE;CALADE;286067450
MONTEE;Montée de la Moutte;DE LA MOUTTE;MOUTTE;286068060
PASSAGE;Passage des Micots;DES MICOTS;MICOTS;286067951
ROUTE;Route de Geosel;DE GEOSEL;GEOSEL;220010371,286856560
ROUTE;Route de Manosque;DE MANOSQUE;MANOSQUE;24457803,64497291,286065138,379371733,379371736,396605301,579631774,614535524,614535525
ROUTE;Route de Saint-Martin-les-Eaux;DE SAINT MARTIN LES EAUX;EAUX;286856338,614535528
ROUTE;Route de Saint-Michel-l'Observatoire;DE SAINT MICHEL L OBSERVATOIRE;OBSERVATOIRE;286856881,396604908
ROUTE;Route de la Bastide Neuve;DE LA BASTIDE NEUVE;NEUVE;27668430
ROUTE;Route de la Mort d'Imbert;DE LA MORT D IMBERT;IMBERT;286065137,313665703,379371898
ROUTE;Route de la Rencontre;DE LA RENCONTRE;RENCONTRE;286067425,286079185
RUE;Rue Grande;GRANDE;ROCHER;286067923,286865500
RUE;Rue Scarpée;SCARPEE;ROCHER;286067924,286865392
RUE;Rue de l'Église;DE L EGLISE;EGLISE;286068828
RUE;Rue de la Croix du Collet;DE LA CROIX DU COLLET;COLLET;286067919
RUE;Rue de la Pierre;DE LA PIERRE;PIERRE;286068549
RUE;Rue du Barri;DU BARRI;BARRI;286107592
RUE;Rue du Figuier;DU FIGUIER;FIGUIER;286068403
RUE;Rue du Portail Plench;DU PORTAIL PLENCH;PLENCH;286081476
RUE;Rue du Torse;DU TORSE;TORSE;286068586,286865009
RUE;Rue sous le Rempart;SOUS LE REMPART;REMPART;374583929
TERRASSE;Terrasse du Château;DU CHATEAU;CHATEAU;286068402
