voie;name;name_norm;last_word_norm;ways
;Accaparé;ACCAPARE;ACCAPARE;588150485,588150486,588150487,588150488,588150491,588150492,588150493,588150494,588150496,588150497,588150499,588150500
ALLEE;Allée Charles De Gaulle;CHARLES DE GAULLE;GAULLE;421012913
CHEMIN;Chemin de Bouinenc;DE BOUINENC;BOUINENC;326571393
CHEMIN;Chemin de Champ Pendu;DE CHAMP PENDU;PENDU;197792730,197792737,197792747
CHEMIN;Chemin de Champ-Réon;DE CHAMP REON;REON;421024951
CHEMIN;Chemin de Cougourde;DE COUGOURDE;COUGOURDE;197794837
CHEMIN;Chemin de Dentillon;DE DENTILLON;DENTILLON;252692793
CHEMIN;Chemin de L'Ombre;DE L OMBRE;OMBRE;399265018
CHEMIN;Chemin de La Frache;DE LA FRACHE;FRACHE;399268256
CHEMIN;Chemin de Maison-Neuve;DE MAISON NEUVE;NEUVE;252692782
CHEMIN;Chemin de Minjaud;DE MINJAUD;MINJAUD;197753162
CHEMIN;Chemin de Mouiroues;DE MOUIROUES;MOUIROUES;616339951
CHEMIN;Chemin de Plan Est;DE PLAN EST;EST;197792570,197792576
CHEMIN;Chemin de Saint-Jacques;DE SAINT JACQUES;JACQUES;252692784
CHEMIN;Chemin de Saint-Laurent;DE SAINT LAURENT;LAURENT;399268930
CHEMIN;Chemin de Saint-Martin;DE SAINT MARTIN;MARTIN;197792421
CHEMIN;Chemin de Tuileraie;DE TUILERAIE;TUILERAIE;197753014
CHEMIN;Chemin de Virasset;DE VIRASSET;VIRASSET;399271573
CHEMIN;Chemin de la Chapelle Saint-Raphaël;DE LA CHAPELLE SAINT RAPHAEL;RAPHAEL;197795034
CHEMIN;Chemin de la Croix;DE LA CROIX;CROIX;421009878
CHEMIN;Chemin de la Grande Colle;DE LA GRANDE COLLE;COLLE;328259094
CHEMIN;Chemin des Dourbes;DES DOURBES;DOURBES;399269994
CHEMIN;Chemin des Estruges;DES ESTRUGES;ESTRUGES;399270363
CHEMIN;Chemin des Prunières;DES PRUNIERES;PRUNIERES;252684131
CHEMIN;Chemin des Pré-Neuf;DES PRE NEUF;NEUF;420759499
CHEMIN;Chemin des Roubauds;DES ROUBAUDS;ROUBAUDS;197753169
CHEMIN;Chemin des Sagnes;DES SAGNES;SAGNES;197794782,399269834
CHEMIN;Chemin des Ubachons;DES UBACHONS;UBACHONS;399271199
CHEMIN;Chemin des Vergers;DES VERGERS;VERGERS;197753010
CHEMIN;Chemin du Coulet Redon;DU COULET REDON;REDON;247653176
CHEMIN;Chemin du Degoutail;DU DEGOUTAIL;DEGOUTAIL;399266634
CHEMIN;Chemin du Moulin;DU MOULIN;MOULIN;197752884
CHEMIN;Chemin du Petit Duc;DU PETIT DUC;DUC;399271377
CHEMIN;Chemin du Pré au Pous;DU PRE AU POUS;POUS;399265703
ESCALIER;Escalier Sainte-Anne;SAINTE ANNE;ANNE;197795297
IMPASSE;Impasse des Vignes;DES VIGNES;VIGNES;197752863
IMPASSE;Impasse du Rouquet;DU ROUQUET;ROUQUET;199483263
MONTEE;Montée Saint-Michel;SAINT MICHEL;MICHEL;421012141
PLACE;Place de la Fontaine;DE LA FONTAINE;FONTAINE;421016540
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;421040053
PLACE;Place du 19 Mars 1962;DU 19 MARS 1962;1962;209088402
ROUTE;Route de Barcelonnette;DE BARCELONNETTE;BARCELONNETTE;103363625,103363641,197795452,396594489
ROUTE;Route de Saint-Jean;DE SAINT JEAN;JEAN;399264768
ROUTE;Route des Granges;DES GRANGES;GRANGES;197753231
ROUTE;Route des Laux;DES LAUX;LAUX;326571704,326572253
ROUTE;Route du Clos de Jalines;DU CLOS DE JALINES;JALINES;399265279,484232602
ROUTE;Route du Mardaric;DU MARDARIC;MARDARIC;166800214
ROUTE;Route du Pigeon Blanc;DU PIGEON BLANC;BLANC;77069544
ROUTE;Route du Roubinas;DU ROUBINAS;ROUBINAS;77069545,135423801,135423805
ROUTE;Route du Village;DU VILLAGE;VILLAGE;77069541,484232605
RUE;Rue Saint-Antoine;SAINT ANTOINE;ANTOINE;209084991,484232603
RUE;Rue de Mallevieille;DE MALLEVIEILLE;MALLEVIEILLE;199483265
RUE;Rue du Pra-Piouvert;DU PRA PIOUVERT;PIOUVERT;197795155
RUELLE;Ruelle du Four;DU FOUR;FOUR;209087997
