voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Gare;DE LA GARE;GARE;111660668
CHEMIN;Chemin de la Sasse;DE LA SASSE;SASSE;456324842
CHEMIN;Chemin du Colombier;DU COLOMBIER;COLOMBIER;196563862
ROUTE;Route de La Mure;DE LA MURE;MURE;73141354,196552120
RUE;Rue Droite;DROITE;SASSE;456325613
RUE;Rue Longue;LONGUE;DAME;456324840,456324841
RUE;Rue Notre-Dame;NOTRE DAME;DAME;456324834,456324835
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;196557621,196563859,456324836
RUE;Rue du Milieu;DU MILIEU;MILIEU;196563860
RUE;Rue du Mois d'Août;DU MOIS D AOUT;AOUT;196553044
RUE;Rue du Roc;DU ROC;ROC;196557617
RUE;Rue les Ferrayes du Pré d'Ancilly;LES FERRAYES DU PRE D ANCILLY;ANCILLY;456325614
