voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Massillon;MASSILLON;MASSILLON;31552196,243890589
ALLEE;Allée de la Plantation;DE LA PLANTATION;PLANTATION;125820750,496594310
ALLEE;Allée des Soutes;DES SOUTES;SOUTES;235165019
ALLEE;Allée du Bosquet;DU BOSQUET;BOSQUET;344078741
CHEMIN;Chemin de l'Ecole;DE L ECOLE;ECOLE;235165172
CHEMIN;Chemin des Jardins;DES JARDINS;JARDINS;344079163
;De Rochambeau;DE ROCHAMBEAU;ROCHAMBEAU;344086262
;Impasse;IMPASSE;IMPASSE;344085908
IMPASSE;Impasse de l'Ancienne Poste;DE L ANCIENNE POSTE;POSTE;344086012
IMPASSE;Impasse de la Chapelle;DE LA CHAPELLE;CHAPELLE;264880459
IMPASSE;Impasse du Porche;DU PORCHE;PORCHE;344079783
PLACE;Place Marquis de Larray;MARQUIS DE LARRAY;LARRAY;124778026,377883925
PLACE;Place Rosaguti;ROSAGUTI;ROSAGUTI;344078707
PLACE;Place Vauban;VAUBAN;VAUBAN;124779758
;Porche;PORCHE;PORCHE;344085043
PORCHE;Porche de l'Ancienne Mairie;DE L ANCIENNE MAIRIE;MAIRIE;344084914,496633534,496633535
ROUTE;Route d'Embrun;D EMBRUN;EMBRUN;124779760,474913647,474913648
ROUTE;Route d'Eygliers;D EYGLIERS;EYGLIERS;31551927,243890604,410844100
RUE;Rue Catinat;CATINAT;CATINAT;31551926,377883927,496595134,496595135,496597275
RUE;Rue Colonel Cabrié;COLONEL CABRIE;CABRIE;31551931,344078674,496595136,496595137
RUE;Rue Rouget de L'Isle;ROUGET DE L ISLE;ISLE;31551932,124779761,344078673,410844097
RUE;Rue de L'Arsenal;DE L ARSENAL;ARSENAL;124779762
SENTIER;Sentier des Marmottes;DES MARMOTTES;MARMOTTES;243817066
TRAVERSE;Traverse de l'Ancien Hôpital;DE L ANCIEN HOPITAL;HOPITAL;264880373
