voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue Ozier;OZIER;OZIER;181464852
AVENUE;Avenue du Midi;DU MIDI;MIDI;8038689,579408523,579408545,581715501,581715502
AVENUE;Avenue du Saint-Joseph;DU SAINT JOSEPH;JOSEPH;181464858,285719402,365402203
CHEMIN;Chemin de Barret;DE BARRET;BARRET;450875944,450875945
CHEMIN;Chemin de Champlong;DE CHAMPLONG;CHAMPLONG;134566725,579408520,579408548,579408590,579408594
CHEMIN;Chemin de Halage;DE HALAGE;HALAGE;229799348
CHEMIN;Chemin de la Plaine;DE LA PLAINE;PLAINE;134668577
CHEMIN;Chemin des Auray;DES AURAY;AURAY;140971007
CHEMIN;Chemin des Goules;DES GOULES;GOULES;229799349
CHEMIN;Chemin des Travers;DES TRAVERS;TRAVERS;227348532
CHEMIN;Chemin des Îles;DES ILES;ILES;229799350,239184785,239184786
;Grande Rue;GRANDE RUE;RUE;134223031
IMPASSE;Impasse Faurie;FAURIE;FAURIE;134387255
;Les Claux;LES CLAUX;CLAUX;134566728
LOTISSEMENT;Lotissement des Marroniers;DES MARRONIERS;MARRONIERS;134222976
LOTISSEMENT;Lotissement des Morillons;DES MORILLONS;MORILLONS;134419854
PLACE;Place de l'Église;DE L EGLISE;EGLISE;229799359,229799360
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;134387257
PLACE;Place des Confins;DES CONFINS;CONFINS;229799421
PLACE;Place des Galets du Rhône;DES GALETS DU RHONE;RHONE;229799361
PLACE;Place des Launays;DES LAUNAYS;LAUNAYS;134387256,229799362
PLACE;Place du Marché;DU MARCHE;MARCHE;134387320,134419493
ROUTE;Route de Plats;DE PLATS;PLATS;61491552
RUE;Rue de Chalaix;DE CHALAIX;CHALAIX;134567469
RUE;Rue de Labrot;DE LABROT;LABROT;134387254
RUE;Rue de l'Arbalestrier;DE L ARBALESTRIER;ARBALESTRIER;134222872
RUE;Rue de l'Oche;DE L OCHE;OCHE;229799364
RUE;Rue de l'Église;DE L EGLISE;EGLISE;229799365
RUE;Rue de la Clautre;DE LA CLAUTRE;CLAUTRE;134222980
RUE;Rue de la Font;DE LA FONT;FONT;229799366
RUE;Rue de la Fourelle;DE LA FOURELLE;FOURELLE;134200616
RUE;Rue de la Gare;DE LA GARE;GARE;76999921
RUE;Rue de la Miellerie;DE LA MIELLERIE;MIELLERIE;229799367
RUE;Rue de la Passerelle;DE LA PASSERELLE;PASSERELLE;134387252
RUE;Rue de la Pillardere;DE LA PILLARDERE;PILLARDERE;229799368
RUE;Rue de la Voûte;DE LA VOUTE;VOUTE;134387318,229799369,229799370
RUE;Rue des Bornes;DES BORNES;BORNES;229799371
RUE;Rue des Braux;DES BRAUX;BRAUX;134222977,229799372
RUE;Rue des Claux;DES CLAUX;CLAUX;134200714
RUE;Rue des Condamines;DES CONDAMINES;CONDAMINES;134222871,134222874
RUE;Rue des Confins;DES CONFINS;CONFINS;229799373,229799397
RUE;Rue des Cévennes;DES CEVENNES;CEVENNES;134200712
RUE;Rue des Fleurs;DES FLEURS;FLEURS;134223808
RUE;Rue des Glycines;DES GLYCINES;GLYCINES;229799374
RUE;Rue des Grèzes;DES GREZES;GREZES;134568562
RUE;Rue des Launays;DES LAUNAYS;LAUNAYS;229799375
RUE;Rue des Murets;DES MURETS;MURETS;134419855
RUE;Rue des Mûres;DES MURES;MURES;134223802
RUE;Rue des Platanes;DES PLATANES;PLATANES;134200617,229799376
RUE;Rue des Pénitents;DES PENITENTS;PENITENTS;134223807
RUE;Rue des Sources;DES SOURCES;SOURCES;134224525,229799377
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;134387251,134387253
RUE;Rue du Rhône;DU RHONE;RHONE;134385927
RUE;Rue du Tamaris;DU TAMARIS;TAMARIS;229799378
VIA;ViaRhôna;RHONA;RHONA;134222880,229799420,240237796,240237797
