voie;name;name_norm;last_word_norm;ways
ANCIEN CHEMIN;Ancien Chemin de Cernion;DE CERNION;CERNION;365972251
CHEMIN;Chemin du Clechenon;DU CLECHENON;CLECHENON;365972252
RUE;Rue Principale;PRINCIPALE;PRINCIPALE;98656947,365972254
RUE;Rue Saint-Remacle;SAINT REMACLE;REMACLE;365972255,365972256
RUE;Rue Saint-Rémi;SAINT REMI;REMI;203495755,533166904,533166907
RUE;Rue Saint-Wast;SAINT WAST;WAST;365972257
RUE;Rue de l'Audry;DE L AUDRY;AUDRY;365960510
RUE;Rue de la Gare;DE LA GARE;GARE;203495754,386022366
RUE;Rue de la Halle;DE LA HALLE;HALLE;365972258
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;365972259
RUE;Rue du Moulin;DU MOULIN;MOULIN;365972260
