voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue Roger Posty;ROGER POSTY;POSTY;239648104
AVENUE;Avenue du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;313992629
;Bon Air;BON AIR;AIR;314012828
CHEMIN;Chemin d'Hargnies;D HARGNIES;HARGNIES;144723037,364185970,364185971
CHEMIN;Chemin de Campagne;DE CAMPAGNE;CAMPAGNE;116914379
CHEMIN;Chemin de Halage;DE HALAGE;HALAGE;116914386,116925645,574193179,574193181,574193182
CHEMIN;Chemin des Roches;DES ROCHES;ROCHES;116914381
CITE;Cité Joliot-Curie;JOLIOT CURIE;CURIE;144722980,177805648,177805772,177805793
ECLUSE;Ecluse Mouyon;MOUYON;BERTRAND;116914378
PASSERELLE;Passerelle de Montigny sur Meuse;DE MONTIGNY SUR MEUSE;MEUSE;242395287
PLACE;Place de l'Église;DE L EGLISE;EGLISE;116914364
PLACE;Place des Triés;DES TRIES;TRIES;144722975,313992623,313992627
;Pon Jean Matine;PON JEAN MATINE;MATINE;143235826
PONT;Pont de Vireux;DE VIREUX;VIREUX;99773609
RUE;Rue Bellevue;BELLEVUE;DAME;144723014
RUE;Rue Edmond Guyaux;EDMOND GUYAUX;GUYAUX;116914392,313992625,364185980
RUE;Rue Gaston Barre;GASTON BARRE;BARRE;144723060,364185983,364185984
RUE;Rue Mardouilleau;MARDOUILLEAU;MESANGES;144723067,313992621
RUE;Rue Michel Petitfrere;MICHEL PETITFRERE;PETITFRERE;144722979,144723028,314012829
RUE;Rue Notre-Dame;NOTRE DAME;DAME;144723013,144723044
RUE;Rue Pas d'Eau;PAS D EAU;EAU;116914356,533151590,533151591
RUE;Rue Pierre Vienot;PIERRE VIENOT;VIENOT;144723057
RUE;Rue Saint-Georges;SAINT GEORGES;GEORGES;144723048
RUE;Rue Saint-Hubert;SAINT HUBERT;HUBERT;144723006
RUE;Rue Saint-Jacques;SAINT JACQUES;JACQUES;144723021
RUE;Rue Saint-Nicolas;SAINT NICOLAS;NICOLAS;116914360,518912912,518912914
RUE;Rue Saint-Roch;SAINT ROCH;ROCH;144723025,144723045,556872206
RUE;Rue Sur les Roches;SUR LES ROCHES;ROCHES;116914382
RUE;Rue de Mon Plaisir;DE MON PLAISIR;PLAISIR;314012824,314012825
RUE;Rue de Prau;DE PRAU;PRAU;144723042
RUE;Rue de Rognaque;DE ROGNAQUE;ROGNAQUE;314012822,314012823
RUE;Rue de l'Oseraie;DE L OSERAIE;OSERAIE;419663971,420586875,420586878
RUE;Rue de la Campagne;DE LA CAMPAGNE;CAMPAGNE;116914358,233253714,314012832,314012833
RUE;Rue de la Dossière;DE LA DOSSIERE;DOSSIERE;313992633
RUE;Rue des Bonniers;DES BONNIERS;BONNIERS;144723017
RUE;Rue des Fossés;DES FOSSES;FOSSES;144723061
RUE;Rue des Maquisards;DES MAQUISARDS;MAQUISARDS;313992620,556872205
RUE;Rue des Mésanges;DES MESANGES;MESANGES;144723065
RUE;Rue des Roches;DES ROCHES;ROCHES;144723003,364185985
RUE;Rue des Rouges Voies;DES ROUGES VOIES;VOIES;313992631
RUE;Rue du 8 Mai 1945;DU 8 MAI 1945;1945;364185987,364185988
RUE;Rue du Bac;DU BAC;BAC;116914390
RUE;Rue du Château;DU CHATEAU;CHATEAU;116914385
RUE;Rue du Clos Bauduin;DU CLOS BAUDUIN;BAUDUIN;144723015
RUE;Rue du Général Bertrand;DU GENERAL BERTRAND;BERTRAND;116914377
RUE;Rue du Moulin Casin;DU MOULIN CASIN;CASIN;144723062
RUE;Rue du Pont;DU PONT;PONT;98757445,533151578
RUE;Rue du Ridoux;DU RIDOUX;RIDOUX;364185990
RUE;Rue du Rivage;DU RIVAGE;RIVAGE;116914388,116914391,533014411
RUE;Rue du Terne d'Hargnies;DU TERNE D HARGNIES;HARGNIES;313992632
RUELLE;Ruelle du Gaux;DU GAUX;GAUX;313987687
