voie;name;name_norm;last_word_norm;ways
PLACE;Place de l'Église;DE L EGLISE;EGLISE;182444181
RUE;Rue Emporte;EMPORTE;BELPECH;94825402
RUE;Rue Nalzieu;NALZIEU;CHAPELLE;455583153
RUE;Rue Naouma;NAOUMA;BELPECH;182444175
RUE;Rue de Laudinet;DE LAUDINET;LAUDINET;435065069
RUE;Rue de Loum;DE LOUM;LOUM;321392830
RUE;Rue de Loupiac;DE LOUPIAC;LOUPIAC;182444276
RUE;Rue de la Borde;DE LA BORDE;BORDE;321392788
RUE;Rue de la Chapelle;DE LA CHAPELLE;CHAPELLE;435065070
RUE;Rue des Jardins;DES JARDINS;JARDINS;182444272
