voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Courcelange;DE COURCELANGE;COURCELANGE;112452427
CHEMIN;Chemin des Pelouses;DES PELOUSES;PELOUSES;77365972
CHEMIN;Chemin du Milieu;DU MILIEU;MILIEU;37764534
CHEMIN;Chemin du Vallon;DU VALLON;VALLON;77364503
;Grande Rue;GRANDE RUE;RUE;37986469
ROUTE;Route Nationale;NATIONALE;NATIONALE;281597482
RUE;Rue Neuve;NEUVE;NEUVE;37986470
RUE;Rue Saint-Nicolas;SAINT NICOLAS;NICOLAS;77363922
RUE;Rue de l'Abbaye;DE L ABBAYE;ABBAYE;315860909
RUE;Rue de l'Abreuvoir;DE L ABREUVOIR;ABREUVOIR;37986524
RUE;Rue des Généfrines;DES GENEFRINES;GENEFRINES;77364091,517053642,517053644,517053646
RUE;Rue des Verdenoises;DES VERDENOISES;VERDENOISES;37986494
RUE;Rue du Château;DU CHATEAU;CHATEAU;282585080
RUE;Rue du Milieu;DU MILIEU;MILIEU;37986451
RUE;Rue du Parc;DU PARC;PARC;77363923
