voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Champigny;DE CHAMPIGNY;CHAMPIGNY;118928637
CHEMIN;Chemin du Pont d'Argent;DU PONT D ARGENT;ARGENT;285035122,285035145
RUE;Rue de l'Église;DE L EGLISE;EGLISE;118927076
RUE;Rue de la Côte;DE LA COTE;COTE;118928639
RUE;Rue de la Forêt;DE LA FORET;FORET;118929129
RUE;Rue de la Grande Cour;DE LA GRANDE COUR;COUR;118927074
RUE;Rue des Berges;DES BERGES;BERGES;285024754
RUE;Rue des Fontaines;DES FONTAINES;FONTAINES;118928638
RUE;Rue du Bas;DU BAS;BAS;118693246
RUE;Rue du Cerisier Sauvage;DU CERISIER SAUVAGE;SAUVAGE;118927075
RUE;Rue du Château d'Eau;DU CHATEAU D EAU;EAU;285025288
RUE;Rue du Haut;DU HAUT;HAUT;118927065,363347082
RUE;Rue du Moulin;DU MOULIN;MOULIN;148369236
RUE;Rue du Paty;DU PATY;PATY;118927077
RUE;Rue du Presbytère;DU PRESBYTERE;PRESBYTERE;118927072
RUE;Rue du Puid de la Ville;DU PUID DE LA VILLE;VILLE;285024756
RUELLE;Ruelle Juilly;JUILLY;JUILLY;433894512
VOIE;Voie de Champigny;DE CHAMPIGNY;CHAMPIGNY;118693243
