voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue Georges Pompidou;GEORGES POMPIDOU;POMPIDOU;499681325
AVENUE;Avenue Philippe Seguin;PHILIPPE SEGUIN;SEGUIN;150926829,366040733
AVENUE;Avenue du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;103925813,150926796,602208314,602208315,602208316,602208317
AVENUE;Avenue du Maréchal de Lattre de Tassigny;DU MARECHAL DE LATTRE DE TASSIGNY;TASSIGNY;150935890
BOULEVARD;Boulevard Antoine de Saint-Exupéry;ANTOINE DE SAINT EXUPERY;EXUPERY;150926799,150926822,150926826,499681316,533879311
CHEMIN;Chemin La Fin de Maiziere;LA FIN DE MAIZIERE;MAIZIERE;233599031
CHEMIN;Chemin de la Pie;DE LA PIE;PIE;151049929
CHEMIN;Chemin du Calvaire;DU CALVAIRE;CALVAIRE;151053776
IMPASSE;Impasse de la Noue;DE LA NOUE;NOUE;151052250
PLACE;Place Adrien Quinet;ADRIEN QUINET;QUINET;150936916
PLACE;Place Léopoldine Deschamps;LEOPOLDINE DESCHAMPS;DESCHAMPS;150936919
PLACE;Place Saint-Denis;SAINT DENIS;DENIS;151043642,362819788
RUE;Rue Achille Flaubert;ACHILLE FLAUBERT;FLAUBERT;151049931
RUE;Rue Albert Benoist;ALBERT BENOIST;BENOIST;150938010
RUE;Rue Ambroise Paré;AMBROISE PARE;PARE;150938011
RUE;Rue Basse de Poussay;BASSE DE POUSSAY;POUSSAY;150928679
RUE;Rue Georges Clemenceau;GEORGES CLEMENCEAU;CLEMENCEAU;151049932
RUE;Rue Georges Pompidou;GEORGES POMPIDOU;POMPIDOU;151054425
RUE;Rue Jean Monnet;JEAN MONNET;MONNET;150936920
RUE;Rue Jean-Baptiste de Lesseps;JEAN BAPTISTE DE LESSEPS;LESSEPS;150938012
RUE;Rue Joliot Curie;JOLIOT CURIE;CURIE;150926966
RUE;Rue Jules Ferry;JULES FERRY;FERRY;150936923
RUE;Rue Louis Joly;LOUIS JOLY;JOLY;150928681
RUE;Rue Maurice Renault;MAURICE RENAULT;RENAULT;150936925
RUE;Rue Pasteur;PASTEUR;PASTEUR;93494835,150926968
RUE;Rue Patris;PATRIS;PATRIS;150938013
RUE;Rue Robert Galley;ROBERT GALLEY;GALLEY;150926823
RUE;Rue Victor Hugo;VICTOR HUGO;HUGO;151052252
RUE;Rue de l'Essy;DE L ESSY;ESSY;150938014
RUE;Rue de l'Orme;DE L ORME;ORME;151053778
RUE;Rue de la Chapelle;DE LA CHAPELLE;CHAPELLE;151052253
RUE;Rue de la Chefferie;DE LA CHEFFERIE;CHEFFERIE;151054426
RUE;Rue de la Contrée du Pont;DE LA CONTREE DU PONT;PONT;151044770
RUE;Rue de la Libération;DE LA LIBERATION;LIBERATION;151043643
RUE;Rue de la Paix;DE LA PAIX;PAIX;93992032
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;151043645
RUE;Rue des Aulnes;DES AULNES;AULNES;151049935
RUE;Rue des Baudets;DES BAUDETS;BAUDETS;151052254
RUE;Rue des Billouts;DES BILLOUTS;BILLOUTS;150927781
RUE;Rue des Bédoins;DES BEDOINS;BEDOINS;150928684
RUE;Rue des Carreaux;DES CARREAUX;CARREAUX;151052255
RUE;Rue des Cotterets;DES COTTERETS;COTTERETS;151043646
RUE;Rue des Jacquets;DES JACQUETS;JACQUETS;150927783
RUE;Rue des Lombards;DES LOMBARDS;LOMBARDS;150927784
RUE;Rue des Praillons;DES PRAILLONS;PRAILLONS;151043648
RUE;Rue des Prés de Poussey;DES PRES DE POUSSEY;POUSSEY;151053779
RUE;Rue des Tabellions;DES TABELLIONS;TABELLIONS;150928685
RUE;Rue des Écoles;DES ECOLES;ECOLES;151043650,362819789
RUE;Rue du Château;DU CHATEAU;CHATEAU;150927787
RUE;Rue du Craon;DU CRAON;CRAON;150927789
RUE;Rue du Docteur Calmette;DU DOCTEUR CALMETTE;CALMETTE;150926969,150927791
RUE;Rue du Docteur Sollier;DU DOCTEUR SOLLIER;SOLLIER;151052257
RUE;Rue du Général Leclerc;DU GENERAL LECLERC;LECLERC;151053780
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;150927794
RUE;Rue du Maréchal de Lattre de Tassigny;DU MARECHAL DE LATTRE DE TASSIGNY;TASSIGNY;150935892
RUE;Rue du Moulin;DU MOULIN;MOULIN;150928686
RUE;Rue du Pont Bancelin;DU PONT BANCELIN;BANCELIN;395807539
RUE;Rue du Pont de Clairvaux;DU PONT DE CLAIRVAUX;CLAIRVAUX;150927795,150927797
RUE;Rue du Presbytère;DU PRESBYTERE;PRESBYTERE;151044773
RUE;Rue du Stade;DU STADE;STADE;150936928
RUELLE;Ruelle des Granges;DES GRANGES;GRANGES;151049937
RUELLE;Ruelle à Rosez;A ROSEZ;ROSEZ;151044776
VOIE;Voie aux Vaches;AUX VACHES;VACHES;150930756
