voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue de la Gare;DE LA GARE;GARE;93494832
CHEMIN;Chemin Dit des Menuisiers;DIT DES MENUISIERS;MENUISIERS;493755418
CHEMIN;Chemin Gaston;GASTON;GASTON;314681957
CHEMIN;Chemin Voie Royale;VOIE ROYALE;ROYALE;493755416
CHEMIN;Chemin de contre-Halage;DE CONTRE HALAGE;HALAGE;377306342
CHEMIN;Chemin de la Bûche;DE LA BUCHE;BUCHE;314682115
CHEMIN;Chemin de la Croix Guillaume;DE LA CROIX GUILLAUME;GUILLAUME;233568017
CHEMIN;Chemin de la Croix de Fer;DE LA CROIX DE FER;FER;159812698
CHEMIN;Chemin du Bas du Crayon;DU BAS DU CRAYON;CRAYON;493755415
CHEMIN;Chemin du Château d'Eau;DU CHATEAU D EAU;EAU;93494839
CHEMIN;Chemin du Crayon;DU CRAYON;CRAYON;122115070,314681958
CHEMIN;Chemin du Grés;DU GRES;GRES;314681970
CHEMIN;Chemin du Tertre;DU TERTRE;TERTRE;314681959
CHEMIN RURAL;Chemin rural dit des Grandes Essertes;DIT DES GRANDES ESSERTES;ESSERTES;122113253,501720771,501720772
CHEMIN RURAL;Chemin rural dit des Petites Communes;DIT DES PETITES COMMUNES;COMMUNES;122115067,151472074,151472075,225803843,225803844
CITE;Cité Laurencot;LAURENCOT;LAURENCOT;493756149
IMPASSE;Impasse Riot;RIOT;RIOT;501646135
IMPASSE;Impasse des Fontaines;DES FONTAINES;FONTAINES;93494842
RUE;Rue Coquet;COQUET;COQUET;314681963
RUE;Rue Hugues de Payns;HUGUES DE PAYNS;PAYNS;314681964,389428728,389428729
RUE;Rue Naudet;NAUDET;NAUDET;93494840
RUE;Rue de la Créssonnière;DE LA CRESSONNIERE;CRESSONNIERE;93494831
RUE;Rue de la Louvière;DE LA LOUVIERE;LOUVIERE;93494836
RUE;Rue de la Madeleine;DE LA MADELEINE;MADELEINE;93494834
RUE;Rue des Maisons Brulées;DES MAISONS BRULEES;BRULEES;93494829,93494843
RUE;Rue des Maupas;DES MAUPAS;MAUPAS;122115069
RUE;Rue des Étangs;DES ETANGS;ETANGS;93494841
RUE;Rue du Bourg;DU BOURG;BOURG;493657881
RUE;Rue du Clos des Vergers;DU CLOS DES VERGERS;VERGERS;314681965
RUE;Rue du Fou;DU FOU;FOU;93494830
RUE;Rue du Gué;DU GUE;GUE;314681966
RUE;Rue du Mazet;DU MAZET;MAZET;122115068
RUE;Rue du Moulin;DU MOULIN;MOULIN;122113255
RUE;Rue Édouard Colbert;EDOUARD COLBERT;COLBERT;501720776
RUELLE;Ruelle Belleuvre;BELLEUVRE;BELLEUVRE;314682116
RUELLE;Ruelle Godart;GODART;GODART;159812699
RUELLE;Ruelle de Tirva;DE TIRVA;TIRVA;314681967
RUELLE;Ruelle du Doyer;DU DOYER;DOYER;314681968
VOIE COMMUNALE;Voie Communale Au Roi;AU ROI;ROI;493755417
VOIE COMMUNALE;Voie Communale Riot;RIOT;RIOT;93494828
VOIE;Voie Riot;RIOT;RIOT;93494837
VOIE;Voie Verte du Canal de la Haute-Seine;VERTE DU CANAL DE LA HAUTE SEINE;SEINE;307173923,421983815,421983817,501720769,501720770
VOIE;Voie des Fontaines;DES FONTAINES;FONTAINES;93494838,230593421,230593422
