voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Genèvres;DES GENEVRES;GENEVRES;229155586
ALLEE;Allée des Épis;DES EPIS;EPIS;168659156
ALLEE;Allée du Château;DU CHATEAU;CHATEAU;243909617
AVENUE;Avenue de la Gare;DE LA GARE;GARE;243909618
CHEMIN RURAL;Chemin Rural de Mergey;DE MERGEY;MERGEY;523787214
CHEMIN;Chemin de Chantivet;DE CHANTIVET;CHANTIVET;168659167
CHEMIN;Chemin de contre-Halage;DE CONTRE HALAGE;HALAGE;377306342
CHEMIN;Chemin de l'Étang;DE L ETANG;ETANG;168659178
CHEMIN;Chemin des Champs;DES CHAMPS;CHAMPS;243909619
CHEMIN;Chemin des Foins;DES FOINS;FOINS;316907747
CHEMIN;Chemin des Trilloux;DES TRILLOUX;TRILLOUX;168659188,243909620
CHEMIN;Chemin des Vignes;DES VIGNES;VIGNES;229155579
CHEMIN;Chemin du Bas des Vignes;DU BAS DES VIGNES;VIGNES;229155569
CHEMIN RURAL;Chemin rural dit de Saint-Lyé;DIT DE SAINT LYE;LYE;111705567
IMPASSE;Impasse Chavanat;CHAVANAT;CHAVANAT;314422183
IMPASSE;Impasse Jeanne d'Arc;JEANNE D ARC;ARC;168659169
IMPASSE;Impasse Louis X Le Hutin;LOUIS X LE HUTIN;HUTIN;159801096
IMPASSE;Impasse de la Gare;DE LA GARE;GARE;168659179,168659192
IMPASSE;Impasse de la Tourelle;DE LA TOURELLE;TOURELLE;168659182
IMPASSE;Impasse des Clos;DES CLOS;CLOS;229155568
IMPASSE;Impasse des Cortins;DES CORTINS;CORTINS;316907748
IMPASSE;Impasse des Hauts du Moulin;DES HAUTS DU MOULIN;MOULIN;243909634
IMPASSE;Impasse des Mésanges;DES MESANGES;MESANGES;168659185
PASSAGE;Passage de la Jonchère;DE LA JONCHERE;JONCHERE;493749998
PASSAGE;Passage du Crotay;DU CROTAY;CROTAY;168659205
PLACE;Place de l'Église;DE L EGLISE;EGLISE;82645691,168659150,168659151
ROUTE;Route de Grange l'Évêque;DE GRANGE L EVEQUE;EVEQUE;316907749
RUE;Rue Alagiraude;ALAGIRAUDE;ALAGIRAUDE;159803089
RUE;Rue André Chenevotot;ANDRE CHENEVOTOT;CHENEVOTOT;229155574,229155589
RUE;Rue Arthur Debret;ARTHUR DEBRET;DEBRET;168659175
RUE;Rue Camusat;CAMUSAT;CAMUSAT;314680093
RUE;Rue Claude Debussy;CLAUDE DEBUSSY;DEBUSSY;159803083
RUE;Rue Clémence de Hongrie;CLEMENCE DE HONGRIE;HONGRIE;159801097,159803079
RUE;Rue Georges Brassens;GEORGES BRASSENS;BRASSENS;229155571
RUE;Rue Général de Gaulle;GENERAL DE GAULLE;GAULLE;93987549
RUE;Rue Henri Rodin;HENRI RODIN;RODIN;243909637
RUE;Rue Hugues de Payns;HUGUES DE PAYNS;PAYNS;159810876
RUE;Rue Jean Renoir;JEAN RENOIR;RENOIR;243909638
RUE;Rue Jeanne d'Arc;JEANNE D ARC;ARC;243909639
RUE;Rue Les Clos;LES CLOS;CLOS;229155585
RUE;Rue Léon Gauthier;LEON GAUTHIER;GAUTHIER;168659191
RUE;Rue Marcel Chutry;MARCEL CHUTRY;CHUTRY;229155590
RUE;Rue Noteau;NOTEAU;NOTEAU;159803086
RUE;Rue Olivier Doue;OLIVIER DOUE;DOUE;229155567
RUE;Rue Pasteur;PASTEUR;PASTEUR;111788198
RUE;Rue Toulouse Lautrec;TOULOUSE LAUTREC;LAUTREC;493672864,493672865
RUE;Rue aux Moines;AUX MOINES;MOINES;168659208
RUE;Rue aux Mûres;AUX MURES;MURES;168659194
RUE;Rue de Champêtre;DE CHAMPETRE;CHAMPETRE;243909640
RUE;Rue de Crotay;DE CROTAY;CROTAY;168659158
RUE;Rue de Mantenay;DE MANTENAY;MANTENAY;168659183,168659200
RUE;Rue de Montherlant;DE MONTHERLANT;MONTHERLANT;168659196
RUE;Rue de Riancey;DE RIANCEY;RIANCEY;159803088,159810875
RUE;Rue de l'Abbaye;DE L ABBAYE;ABBAYE;168659193
RUE;Rue de l'Entente;DE L ENTENTE;ENTENTE;229155557,229155558
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;159803080,159803090
RUE;Rue de la Garenne;DE LA GARENNE;GARENNE;159803085
RUE;Rue de la Jonchère;DE LA JONCHERE;JONCHERE;168659199,168659203
RUE;Rue de la Libération;DE LA LIBERATION;LIBERATION;243909641
RUE;Rue de la Mare;DE LA MARE;MARE;229155578
RUE;Rue de la Reine Blanche;DE LA REINE BLANCHE;BLANCHE;168659157,168659184
RUE;Rue des Chaumes;DES CHAUMES;CHAUMES;168659160
RUE;Rue des Cortins;DES CORTINS;CORTINS;168659154,168659215,243909642
RUE;Rue des Gravières;DES GRAVIERES;GRAVIERES;159803084,168659177
RUE;Rue des Hauts du Moulin;DES HAUTS DU MOULIN;MOULIN;243909635
RUE;Rue des Héros de la Résistance;DES HEROS DE LA RESISTANCE;RESISTANCE;168659202
RUE;Rue des Maisons Brûlées;DES MAISONS BRULEES;BRULEES;168659180
RUE;Rue des Martyrs de la Résistance;DES MARTYRS DE LA RESISTANCE;RESISTANCE;243909643
RUE;Rue des Mûriers;DES MURIERS;MURIERS;168659201,168659212
RUE;Rue des Orges Foins;DES ORGES FOINS;FOINS;168659161,168659173,168659198
RUE;Rue des Paquerettes;DES PAQUERETTES;PAQUERETTES;243909644
RUE;Rue des Pensées;DES PENSEES;PENSEES;168659164
RUE;Rue des Peupliers;DES PEUPLIERS;PEUPLIERS;168659206
RUE;Rue des Prés Fleuris;DES PRES FLEURIS;FLEURIS;168659195
RUE;Rue des Pâtures;DES PATURES;PATURES;159810878,168659172
RUE;Rue des Régales;DES REGALES;REGALES;159810879
RUE;Rue du 14 Juin 1940;DU 14 JUIN 1940;1940;101270852
RUE;Rue du 1er Mai;DU 1ER MAI;MAI;168659186
RUE;Rue du Bois;DU BOIS;BOIS;111788197
RUE;Rue du Bébé;DU BEBE;BEBE;168659209
RUE;Rue du Calvaire;DU CALVAIRE;CALVAIRE;168659171,168659204,168659213,168659214
RUE;Rue du Four;DU FOUR;FOUR;168659207
RUE;Rue du Lieutenant Chavanat;DU LIEUTENANT CHAVANAT;CHAVANAT;101270855,501685980
RUE;Rue du Lieutenant Simphal;DU LIEUTENANT SIMPHAL;SIMPHAL;101279088
RUE;Rue du Manoir;DU MANOIR;MANOIR;159810877
RUE;Rue du Moulin;DU MOULIN;MOULIN;159803081
RUELLE;Ruelle des Aneries;DES ANERIES;ANERIES;243909645
RUELLE;Ruelle du Moulin;DU MOULIN;MOULIN;159801098
VOIE;Voie Basse;BASSE;BASSE;243909646
VOIE;Voie Chaire;CHAIRE;CHAIRE;233568033
VOIE COMMUNALE;Voie Communale Pillée;PILLEE;PILLEE;314422189
VOIE;Voie Lutel;LUTEL;LUTEL;168659163
VOIE;Voie Verte du Canal de la Haute-Seine;VERTE DU CANAL DE LA HAUTE SEINE;SEINE;307173922,421983816,421983817,421983819
