voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Charme;DE LA CHARME;CHARME;190526044
PLACE;Place de la Charme;DE LA CHARME;CHARME;282679472
ROUTE;Route d'Auxerre;D AUXERRE;AUXERRE;190523238,190523239
RUE;Rue Thivaille;THIVAILLE;THIVAILLE;190526043
RUE;Rue aux Febvres;AUX FEBVRES;FEBVRES;200921081,201175970
RUE;Rue d'Ymont;D YMONT;YMONT;190526047
RUE;Rue de Montaigu;DE MONTAIGU;MONTAIGU;200921082
RUE;Rue de l'Hôtel de Ville;DE L HOTEL DE VILLE;VILLE;160450876,190523240,201175973,233687407
RUE;Rue de la Copoise;DE LA COPOISE;COPOISE;160450877,201175975
RUE;Rue de la Cordelière;DE LA CORDELIERE;CORDELIERE;200829345
RUE;Rue de la Croix Sainte-Anne;DE LA CROIX SAINTE ANNE;ANNE;315152008
RUE;Rue de la Perrière;DE LA PERRIERE;PERRIERE;315767670
RUE;Rue des Hainelles;DES HAINELLES;HAINELLES;190526045
RUE;Rue du Martel;DU MARTEL;MARTEL;94088828,282679473
SENTIER;Sentier des Moutons;DES MOUTONS;MOUTONS;315617032,315617033
VOIE;Voie Saint-Vincent;SAINT VINCENT;VINCENT;201663210
VOIE;Voie de Verdemay;DE VERDEMAY;VERDEMAY;282679474
VOIE;Voie de la Frénaie;DE LA FRENAIE;FRENAIE;210933629
