voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue de Félines;DE FELINES;FELINES;88811186
AVENUE;Avenue de Laroque;DE LAROQUE;LAROQUE;204406796,466692561,466692562
AVENUE;Avenue de Maisons;DE MAISONS;MAISONS;88811194
;Grand Rue;GRAND RUE;RUE;160232030
PLACE;Place de l'Ayral;DE L AYRAL;AYRAL;160232032
PLACE;Place de l'Église;DE L EGLISE;EGLISE;160232033
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;160229674
RUE;Rue de Madrone;DE MADRONE;MADRONE;326604275
RUE;Rue de l'Égalité;DE L EGALITE;EGALITE;160232047
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;160229672
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;326604276
RUE;Rue de la Poste;DE LA POSTE;POSTE;160232034
RUE;Rue des Acacias;DES ACACIAS;ACACIAS;160229677
RUE;Rue des Fleurs;DES FLEURS;FLEURS;160232043
RUE;Rue du Château;DU CHATEAU;CHATEAU;160232036
RUE;Rue du Château d'Eau;DU CHATEAU D EAU;EAU;326604277
RUE;Rue du Roc Jaune;DU ROC JAUNE;JAUNE;160232038
