voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue du Jeu de Mail;DU JEU DE MAIL;MAIL;92400739,449528646
CHEMIN;Chemin de Sainte-Valière;DE SAINTE VALIERE;VALIERE;47572112
CHEMIN;Chemin de l'Horte;DE L HORTE;HORTE;92312706,159373133
CHEMIN;Chemin de la Paissiero;DE LA PAISSIERO;PAISSIERO;92393341
CHEMIN;Chemin du Moulin à Vent;DU MOULIN A VENT;VENT;188062013,456840149
CHEMIN;Chemin du Pech;DU PECH;PECH;92398766,92425837,166602518
ESCALIER;Escalier Fontaine;FONTAINE;VENT;456840151
IMPASSE;Impasse du Pressoir;DU PRESSOIR;PRESSOIR;456840152
LOTISSEMENT;Lotissement Le Cerisier;LE CERISIER;CERISIER;456840153
LOTISSEMENT;Lotissement Le Clos d'Oupia;LE CLOS D OUPIA;OUPIA;456840154
LOTISSEMENT;Lotissement Le Puits d'Amon;LE PUITS D AMON;AMON;456840155
LOTISSEMENT;Lotissement le Clos du Pech;LE CLOS DU PECH;PECH;159373122,159373137
PASSAGE;Passage du Porche;DU PORCHE;PORCHE;456840156
PLACE;Place Pierre Vergnes;PIERRE VERGNES;VERGNES;456840157
PLACE;Place de la Poste;DE LA POSTE;POSTE;456840158
PLACE;Place de la Rosée;DE LA ROSEE;ROSEE;92393352
PLACE;Place du Sol Molirier;DU SOL MOLIRIER;MOLIRIER;595512394
ROUTE;Route de Mailhac;DE MAILHAC;MAILHAC;47572116
RUE;Rue Georges Brassens;GEORGES BRASSENS;BRASSENS;92393337
RUE;Rue Jules Ferry;JULES FERRY;FERRY;456840159
RUE;Rue de l'Ancien Four;DE L ANCIEN FOUR;FOUR;456840160
RUE;Rue de l'Ermitage;DE L ERMITAGE;ERMITAGE;456840161
RUE;Rue de la Calado;DE LA CALADO;CALADO;92393334
RUE;Rue de la Fleur de Vigne;DE LA FLEUR DE VIGNE;VIGNE;159373131
RUE;Rue de la Placette;DE LA PLACETTE;PLACETTE;159373125
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;92393339
RUE;Rue des Abeilles;DES ABEILLES;ABEILLES;456840162
RUE;Rue des Chasselas;DES CHASSELAS;CHASSELAS;456840163
RUE;Rue du Fort;DU FORT;FORT;187769840
RUE;Rue du Minervois;DU MINERVOIS;MINERVOIS;456840164
RUE;Rue du Pech;DU PECH;PECH;456840165
RUE;Rue du Portalet;DU PORTALET;PORTALET;456840166
RUE;Rue du Puits d'Aval;DU PUITS D AVAL;AVAL;456840167
RUE;Rue du Trop Plein;DU TROP PLEIN;PLEIN;92393345
RUELLE;Ruelle du Courredou;DU COURREDOU;COURREDOU;595512397
TRAVERSE;Traverse du Mourrel;DU MOURREL;MOURREL;92393333
