voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Salza;DE SALZA;SALZA;205078336,209110609,209110610
CHEMIN;Chemin de Termes;DE TERMES;TERMES;160510360,203784001,203784002,209110611,363881561,363881562
CHEMIN;Chemin de la Caune;DE LA CAUNE;CAUNE;160510371
CHEMIN;Chemin du Cimetière;DU CIMETIERE;CIMETIERE;160510368
PLACE;Place de la Fontaine;DE LA FONTAINE;FONTAINE;205078347,383288492
PLACE;Place de la Treille;DE LA TREILLE;TREILLE;384711965
PLACE;Place du Malva;DU MALVA;MALVA;384711964
RUE;Rue de l'Escalier;DE L ESCALIER;ESCALIER;384709889
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;160510367
RUE;Rue de la Poste;DE LA POSTE;POSTE;160510369
RUE;Rue du Berlès;DU BERLES;BERLES;160510370
RUE;Rue du Fer à Cheval;DU FER A CHEVAL;CHEVAL;160510363,160510372
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;205078348
RUE;Rue du Pont;DU PONT;PONT;160510361
RUE;Rue du Porche;DU PORCHE;PORCHE;160510358
RUE;Rue du Terrat;DU TERRAT;TERRAT;205078349
