voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Paul Causse;PAUL CAUSSE;CAUSSE;123445481,629624032
ANCIEN CHEMIN;Ancien Chemin de Marcillac à Saint-Geniez (ancienne Draille de Transhumance);DE MARCILLAC A SAINT GENIEZ (ANCIENNE DRAILLE DE TRANSHUMANCE);TRANSHUMANCE);159171125,552856484
;Ancienne RN 88;ANCIENNE RN 88;88;140901354
AVENUE;Avenue Arsène Ratier;ARSENE RATIER;RATIER;7999564,255515375,620384308,620384309
AVENUE;Avenue Montservin;MONTSERVIN;MONTSERVIN;317902633
AVENUE;Avenue de Combecrozes;DE COMBECROZES;COMBECROZES;92008542,353877269,615300921
AVENUE;Avenue du Stade;DU STADE;STADE;317677377
CHEMIN;Chemin de Badet;DE BADET;BADET;217521095
CHEMIN;Chemin de Barriac à Carcamagne;DE BARRIAC A CARCAMAGNE;CARCAMAGNE;485151434
CHEMIN;Chemin de Gages à Aboul;DE GAGES A ABOUL;ABOUL;217948626
CHEMIN;Chemin de Gages à Curlande;DE GAGES A CURLANDE;CURLANDE;217950241
CHEMIN;Chemin de Laumière;DE LAUMIERE;LAUMIERE;217516603
CHEMIN;Chemin de Sentels;DE SENTELS;SENTELS;255518378
CHEMIN;Chemin de la Caumese;DE LA CAUMESE;CAUMESE;218997761,568682483
CHEMIN;Chemin de la Fontaine;DE LA FONTAINE;FONTAINE;317902634
CHEMIN;Chemin de la Rotonde;DE LA ROTONDE;ROTONDE;317684518,317684519
CHEMIN;Chemin des Alots;DES ALOTS;ALOTS;140902320
CHEMIN;Chemin des Escabrins à Mas-Majou;DES ESCABRINS A MAS MAJOU;MAJOU;268263678
CHEMIN;Chemin des Genèvriers;DES GENEVRIERS;GENEVRIERS;217516612
CHEMIN;Chemin des Moines;DES MOINES;MOINES;594581419
CHEMIN;Chemin des Moles;DES MOLES;MOLES;274833216
CHEMIN;Chemin des Vinchezes;DES VINCHEZES;VINCHEZES;155024647
CHEMIN;Chemin du Calzié;DU CALZIE;CALZIE;240805998
CHEMIN;Chemin du Lacquet;DU LACQUET;LACQUET;416098605
CHEMIN;Chemin du Merlat;DU MERLAT;MERLAT;216516089
COTE;Côte des Espradels;DES ESPRADELS;ESPRADELS;221811588
;Giratoire des Calsades;GIRATOIRE DES CALSADES;CALSADES;125347684
IMPASSE;Impasse Adolphe Boisse;ADOLPHE BOISSE;BOISSE;400785098
IMPASSE;Impasse Champ Grand;CHAMP GRAND;GRAND;317677379
IMPASSE;Impasse Elie Plégat;ELIE PLEGAT;PLEGAT;255076213
IMPASSE;Impasse des Aubépines;DES AUBEPINES;AUBEPINES;217516596
IMPASSE;Impasse des Panicots;DES PANICOTS;PANICOTS;255512598
IMPASSE;Impasse des Églantiers;DES EGLANTIERS;EGLANTIERS;317684537
IMPASSE;Impasse du Moulin d'Astier;DU MOULIN D ASTIER;ASTIER;288485173
IMPASSE;Impasse du Reduch;DU REDUCH;REDUCH;288485174
;Passerelle;PASSERELLE;PASSERELLE;307455116,307455117,307455118,424731356
PLACE;Place de l'Église;DE L EGLISE;EGLISE;288485175,288485176,416098606,416098607
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;255046928
PLACE;Place des Tours;DES TOURS;TOURS;317684540
PLACE;Place du 11 Novembre;DU 11 NOVEMBRE;NOVEMBRE;92008530
PLACE;Place du Portalet;DU PORTALET;PORTALET;216517658,216517659,317684541
PONT;Pont d'Alenq;D ALENQ;ALENQ;140899272
ROUTE;Route d'Entraygues à Bozouls;D ENTRAYGUES A BOZOULS;BOZOULS;317677395,525197361,525197362
ROUTE;Route d'Espalion;D ESPALION;ESPALION;36779619,298503103,298503104,620384310
ROUTE;Route d'Estaing;D ESTAING;ESTAING;72864793
ROUTE;Route de Gabriarc;DE GABRIARC;GABRIARC;317794980,620384306,620384307
ROUTE;Route de Rodez;DE RODEZ;RODEZ;216516082
ROUTE;Route de Rodez au Cantal;DE RODEZ AU CANTAL;CANTAL;156097023,156097024,156097029,156097031,156097032,620384317
ROUTE;Route de Rodez à la Lozère;DE RODEZ A LA LOZERE;LOZERE;7999579,36778609,109371349,140899283,151468093,151468094,152053534,152053548,236770809,298503099,298503101,298503102,298503105,298503106,298503107,298503108,298503109,298503110,298503111,298503112,298503113,298503114,298503115,298503116,298503117,298503118,298503119,298503120,298503121,298503122,298503123,298503124,298503125,298503126,298503127,298503129,298503130,298503131,298503133,298503134,380112008,452484576,452484577,452484580,452484581,452484582,452484584,452484585,452484587,452484593,452484594,452484595,452484596,452484597,452484598,452484599,452484600,485151427,485151428,620292382,620292397,620292404,620309451,620309452,620309457,620309459
ROUTE;Route de Rodez à la Lozère (ancienne RD 988);DE RODEZ A LA LOZERE (ANCIENNE RD 988);988);152050865,317902635
ROUTE;Route de Saint-Julien;DE SAINT JULIEN;JULIEN;157865444,629624043,629624044
ROUTE;Route de la Cave;DE LA CAVE;CAVE;217516240,217516607
ROUTE;Route de la Lozère à Rodez;DE LA LOZERE A RODEZ;RODEZ;217952406
ROUTE;Route des Escabrins;DES ESCABRINS;ESCABRINS;416098608,416098609
ROUTE;Route des Escouders;DES ESCOUDERS;ESCOUDERS;195267815
ROUTE;Route du Maquis Jean-Pierre;DU MAQUIS JEAN PIERRE;PIERRE;255515376
ROUTE;Route du Vieux Bozouls;DU VIEUX BOZOULS;BOZOULS;123445484,486112078
RUE;Rue Adolphe Boisse;ADOLPHE BOISSE;BOISSE;92008564
RUE;Rue André Baudon;ANDRE BAUDON;BAUDON;662842784
RUE;Rue Claux de Brousse;CLAUX DE BROUSSE;BROUSSE;92008560,317677400
RUE;Rue Côte Saint-Georges;COTE SAINT GEORGES;GEORGES;148457767
RUE;Rue Etienne Bastide;ETIENNE BASTIDE;BASTIDE;92008540
RUE;Rue Eugène Vieillescazes;EUGENE VIEILLESCAZES;VIEILLESCAZES;255511958
RUE;Rue Flandres Dunkerque;FLANDRES DUNKERQUE;DUNKERQUE;92008559
RUE;Rue Henri Camviel;HENRI CAMVIEL;CAMVIEL;255046929,255050717
RUE;Rue Henri Canonge;HENRI CANONGE;CANONGE;317677401
RUE;Rue Henri Vernhes;HENRI VERNHES;VERNHES;92008553,255076217
RUE;Rue Jean Lacan;JEAN LACAN;LACAN;125347676,317677402
RUE;Rue Jean-Antoine Passelac;JEAN ANTOINE PASSELAC;PASSELAC;662842786
RUE;Rue Joseph Sarrois;JOSEPH SARROIS;SARROIS;662842785
RUE;Rue Marc-André Fabre;MARC ANDRE FABRE;FABRE;123445470,255069035
RUE;Rue Philippe Routaboul;PHILIPPE ROUTABOUL;ROUTABOUL;255050718
RUE;Rue Raoul Cabrol;RAOUL CABROL;CABROL;134208388
RUE;Rue René Hemon;RENE HEMON;HEMON;317677403
RUE;Rue Sainte-Catherine;SAINTE CATHERINE;CATHERINE;274833223
RUE;Rue de Causse;DE CAUSSE;CAUSSE;255069036,255069037
RUE;Rue de Lomperges;DE LOMPERGES;LOMPERGES;317677404,317677405
RUE;Rue de Nouméa;DE NOUMEA;NOUMEA;255050719
RUE;Rue de l'Hospitalet;DE L HOSPITALET;HOSPITALET;123445474
RUE;Rue de la Barriade;DE LA BARRIADE;BARRIADE;155018206,202528898,274833224
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;240842813
RUE;Rue de la Gare;DE LA GARE;GARE;233149919
RUE;Rue de la Viguerie;DE LA VIGUERIE;VIGUERIE;217516584
RUE;Rue des Alots;DES ALOTS;ALOTS;92008544
RUE;Rue des Angles;DES ANGLES;ANGLES;123445475,480706120
RUE;Rue des Buis;DES BUIS;BUIS;317794981
RUE;Rue des Cardabelles;DES CARDABELLES;CARDABELLES;92008539
RUE;Rue des Chardons;DES CHARDONS;CHARDONS;255069038
RUE;Rue des Fours à Pain;DES FOURS A PAIN;PAIN;216516086,416098610
