voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de Campmas;DE CAMPMAS;CAMPMAS;199184951
ALLEE;Allée des Aulnes;DES AULNES;AULNES;208412794
ALLEE;Allée des Espagnols;DES ESPAGNOLS;ESPAGNOLS;233217168
ALLEE;Allée des Pierre;DES PIERRE;PIERRE;206418754
ALLEE;Allée des Pyrénées;DES PYRENEES;PYRENEES;206418750
ALLEE;Allée du Fraysse;DU FRAYSSE;FRAYSSE;206418744
ALLEE;Allée du Viaur;DU VIAUR;VIAUR;206418727
AVENUE;Avenue de Rodez;DE RODEZ;RODEZ;85866794,205119487
AVENUE;Avenue de Toulouse;DE TOULOUSE;TOULOUSE;85866767
AVENUE;Avenue de la Basilique;DE LA BASILIQUE;BASILIQUE;129625087,475904234,646966132,646966133,646966142
AVENUE;Avenue de la Basillique;DE LA BASILLIQUE;BASILLIQUE;205057641,475904228,475904241
CHEMIN;Chemin Puech-del-Rey;PUECH DEL REY;REY;202980983
CHEMIN RURAL;Chemin Rural de Prévenquière aux Flottes;DE PREVENQUIERE AUX FLOTTES;FLOTTES;165327615
CHEMIN;Chemin de Pinson;DE PINSON;PINSON;177574594
CHEMIN;Chemin de la Route des Bois;DE LA ROUTE DES BOIS;BOIS;206418749,206418752
CHEMIN;Chemin des Augustinous;DES AUGUSTINOUS;AUGUSTINOUS;206418755
CHEMIN;Chemin des Frênes;DES FRENES;FRENES;260311398
CHEMIN;Chemin des Tourelles;DES TOURELLES;TOURELLES;206418745
CHEMIN;Chemin du Roucan;DU ROUCAN;ROUCAN;161796593
;Giratoire des Molinières;GIRATOIRE DES MOLINIERES;MOLINIERES;4296971,436078954,436078955,436078956
IMPASSE;Impasse Gardin;GARDIN;REY;204664666
IMPASSE;Impasse La Gineste;LA GINESTE;GINESTE;552206551
IMPASSE;Impasse Leontie;LEONTIE;AUGUSTINOUS;206418757
IMPASSE;Impasse du Hêtre;DU HETRE;HETRE;552206538
IMPASSE;Impasse du Vieux Chêne;DU VIEUX CHENE;CHENE;206418753
;Lo Valat;LO VALAT;VALAT;213215563
;N88;N88;ESPAGNOLS;235663218,235663219
PASSERELLE;Passerelle;;FRENES;391928984
PLACE;Place de l'Église Saint-Amans;DE L EGLISE SAINT AMANS;AMANS;213215559,213215567
PLACE;Place de la Palousie;DE LA PALOUSIE;PALOUSIE;205119493
PONT;Pont du Diable;DU DIABLE;DIABLE;85825922
ROCADE;Rocade de Rodez;DE RODEZ;RODEZ;26274469,26274470,122720476,265043054,344246159,512154932
ROUTE;Route d'Albespeyres;D ALBESPEYRES;ALBESPEYRES;205119494
ROUTE;Route de Baraqueville;DE BARAQUEVILLE;BARAQUEVILLE;73598529,73598531,73598535,85134000,85134002
ROUTE;Route de Bonnecombe;DE BONNECOMBE;BONNECOMBE;664446616
ROUTE;Route de Bonnecombe à Arvieu;DE BONNECOMBE A ARVIEU;ARVIEU;85825923
ROUTE;Route de la Primaube à la Limite du Département de l'Hérault;DE LA PRIMAUBE A LA LIMITE DU DEPARTEMENT DE L HERAULT;HERAULT;85647778
ROUTE;Route des Tourelles;DES TOURELLES;TOURELLES;205382403,664446614
RUE;Rue Joan Petit;JOAN PETIT;PETIT;213215560
RUE;Rue Longue;LONGUE;BASILIQUE;145989025
RUE;Rue de Gardin;DE GARDIN;GARDIN;199184954,204664667
RUE;Rue de Martinenq;DE MARTINENQ;MARTINENQ;177574595
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;206418746,206418761
RUE;Rue de la Forge;DE LA FORGE;FORGE;213426877
RUE;Rue de la Parro;DE LA PARRO;PARRO;177574591,205119495
RUE;Rue des Acacias;DES ACACIAS;ACACIAS;204664668
RUE;Rue des Campagnières;DES CAMPAGNIERES;CAMPAGNIERES;206418758
RUE;Rue des Campanièrs;DES CAMPANIERS;CAMPANIERS;213215565
RUE;Rue des Frênes;DES FRENES;FRENES;204664669
RUE;Rue des Hortes;DES HORTES;HORTES;213215562
RUE;Rue des Pensionnaires;DES PENSIONNAIRES;PENSIONNAIRES;204664670
RUE;Rue des Pionniers;DES PIONNIERS;PIONNIERS;206418742,206418759
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;146334556
RUE;Rue du Claus;DU CLAUS;CLAUS;206418751
RUE;Rue du Plantier;DU PLANTIER;PLANTIER;205119496
RUE;Rue du Stade;DU STADE;STADE;205119497
;Trou des Enfarinés;TROU DES ENFARINES;ENFARINES;206418762
