voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Quo Vadis;QUO VADIS;VADIS;194148203
AVENUE;Avenue de la Tour;DE LA TOUR;TOUR;198428378
CHEMIN;Chemin de Bel Air à Notre-Dame-du-Buenne;DE BEL AIR A NOTRE DAME DU BUENNE;BUENNE;152219859
CHEMIN;Chemin de Garillac;DE GARILLAC;GARILLAC;176047299
CHEMIN;Chemin de Saint-Dreziers;DE SAINT DREZIERS;DREZIERS;194145855
CHEMIN;Chemin de la Vaysse;DE LA VAYSSE;VAYSSE;176047308
CHEMIN;Chemin des Bordes;DES BORDES;BORDES;176047305
CHEMIN;Chemin des Hortes;DES HORTES;HORTES;194145857
CHEMIN;Chemin du Causse;DU CAUSSE;CAUSSE;315875369
CHEMIN;Chemin du Rat;DU RAT;RAT;75509901
CITE;Cité Les Bruyères;LES BRUYERES;BRUYERES;194145852,194145858,194145859
CITE;Cité de l'Ady;DE L ADY;ADY;194145847,194145854
IMPASSE;Impasse du Pont;DU PONT;PONT;272268102
IMPASSE;Impasse du Prieure;DU PRIEURE;PRIEURE;315875371
PLACE;Place Saint-Blaise;SAINT BLAISE;BLAISE;315875372
PLACE;Place de l'École;DE L ECOLE;ECOLE;194140931
PLACE;Place du Mansois;DU MANSOIS;MANSOIS;315875373
ROUTE;Route de Clairvaux à Goutrens;DE CLAIRVAUX A GOUTRENS;GOUTRENS;315890817
ROUTE;Route de Marcillac à Carcenac-Peyralès;DE MARCILLAC A CARCENAC PEYRALES;PEYRALES;198428346,200580399,200580412,200580451,224339693,234756262,234756264,234756266,315875374,439782572
RUE;Rue Vieille;VIEILLE;VIEILLE;194140932
RUE;Rue de la Vallée;DE LA VALLEE;VALLEE;315890818
RUE;Rue des Caves;DES CAVES;CAVES;194140928
RUE;Rue des Claux;DES CLAUX;CLAUX;234756254
RUE;Rue des Vignes;DES VIGNES;VIGNES;129796029
RUE;Rue du Barry;DU BARRY;BARRY;127674588
RUE;Rue du Cordelier;DU CORDELIER;CORDELIER;86119747
RUE;Rue du Fiou;DU FIOU;FIOU;315875375
RUE;Rue du Panades;DU PANADES;PANADES;198428367
RUE;Rue du Porche;DU PORCHE;PORCHE;315875376
RUE;Rue du Vieux Pont;DU VIEUX PONT;PONT;315875377,542286955
