voie;name;name_norm;last_word_norm;ways
;241;241;CERISERAIE;412926897
AIRE;Aire de Service de la Champouse;DE SERVICE DE LA CHAMPOUSE;CHAMPOUSE;571035479
AIRE;Aire de Service des Chabauds;DE SERVICE DES CHABAUDS;CHABAUDS;571035116
ALLEE;Allée de Bel Ombre;DE BEL OMBRE;OMBRE;27736021,356113424,356114346,356114347
ALLEE;Allée de la Bergerie;DE LA BERGERIE;BERGERIE;356118669
ALLEE;Allée de la Crau;DE LA CRAU;CRAU;27246734,217935597
ALLEE;Allée des Bartavelles;DES BARTAVELLES;BARTAVELLES;243124637
ALLEE;Allée des Cyprès;DES CYPRES;CYPRES;243124601
ALLEE;Allée des Musiciens;DES MUSICIENS;MUSICIENS;40674987
ALLEE;Allée des Norias;DES NORIAS;NORIAS;331597744,331597746
ALLEE;Allée des Peintres;DES PEINTRES;PEINTRES;136077370
ALLEE;Allée des Platanes;DES PLATANES;PLATANES;293985582
ALLEE;Allée des Pruneliers;DES PRUNELIERS;PRUNELIERS;331597833
ALLEE;Allée du Moulin de Sonaille;DU MOULIN DE SONAILLE;SONAILLE;243124611
ANCIEN CHEMIN;Ancien Chemin de Saint-Hilaire;DE SAINT HILAIRE;HILAIRE;71403627
AUTOROUTE;Autoroute du Val de Durance;DU VAL DE DURANCE;DURANCE;23706518,23706533,99096022,99096033,99096037,99096062,99096103,99096165,99096174,99096177,99096264,99096268,99096289,100143555,100143557,100143565,100144025,100144026,100144027,100144030,181735602,181736908,181752420,181753844,181753847,181753851,181904650,181911612,330582993,477523282,477523539,620198372,620198373,637952776,637961343,666444590
AVENUE;Avenue André Roussin;ANDRE ROUSSIN;ROUSSIN;83912389,330580931,330580932,398894742
AVENUE;Avenue Beausoleil;BEAUSOLEIL;AUTRAN;356052207,356117681,356117684
AVENUE;Avenue Ferdinand de Lesseps;FERDINAND DE LESSEPS;LESSEPS;27729630,27729636,27729701,27729714,27729716,27729724,355753616,355755696,355756351,398895570,434129387,434129393
AVENUE;Avenue Jean Jaurès;JEAN JAURES;JAURES;134199907,281448145,356043818
AVENUE;Avenue Marcel Matteoda;MARCEL MATTEODA;MATTEODA;188981811
AVENUE;Avenue Marie Mauron;MARIE MAURON;MAURON;27735597,356049764
AVENUE;Avenue Pauline de Simiane;PAULINE DE SIMIANE;SIMIANE;27756961,330769845,330770049,330770055,330770622,330770623,330770624,330770628,330770630,330787371,330791223
AVENUE;Avenue Racine;RACINE;GENEVRIERS;173985866
AVENUE;Avenue Thiers;THIERS;MUSICIENS;53538489,53538493,83912396,243124563,243124564,330581738,398894741,417244761,482444848,482446027
AVENUE;Avenue d'Aix;D AIX;AIX;134219899
AVENUE;Avenue de Provence;DE PROVENCE;PROVENCE;27246690,27246721,27246725,27246727,93723165,93723166,355942312,355942430
AVENUE;Avenue de Violesi;DE VIOLESI;VIOLESI;23697770,23697773,83912432,330581894,398894977,411653688,650090525,651669063,651669064,651669065,651669068,651669071,651669072
AVENUE;Avenue de la Babiole;DE LA BABIOLE;BABIOLE;99096044,100144326,100144328,398896444,650089249
AVENUE;Avenue de la Croix d'Or;DE LA CROIX D OR;OR;23697544,23697548,23697564,23697565,23697739,60788901,60788902,83912435,100143553,100143556,100143560,181912369,224990836,224990837,224990838,224990839,368277925,398891915,398892800,398893833,398894740,477523540,603501487,603501488,603501562,603501565,603501572,603501574
AVENUE;Avenue de la Gratiane;DE LA GRATIANE;GRATIANE;27735481,27735483,27735615
AVENUE;Avenue de la Mounine;DE LA MOUNINE;MOUNINE;27735254,27735273,27735288,27735296,27735297,27735304,27735305,27735338
AVENUE;Avenue des Chabauds;DES CHABAUDS;CHABAUDS;23697772,23697797,23697800,23697812,23697819,44315709,100144520,100144522,160904711,160904714,330575906,330583015,355753729,398895495,398895496,486756190,650089247,650089248,666444589
AVENUE;Avenue des Frères Lumière;DES FRERES LUMIERE;LUMIERE;160904715,355750888
AVENUE;Avenue des Noyers;DES NOYERS;NOYERS;27757385,27757394,27757396,27757399,27757410,27757411,330770052,330770054
AVENUE;Avenue du 24 Avril 1915;DU 24 AVRIL 1915;1915;355983450,355983451,355983452
AVENUE;Avenue du 8 Mai 1945;DU 8 MAI 1945;1945;27755808,27755811,134199215,355973138,355973143,355983453,355983455,355983456
AVENUE;Avenue du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;24615330,100143558,100143562
AVENUE;Avenue du Maréchal De Lattre de Tassigny;DU MARECHAL DE LATTRE DE TASSIGNY;TASSIGNY;27735448
AVENUE;Avenue du Maréchal Leclerc;DU MARECHAL LECLERC;LECLERC;27735471
AVENUE;Avenue du Pin Porte Rouge;DU PIN PORTE ROUGE;ROUGE;23697817,23697847,39791956,39791959,39791960,90753307,160904712,160904713,355746860,355747584,355749404,355749405,355750887,355753538
BOULEVARD;Boulevard Coli;COLI;EXUPERY;75639773
BOULEVARD;Boulevard Frédéric Mistral;FREDERIC MISTRAL;MISTRAL;27756026,330787996,330787998
BOULEVARD;Boulevard Guynemer;GUYNEMER;MUSICIENS;71403621,75614714
BOULEVARD;Boulevard Jean Giono;JEAN GIONO;GIONO;330788003
BOULEVARD;Boulevard Jean Perrin;JEAN PERRIN;PERRIN;37628645
BOULEVARD;Boulevard Jules Ferry;JULES FERRY;FERRY;134219902,135848176
BOULEVARD;Boulevard Molière;MOLIERE;PASCAL;173985883
BOULEVARD;Boulevard Montesquieu;MONTESQUIEU;FLAUBERT;27755988,330794467,330795619
BOULEVARD;Boulevard Nungesser;NUNGESSER;EXUPERY;75639774
BOULEVARD;Boulevard Paul Cézanne;PAUL CEZANNE;CEZANNE;330788000
BOULEVARD;Boulevard Pierre Brossolette;PIERRE BROSSOLETTE;BROSSOLETTE;24614841
BOULEVARD;Boulevard Victor Hugo;VICTOR HUGO;HUGO;27756008
BOULEVARD;Boulevard de Valcros;DE VALCROS;VALCROS;24615489,356117678,356118273,356118292,482449022,482449024,482449025,482450101,482450103
BOULEVARD;Boulevard de l'Égalité;DE L EGALITE;EGALITE;134199913,134199917
BOULEVARD;Boulevard de la Fraternité;DE LA FRATERNITE;FRATERNITE;134199909
