voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Boëvilla;BOEVILLA;BOEVILLA;51707143
ALLEE;Allée Daniel Bruand;DANIEL BRUAND;BRUAND;248597713
ALLEE;Allée Guillaume le Conquérant;GUILLAUME LE CONQUERANT;CONQUERANT;51707066,496845923
ALLEE;Allée Manoir Lecoq;MANOIR LECOQ;LECOQ;120411630
ALLEE;Allée Reine Mathilde;REINE MATHILDE;MATHILDE;51707067
ALLEE;Allée de la Royale Air Force;DE LA ROYALE AIR FORCE;FORCE;323719221
ALLEE;Allée du Dan;DU DAN;DAN;51707123,83478581
ALLEE;Allée du Devon;DU DEVON;DEVON;114881607,114882509
AVENUE;Avenue des Dix Acres;DES DIX ACRES;ACRES;111985609,159233121,496880867,498495781
BOULEVARD;Boulevard des Dentellières;DES DENTELLIERES;DENTELLIERES;114334522
BOULEVARD;Boulevard du 18 Juin 1940;DU 18 JUIN 1940;1940;188687754,237925100
CHEMIN;Chemin de Beauregard;DE BEAUREGARD;BEAUREGARD;30951412
CHEMIN;Chemin de l'Etincelles;DE L ETINCELLES;ETINCELLES;120290348
CHEMIN;Chemin de la Barquette;DE LA BARQUETTE;BARQUETTE;120411628
CHEMIN;Chemin de la Croix de Bois;DE LA CROIX DE BOIS;BOIS;120411629
CHEMIN;Chemin de la Delle du Clos;DE LA DELLE DU CLOS;CLOS;109801977
CHEMIN;Chemin de la Paix;DE LA PAIX;PAIX;111985754,111985855,111985856,237922149
CHEMIN;Chemin de la Vallée;DE LA VALLEE;VALLEE;237923210
CHEMIN;Chemin des Carrières;DES CARRIERES;CARRIERES;111986751
CHEMIN;Chemin du Marais;DU MARAIS;MARAIS;496645696
CHEMIN;Chemin du Moulin à Vent;DU MOULIN A VENT;VENT;114333557,496930906
FERME;Ferme de Beauvais;DE BEAUVAIS;BEAUVAIS;248597733
FERME;Ferme de Bellevue;DE BELLEVUE;BELLEVUE;248597720
;Haute Rue;HAUTE RUE;RUE;148045977,449525071
IMPASSE;Impasse Albert Denis;ALBERT DENIS;DENIS;323720768
IMPASSE;Impasse Charles Longuet;CHARLES LONGUET;LONGUET;242103552
IMPASSE;Impasse Pierre Gervais;PIERRE GERVAIS;GERVAIS;115720962
IMPASSE;Impasse de Madame de Clamorgan;DE MADAME DE CLAMORGAN;CLAMORGAN;51707075
IMPASSE;Impasse des Fauvettes;DES FAUVETTES;FAUVETTES;115189759
IMPASSE;Impasse des Grives;DES GRIVES;GRIVES;115189754
IMPASSE;Impasse des Morins;DES MORINS;MORINS;323720963
IMPASSE;Impasse des Étourneaux;DES ETOURNEAUX;ETOURNEAUX;176428069
IMPASSE;Impasse du Rubercy;DU RUBERCY;RUBERCY;30951411
;L'Avenue;L AVENUE;AVENUE;322134360,322134361,597461333
;Les Longs Champs;LES LONGS CHAMPS;CHAMPS;141766264
;Les Vatinets;LES VATINETS;VATINETS;367073911
PARC;Parc des Vikings;DES VIKINGS;VIKINGS;123938639
PLACE;Place Jules Gautier;JULES GAUTIER;GAUTIER;323722836
PLACE;Place Margetschöcheim;MARGETSCHOCHEIM;MARGETSCHOCHEIM;114847515
PLACE;Place Paul Legrand;PAUL LEGRAND;LEGRAND;114853081
PLACE;Place des Coquelicots;DES COQUELICOTS;COQUELICOTS;323859758
PLACE;Place des Sapins;DES SAPINS;SAPINS;30951432
PLACE;Place des Érables;DES ERABLES;ERABLES;323720767,323720769,489783725,489783728,489783729,489783732
ROUTE;Route de Blainville;DE BLAINVILLE;BLAINVILLE;114876188,284251309
ROUTE;Route de Caen;DE CAEN;CAEN;4577013,171004488,567175474,574134613
ROUTE;Route de Mathieu;DE MATHIEU;MATHIEU;4622902,115211126,115211127,115211128,496880862
ROUTE;Route du Londel;DU LONDEL;LONDEL;367073474
RUE;Rue Abbé Allix;ABBE ALLIX;ALLIX;109723298
RUE;Rue Amiral Courbet;AMIRAL COURBET;COURBET;109773549
RUE;Rue André Tack;ANDRE TACK;TACK;51707121
RUE;Rue Antoine de Saint-Exupéry;ANTOINE DE SAINT EXUPERY;EXUPERY;112072871
RUE;Rue Basse;BASSE;BASSE;112057929,114876187
RUE;Rue Berlioz;BERLIOZ;BERLIOZ;115213140
RUE;Rue Commandant Kieffer;COMMANDANT KIEFFER;KIEFFER;437458441
RUE;Rue Côte de Nacre;COTE DE NACRE;NACRE;112057925
RUE;Rue De La Fontaine;DE LA FONTAINE;FONTAINE;112568555
RUE;Rue Edmond Jupp;EDMOND JUPP;JUPP;120290349,323722196
RUE;Rue François Mansart;FRANCOIS MANSART;MANSART;115189752,115189757,496930908,496930910
RUE;Rue Germaine Barette;GERMAINE BARETTE;BARETTE;4622897
RUE;Rue Haute;HAUTE;HAUTE;114846230
RUE;Rue Jean Baptiste Colbert;JEAN BAPTISTE COLBERT;COLBERT;30951413
RUE;Rue Lemanissier;LEMANISSIER;LEMANISSIER;323720994
RUE;Rue Lionel Boccard;LIONEL BOCCARD;BOCCARD;30951431,114876964
RUE;Rue Lympstone;LYMPSTONE;LYMPSTONE;114847517
RUE;Rue Madeleine L'Hérault;MADELEINE L HERAULT;HERAULT;109801984
RUE;Rue Massenet;MASSENET;MASSENET;115213138
RUE;Rue Michel Lapersonne;MICHEL LAPERSONNE;LAPERSONNE;120290352
RUE;Rue Mozart;MOZART;MOZART;111985608,111985611,111985612,111985613,115308305,366561805,496926245
RUE;Rue Ronsard;RONSARD;RONSARD;109723303
RUE;Rue Saint-Saëns;SAINT SAENS;SAENS;114333559,114334515,114334518,496930905
