voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Elsa Triolet;ELSA TRIOLET;TRIOLET;330449579
ALLEE;Allée des Fougères;DES FOUGERES;FOUGERES;108867067
ALLEE;Allée des Tamaris;DES TAMARIS;TAMARIS;108867064
ALLEE;Allée des Thuyas;DES THUYAS;THUYAS;39250512
AVENUE;Avenue Albert Février;ALBERT FEVRIER;FEVRIER;46729180
AVENUE;Avenue Foucher de Careil;FOUCHER DE CAREIL;CAREIL;39250484,392976724
AVENUE;Avenue Georges Landry;GEORGES LANDRY;LANDRY;46729178,330448385
AVENUE;Avenue Guislain de Favières;GUISLAIN DE FAVIERES;FAVIERES;39250771
AVENUE;Avenue Léonard Pillu;LEONARD PILLU;PILLU;26575807
AVENUE;Avenue de Verdun;DE VERDUN;VERDUN;46759843
AVENUE;Avenue de l'Europe;DE L EUROPE;EUROPE;128854925,194327303,194327304,194327305,194327306
AVENUE;Avenue de la Gare;DE LA GARE;GARE;39250474
AVENUE;Avenue des Alliés;DES ALLIES;ALLIES;46726067
AVENUE;Avenue des Ormes;DES ORMES;ORMES;39250473
AVENUE;Avenue des Tilleuls;DES TILLEULS;TILLEULS;39250466
AVENUE;Avenue du Sporting;DU SPORTING;SPORTING;39250443,45476779
BOULEVARD;Boulevard Jacques Landry;JACQUES LANDRY;LANDRY;46729167,232958634,232958635
BOULEVARD;Boulevard Louis Pillu;LOUIS PILLU;PILLU;46726085
BOULEVARD;Boulevard de Saint-Philbert;DE SAINT PHILBERT;PHILBERT;128179181,128179183,587675887
BOULEVARD;Boulevard des Belges;DES BELGES;BELGES;46726082,232599880,560979467
;Chaumières du Golf;CHAUMIERES DU GOLF;GOLF;110589424
CHEMIN;Chemin Latéral;LATERAL;LATERAL;100958932
CHEMIN;Chemin Mauger;MAUGER;MAUGER;46726083
CHEMIN;Chemin Vimard;VIMARD;VIMARD;108438841,108438843
CHEMIN;Chemin de Trousseauville;DE TROUSSEAUVILLE;TROUSSEAUVILLE;108867032,108867044,399497838
CHEMIN;Chemin de la Cascade;DE LA CASCADE;CASCADE;46729166
CHEMIN;Chemin de la Fontaine Pannier;DE LA FONTAINE PANNIER;PANNIER;110566423,110566437
CHEMIN;Chemin de la Petite Vitesse;DE LA PETITE VITESSE;VITESSE;39250727,46729165
CHEMIN;Chemin des Chevaliers;DES CHEVALIERS;CHEVALIERS;128924429
CHEMIN;Chemin des Douaniers;DES DOUANIERS;DOUANIERS;128924451
CHEMIN;Chemin des Egrillards;DES EGRILLARDS;EGRILLARDS;110592204,110592207,110592215,207636817,399497842,399684310
CHEMIN;Chemin des Genêts;DES GENETS;GENETS;39250510,39250511,100961280
CHEMIN;Chemin des Rouges-Terres;DES ROUGES TERRES;TERRES;39302254
CHEMIN;Chemin des Sycomores;DES SYCOMORES;SYCOMORES;100961468
CHEMIN;Chemin du Lieu Carel;DU LIEU CAREL;CAREL;194139457
;Clair Vallon;CLAIR VALLON;VALLON;398928679
CLOS;Clos Bellevue;BELLEVUE;BELLEVUE;102004201
CLOS;Clos Charles Vimard;CHARLES VIMARD;VIMARD;194139458
CLOS;Clos Larigauderie;LARIGAUDERIE;LARIGAUDERIE;102004204,194139459
HAMEAU;Hameau de la Vallée;DE LA VALLEE;VALLEE;39302844,39302846,108866983,108867002,108867017,398022146
IMPASSE;Impasse Evangélique;EVANGELIQUE;EVANGELIQUE;330447303
IMPASSE;Impasse Gabriel Davioud;GABRIEL DAVIOUD;DAVIOUD;399497846
IMPASSE;Impasse Guillaume Lecomte;GUILLAUME LECOMTE;LECOMTE;39251198
IMPASSE;Impasse Lapie;LAPIE;LAPIE;330447346
IMPASSE;Impasse de Trousseauville;DE TROUSSEAUVILLE;TROUSSEAUVILLE;391556265
IMPASSE;Impasse de l'Espérance;DE L ESPERANCE;ESPERANCE;330448175
IMPASSE;Impasse de la Passerelle;DE LA PASSERELLE;PASSERELLE;115502429
IMPASSE;Impasse des Capucines;DES CAPUCINES;CAPUCINES;330448055
IMPASSE;Impasse des Lilas;DES LILAS;LILAS;194139460
IMPASSE;Impasse des Marguerites;DES MARGUERITES;MARGUERITES;330447633
IMPASSE;Impasse des Primevères;DES PRIMEVERES;PRIMEVERES;39251197
IMPASSE;Impasse du Cimetière;DU CIMETIERE;CIMETIERE;108867046
;La Cour Ferrey;LA COUR FERREY;FERREY;108867026
;La Cour du Moulin;LA COUR DU MOULIN;MOULIN;108867047,109384379,524466834,524466835
;Les Cents Marches;LES CENTS MARCHES;MARCHES;45477508
;Les Ducs de Normandie;LES DUCS DE NORMANDIE;NORMANDIE;109384372
;Little Home;LITTLE HOME;HOME;110599927
LOTISSEMENT;Lotissement Clair Vallon;CLAIR VALLON;VALLON;110459417
LOTISSEMENT;Lotissement Vimard;VIMARD;VIMARD;330449906
PLACE;Place Frank Nohain;FRANK NOHAIN;NOHAIN;108867054
PROMENADE;Promenade Roland Garros;ROLAND GARROS;GARROS;128924498,231885695,231885697,247011861
ROND POINT;Rond-Point du Sporting;DU SPORTING;SPORTING;45476810
ROUTE;Route de Lisieux;DE LISIEUX;LISIEUX;113937094
ROUTE;Route de Trouville;DE TROUVILLE;TROUVILLE;110656437,110656443,184297800,195748595,206259999,207636818,399722253,560979465,560979466,624329223
ROUTE;Route de la Vallée;DE LA VALLEE;VALLEE;30728824,39251025,231885691,401118593
RUE;Rue Abbé Agnèz;ABBE AGNEZ;AGNEZ;46726090
RUE;Rue Abbé Anne;ABBE ANNE;ANNE;46726068
RUE;Rue Amédée René;AMEDEE RENE;RENE;46726088
RUE;Rue Aristide Renault;ARISTIDE RENAULT;RENAULT;39250437,46726074,46726091,46729181
RUE;Rue Armengaud;ARMENGAUD;ARMENGAUD;46726079
RUE;Rue Baumier;BAUMIER;BAUMIER;108867065,202075606,202075607,231526783,231526784
RUE;Rue Blanc;BLANC;BLANC;46726081
RUE;Rue Boulot;BOULOT;BOULOT;108867040
RUE;Rue Brigade Piron;BRIGADE PIRON;PIRON;46726084
RUE;Rue Charles Sevestre;CHARLES SEVESTRE;SEVESTRE;194139464
RUE;Rue Claire Jouvet;CLAIRE JOUVET;JOUVET;39250462,231526909
RUE;Rue Domaine du Drakkar;DOMAINE DU DRAKKAR;DRAKKAR;143406803
RUE;Rue Dupont de l'Eure;DUPONT DE L EURE;EURE;45477581
RUE;Rue Emile Deschanel;EMILE DESCHANEL;DESCHANEL;39250444,244548385
RUE;Rue Gatine;GATINE;GATINE;39301424
RUE;Rue Henri Dobert;HENRI DOBERT;DOBERT;39250454,108866982,108867070
RUE;Rue Henri Fouchard;HENRI FOUCHARD;FOUCHARD;46726069,108866977
RUE;Rue Henri Jouvet;HENRI JOUVET;JOUVET;45476286
RUE;Rue Hippolyte Toupet;HIPPOLYTE TOUPET;TOUPET;39251256
RUE;Rue Jacques Ibert;JACQUES IBERT;IBERT;45476817
RUE;Rue Jean Rochereau;JEAN ROCHEREAU;ROCHEREAU;45476013
RUE;Rue Jean Vasnier;JEAN VASNIER;VASNIER;108867005,330800240
RUE;Rue Jules Cappeliez;JULES CAPPELIEZ;CAPPELIEZ;194139461
RUE;Rue Le Clos de Beuzeval;LE CLOS DE BEUZEVAL;BEUZEVAL;330449561
RUE;Rue Ledanois;LEDANOIS;LEDANOIS;39250439
RUE;Rue Lieutenant A Lerossignol;LIEUTENANT A LEROSSIGNOL;LEROSSIGNOL;39250435
RUE;Rue Louis Burnouf;LOUIS BURNOUF;BURNOUF;108867041
RUE;Rue Louis Tillaye;LOUIS TILLAYE;TILLAYE;108866992,123152568
RUE;Rue Marchand;MARCHAND;MARCHAND;39250913
RUE;Rue Pasteur;PASTEUR;PASTEUR;39250754
RUE;Rue Sebastien de Neufville;SEBASTIEN DE NEUFVILLE;NEUFVILLE;231885683,392976725
