voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Monty;MONTY;DENIS;322975944
ALLEE;Allée des Anciens Tennis;DES ANCIENS TENNIS;TENNIS;284633816
ALLEE;Allée des Courlis;DES COURLIS;COURLIS;322976066
ALLEE;Allée des Fleurs;DES FLEURS;FLEURS;262982142
ALLEE;Allée des Flots;DES FLOTS;FLOTS;142409572
ALLEE;Allée des Rosiers;DES ROSIERS;ROSIERS;322975487
ALLEE;Allée des Tuyas;DES TUYAS;TUYAS;322978326
AVENUE;Avenue de Tournebu;DE TOURNEBU;TOURNEBU;34643058
AVENUE;Avenue de la Libération;DE LA LIBERATION;LIBERATION;263564135,263564136
BOULEVARD;Boulevard Léon Favreau;LEON FAVREAU;FAVREAU;324325728
CHEMIN RURAL;Chemin Rural de Bernières-Sur-Mer à Langrunes-Sur-Mer;DE BERNIERES SUR MER A LANGRUNES SUR MER;MER;57016104
CHEMIN;Chemin de l'Usine;DE L USINE;USINE;262982144
CHEMIN;Chemin du Cavet;DU CAVET;CAVET;237208997,248900720
CHEMIN;Chemin du Coq Blanc;DU COQ BLANC;BLANC;231244917
CHEMIN;Chemin du Grand Clos;DU GRAND CLOS;CLOS;142409557,142409562
IMPASSE;Impasse Francois Coppée;FRANCOIS COPPEE;COPPEE;322975635,547661531
IMPASSE;Impasse Monplaisir;MONPLAISIR;ILE;167105635
IMPASSE;Impasse Victor Hugo;VICTOR HUGO;HUGO;322975666,547661530
IMPASSE;Impasse de l'Anguille;DE L ANGUILLE;ANGUILLE;248900710
IMPASSE;Impasse de la Corderie;DE LA CORDERIE;CORDERIE;322978119
IMPASSE;Impasse des Ecorbats;DES ECORBATS;ECORBATS;248900718
IMPASSE;Impasse des Monts;DES MONTS;MONTS;248901282
PROMENADE;Promenade Aristide Briand;ARISTIDE BRIAND;BRIAND;37794524,319605939
PROMENADE;Promenade Paul Doumer;PAUL DOUMER;DOUMER;4609920,319605940
ROUTE;Route de Courseulles;DE COURSEULLES;COURSEULLES;70396491
ROUTE;Route de Langrune;DE LANGRUNE;LANGRUNE;70396480
ROUTE;Route de Tailleville;DE TAILLEVILLE;TAILLEVILLE;237209037
RUE;Rue Abbé Rolland;ABBE ROLLAND;ROLLAND;4609921,232024850,319585127
RUE;Rue Alfred Houel;ALFRED HOUEL;HOUEL;322978387
RUE;Rue Andre Denys;ANDRE DENYS;DENYS;231244925
RUE;Rue Caporal Pool;CAPORAL POOL;POOL;284633815
RUE;Rue Catherine de Médicis;CATHERINE DE MEDICIS;MEDICIS;237208994
RUE;Rue Germain Pilon;GERMAIN PILON;PILON;237208998
RUE;Rue Grange Denis;GRANGE DENIS;DENIS;322975832
RUE;Rue Jean Monnet;JEAN MONNET;MONNET;220746804
RUE;Rue Louis Gouin;LOUIS GOUIN;GOUIN;319585128
RUE;Rue Mare Dupuy;MARE DUPUY;DUPUY;142409581
RUE;Rue Milror;MILROR;ESSARTS;520040437
RUE;Rue Pasteur;PASTEUR;CHAPELLE;40469252
RUE;Rue Paul Fort;PAUL FORT;FORT;520040443
RUE;Rue Robert Sarazin;ROBERT SARAZIN;SARAZIN;231244922,231244924
RUE;Rue Simone Veil;SIMONE VEIL;VEIL;635617105,635617106,635617108,635617110
RUE;Rue de L'Ancienne Mairie;DE L ANCIENNE MAIRIE;MAIRIE;142409552
RUE;Rue de Langrune;DE LANGRUNE;LANGRUNE;38063731,232022345
RUE;Rue de Luc;DE LUC;LUC;37849552
RUE;Rue de Saint-Aubin;DE SAINT AUBIN;AUBIN;56030596
RUE;Rue de l'Aquilon;DE L AQUILON;AQUILON;561840084
RUE;Rue de l'Epagne;DE L EPAGNE;EPAGNE;142409566
RUE;Rue de la Chapelle;DE LA CHAPELLE;CHAPELLE;39352031,142409559
RUE;Rue de la Falaise;DE LA FALAISE;FALAISE;248901279
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;319605941
RUE;Rue de la Mer;DE LA MER;MER;4609915,501761989
RUE;Rue de la Noé de l'Ile;DE LA NOE DE L ILE;ILE;158022160,551635032,551635033
RUE;Rue des Champs;DES CHAMPS;CHAMPS;142409550
RUE;Rue des Chasses;DES CHASSES;CHASSES;37953398
RUE;Rue des Essarts;DES ESSARTS;ESSARTS;520040429,520040441
RUE;Rue des Glaïeuls;DES GLAIEULS;GLAIEULS;142409569
RUE;Rue des Roses;DES ROSES;ROSES;231244921
RUE;Rue des Sorbiers;DES SORBIERS;SORBIERS;237208995
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;237209000
RUE;Rue des Trois Grâces;DES TROIS GRACES;GRACES;142409574
RUE;Rue des Tulipes;DES TULIPES;TULIPES;231244919
RUE;Rue du Capitaine Perry;DU CAPITAINE PERRY;PERRY;142409563
RUE;Rue du Colonel Harivel;DU COLONEL HARIVEL;HARIVEL;4609917,263564149
RUE;Rue du Goulet;DU GOULET;GOULET;142409555
RUE;Rue du Général Leclerc;DU GENERAL LECLERC;LECLERC;4609919,501761990,515919217,515919218
RUE;Rue du Hameau de la Mer;DU HAMEAU DE LA MER;MER;142409575
RUE;Rue du Lieutenant Colonel Moulton;DU LIEUTENANT COLONEL MOULTON;MOULTON;231244918
RUE;Rue du Marechal Montgomery;DU MARECHAL MONTGOMERY;MONTGOMERY;106585170
RUE;Rue du Moulin;DU MOULIN;MOULIN;4609914,142409579,319575164,319575165
RUE;Rue du Parc;DU PARC;PARC;322139103
RUE;Rue du Petit Clos;DU PETIT CLOS;CLOS;142409584
RUE;Rue du Sergent Amato;DU SERGENT AMATO;AMATO;284649144
RUE;Rue du Stade;DU STADE;STADE;322968186
RUE;Rue l'Etalian;L ETALIAN;ETALIAN;520040426,520040439,612195618
VENELLE;Venelle Mare Dupuy;MARE DUPUY;DUPUY;142409580
VENELLE;Venelle Saint-Martin;SAINT MARTIN;MARTIN;248901280
VOIE;Voie des Alliés;DES ALLIES;ALLIES;551621821
VOIE;Voie du 48ème Commando;DU 48EME COMMANDO;COMMANDO;62364164
