voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Commerçants;DES COMMERCANTS;COMMERCANTS;313724996
ALLEE;Allée des Meuniers;DES MEUNIERS;MEUNIERS;209733319,209733346
AVENUE;Avenue de la Chasse;DE LA CHASSE;CHASSE;264966193,305391578
CHEMIN;Chemin de la Cachette;DE LA CACHETTE;CACHETTE;305414877
CHEMIN;Chemin de la Succession;DE LA SUCCESSION;SUCCESSION;544891271
CHEMIN;Chemin du Bas Hamel au Marais;DU BAS HAMEL AU MARAIS;MARAIS;219326357
COUR;Cour de la Fosse Pierre Raoult;DE LA FOSSE PIERRE RAOULT;RAOULT;302465189
COUR;Cour de la Résidence Jean Verney;DE LA RESIDENCE JEAN VERNEY;VERNEY;561328430
COUR;Cour du Porion;DU PORION;PORION;305391579,305391580
IMPASSE;Impasse Aimé Labbey;AIME LABBEY;LABBEY;302465183,302465184
IMPASSE;Impasse des Coquelicots;DES COQUELICOTS;COQUELICOTS;215471311
IMPASSE;Impasse des Puits;DES PUITS;PUITS;313724997
IMPASSE;Impasse du Bessin;DU BESSIN;BESSIN;302465185
PLACE;Place Docteur René Verney;DOCTEUR RENE VERNEY;VERNEY;327682640
PLACE;Place Saint-Germain;SAINT GERMAIN;GERMAIN;327683533
PLACE;Place du Marché;DU MARCHE;MARCHE;327682650
ROUTE;Route d'Isigny sur Mer;D ISIGNY SUR MER;MER;327683654
ROUTE;Route de Balleroy;DE BALLEROY;BALLEROY;120119398
ROUTE;Route de Bayeux;DE BAYEUX;BAYEUX;302465182
ROUTE;Route de Cerisy;DE CERISY;CERISY;129839881
ROUTE;Route de Tournières;DE TOURNIERES;TOURNIERES;305414882,391399801,391399803
ROUTE;Route du Tronquay;DU TRONQUAY;TRONQUAY;33301847
RUE;Rue Arthur Legoupil;ARTHUR LEGOUPIL;LEGOUPIL;302465186
RUE;Rue Charles Gervais;CHARLES GERVAIS;GERVAIS;129839868,662941716,662941718
RUE;Rue Edmond Dillée;EDMOND DILLEE;DILLEE;302465187
RUE;Rue Fort du Douet;FORT DU DOUET;DOUET;129839884
RUE;Rue Lamonzie Saint-Martin;LAMONZIE SAINT MARTIN;MARTIN;209733364
RUE;Rue Lemasquerier;LEMASQUERIER;TRONQUAY;81814355
RUE;Rue Maurice Julienne;MAURICE JULIENNE;JULIENNE;305414883,305414884,305414885,305414886
RUE;Rue Michel Houyvet;MICHEL HOUYVET;HOUYVET;129839867,129839872
RUE;Rue Philippe Guillaume Lance;PHILIPPE GUILLAUME LANCE;LANCE;129888281
RUE;Rue Retot;RETOT;COUTURE;216095834
RUE;Rue Yves Bernard;YVES BERNARD;BERNARD;309596325,309596326
RUE;Rue de Bayeux;DE BAYEUX;BAYEUX;124206299
RUE;Rue de Bovey Tracey;DE BOVEY TRACEY;TRACEY;129839853
RUE;Rue de Dahlenburg;DE DAHLENBURG;DAHLENBURG;215471312
RUE;Rue de Tainville;DE TAINVILLE;TAINVILLE;129839882
RUE;Rue de la Briqueterie;DE LA BRIQUETERIE;BRIQUETERIE;209733291,209733355
RUE;Rue de la Couture;DE LA COUTURE;COUTURE;215471329
RUE;Rue de la Fosse Bénard;DE LA FOSSE BENARD;BENARD;129839885
RUE;Rue de la Fosse Frandemiche;DE LA FOSSE FRANDEMICHE;FRANDEMICHE;215471313
RUE;Rue de la Fosse d'Airage;DE LA FOSSE D AIRAGE;AIRAGE;129839851
RUE;Rue de la Gare;DE LA GARE;GARE;81814356,305414887
RUE;Rue de la Moignerie;DE LA MOIGNERIE;MOIGNERIE;129839879,215471324
RUE;Rue de la Patinière;DE LA PATINIERE;PATINIERE;219326356
RUE;Rue de la Pompe à Feu;DE LA POMPE A FEU;FEU;302465190
RUE;Rue de la Ruette;DE LA RUETTE;RUETTE;129839864
RUE;Rue de la Venouillerie;DE LA VENOUILLERIE;VENOUILLERIE;129839855
RUE;Rue des Alliés;DES ALLIES;ALLIES;129839871,232154719
RUE;Rue des Barres;DES BARRES;BARRES;129839857,129839877,209733295,209733321,209733365,305414888
RUE;Rue des Flaguais;DES FLAGUAIS;FLAGUAIS;129839852,305391581
RUE;Rue des Longs Champs;DES LONGS CHAMPS;CHAMPS;561328432
RUE;Rue des Maisonnettes;DES MAISONNETTES;MAISONNETTES;129839870
RUE;Rue des Mesliers;DES MESLIERS;MESLIERS;129839875,264966195
RUE;Rue des Mineurs;DES MINEURS;MINEURS;209733293
RUE;Rue des Monts;DES MONTS;MONTS;544891272,544891274
RUE;Rue des Planquettes;DES PLANQUETTES;PLANQUETTES;129839863
RUE;Rue des Quesnées;DES QUESNEES;QUESNEES;232154702,561328417
RUE;Rue des Tourets;DES TOURETS;TOURETS;327683771
RUE;Rue du Canard;DU CANARD;CANARD;313724359
RUE;Rue du Clos Saint-Nicolas;DU CLOS SAINT NICOLAS;NICOLAS;232154708
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;129888293,305391584
RUE;Rue du Marais;DU MARAIS;MARAIS;129839856
RUE;Rue du Quétissant;DU QUETISSANT;QUETISSANT;129839854
RUE;Rue du Titre;DU TITRE;TITRE;129839858
RUE;Rue du Vieux Moulin;DU VIEUX MOULIN;MOULIN;129839873
RUE;Rue du Vieux Pressoir;DU VIEUX PRESSOIR;PRESSOIR;309596327
SQUARE;Square de la Fosse Bénard;DE LA FOSSE BENARD;BENARD;302465188
SQUARE;Square de la Fosse d'Airage;DE LA FOSSE D AIRAGE;AIRAGE;302465191
SQUARE;Square du Hameau Paisible;DU HAMEAU PAISIBLE;PAISIBLE;129888282
VOIE COMMUNALE;Voie Communale la Longue Rue;LA LONGUE RUE;RUE;232154713
