voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Charles Stratford;CHARLES STRATFORD;STRATFORD;291429269
ALLEE;Allée René James;RENE JAMES;JAMES;255379876
ALLEE;Allée Sainte-Cécile;SAINTE CECILE;CECILE;291430475
ALLEE;Allée de l'Europe;DE L EUROPE;EUROPE;291429262
ALLEE;Allée des Pains Gris;DES PAINS GRIS;GRIS;291429263
ALLEE;Allée du Bourg Neuf;DU BOURG NEUF;NEUF;291430474
;Chemin;CHEMIN;CHEMIN;589902517,618260309
CHEMIN;Chemin de Halage;DE HALAGE;HALAGE;151351804,293953450
CHEMIN;Chemin de Longueville;DE LONGUEVILLE;LONGUEVILLE;255379888
CHEMIN;Chemin des Capucines;DES CAPUCINES;CAPUCINES;141820909
CHEMIN;Chemin des Carrières;DES CARRIERES;CARRIERES;141759170,293953467
CHEMIN;Chemin du Haut Ranville;DU HAUT RANVILLE;RANVILLE;326634231
CHEMIN;Chemin du Heaume;DU HEAUME;HEAUME;291432373
CHEMIN;Chemin du Pont Locheur;DU PONT LOCHEUR;LOCHEUR;141669790
;Chemin forestier;CHEMIN FORESTIER;FORESTIER;589901139
;Impase Pegasus;IMPASE PEGASUS;PEGASUS;157809600
IMPASSE;Impasse Palmade;PALMADE;PALMADE;291430476
IMPASSE;Impasse Saint-Leonard;SAINT LEONARD;LEONARD;326638979
IMPASSE;Impasse de l'Aiguillon;DE L AIGUILLON;AIGUILLON;291430477
IMPASSE;Impasse des Bleuets;DES BLEUETS;BLEUETS;291430478
IMPASSE;Impasse des Mésanges;DES MESANGES;MESANGES;291429685
IMPASSE;Impasse des Planeurs;DES PLANEURS;PLANEURS;291429268
IMPASSE;Impasse du Cimetière;DU CIMETIERE;CIMETIERE;291427266
IMPASSE;Impasse du Général de Brye;DU GENERAL DE BRYE;BRYE;326755774
IMPASSE;Impasse du Petit Clos;DU PETIT CLOS;CLOS;291429686
;Pegasus Bridge;PEGASUS BRIDGE;BRIDGE;220507364
PISTE;Piste cyclable;CYCLABLE;CYCLABLE;589901140
PLACE;Place des Airbornes;DES AIRBORNES;AIRBORNES;291428355
ROUTE;Route d'Hérouvillette;D HEROUVILLETTE;HEROUVILLETTE;41363549
ROUTE;Route de Breville;DE BREVILLE;BREVILLE;326635461
ROUTE;Route de Cabourg;DE CABOURG;CABOURG;40747785
ROUTE;Route du Parc;DU PARC;PARC;64388608,454668824
ROUTE;Route du Stade;DU STADE;STADE;502427169,502427171
RUE;Rue Abbé Brunnin;ABBE BRUNNIN;BRUNNIN;141820869
RUE;Rue Camille Blaizot;CAMILLE BLAIZOT;BLAIZOT;563090271
RUE;Rue Charles Stratford;CHARLES STRATFORD;STRATFORD;291429264
