voie;name;name_norm;last_word_norm;ways
;! Fermé !;! FERME !;!;52136879
;! Impraticable !;! IMPRATICABLE !;!;52136915
;! Privé !;! PRIVE !;!;52136882
ALLEE;Allée Georges Pompidou;GEORGES POMPIDOU;POMPIDOU;45460590
ALLEE;Allée des Près de Barra;DES PRES DE BARRA;BARRA;53544719
ALLEE;Allée des Tilleuls;DES TILLEULS;TILLEULS;46329611
ALLEE;Allée du Vialenc;DU VIALENC;VIALENC;46329654,46329689
ANCIEN CHEMIN;Ancien Chemin d'Aurillac à Saint-Jean de Done;D AURILLAC A SAINT JEAN DE DONE;DONE;44775227,44775232,52091109,53246310
AVENUE;Avenue Aristide Briand;ARISTIDE BRIAND;BRIAND;4602801,53544703,53570973,159589089
AVENUE;Avenue Charles de Gaulle;CHARLES DE GAULLE;GAULLE;8479775,49961201,49961203,49961204,49961205,49961208,50648390,154714826,319851422
AVENUE;Avenue Gambetta;GAMBETTA;GAMBETTA;35681998,226866668,235485561,573306264
AVENUE;Avenue Georges Pompidou;GEORGES POMPIDOU;POMPIDOU;4602797,4909786,59147980,59147981,59147987,59147988,59147992,59147995,59147999,59148000,59148006,59148011,59148015,319721651,416589934
AVENUE;Avenue Jean-Baptiste Veyre;JEAN BAPTISTE VEYRE;VEYRE;4602811,44707596,44707664,44707674,652680148
AVENUE;Avenue Milhaud;MILHAUD;MILHAUD;46414884,51965021,250935793,259942820,288188378
AVENUE;Avenue de Conthe;DE CONTHE;CONTHE;48265312,48265316,48265317,48265318,49961200,49961202
AVENUE;Avenue de Done;DE DONE;DONE;44755114
AVENUE;Avenue de Julien;DE JULIEN;JULIEN;49961206,49961207,237531724
AVENUE;Avenue de Tivoli;DE TIVOLI;TIVOLI;50622651,50622654,50866311
AVENUE;Avenue de Tronquieres;DE TRONQUIERES;TRONQUIERES;49961263,49961265,237531728
AVENUE;Avenue de la Liberté;DE LA LIBERTE;LIBERTE;69965567,226702005
AVENUE;Avenue de la Libération;DE LA LIBERATION;LIBERATION;52136881
AVENUE;Avenue de la République;DE LA REPUBLIQUE;REPUBLIQUE;154713213,235855109,296170918
AVENUE;Avenue des Prades;DES PRADES;PRADES;50275419,50622657,154714554,235483671,289362105,653412754
AVENUE;Avenue des Pupilles de la Nation;DES PUPILLES DE LA NATION;NATION;35579731,236575915,289362106,289362107,289362108,289362109,289362114
AVENUE;Avenue des Volontaires;DES VOLONTAIRES;VOLONTAIRES;4909765,237229243,237229244
AVENUE;Avenue du Commandant Monraisse;DU COMMANDANT MONRAISSE;MONRAISSE;49961220,50622648
AVENUE;Avenue du Docteur Jean Chanal;DU DOCTEUR JEAN CHANAL;CHANAL;44707680
AVENUE;Avenue du Garric;DU GARRIC;GARRIC;43030294,88465949,103127986,237531731
AVENUE;Avenue du Général Leclerc;DU GENERAL LECLERC;LECLERC;4602764,59147989,59148023,233870190,233870191
AVENUE;Avenue du Plomb du Cantal;DU PLOMB DU CANTAL;CANTAL;49961253,62222156
AVENUE;Avenue du Professeur Henri Mondor;DU PROFESSEUR HENRI MONDOR;MONDOR;44536928
AVENUE;Avenue du Quatre Septembre;DU QUATRE SEPTEMBRE;SEPTEMBRE;46329592,46329609,289362118
BOULEVARD;Boulevard Antony Joly;ANTONY JOLY;JOLY;44755113,44755124,44946081,44946087,44946088,45473158,291584667,291584668,291584670,291584672,291584674,291584676
BOULEVARD;Boulevard Eugène Lintilhac;EUGENE LINTILHAC;LINTILHAC;46099114,288303662
BOULEVARD;Boulevard Jean Jaurès;JEAN JAURES;JAURES;4602782,44707678,44707688
BOULEVARD;Boulevard Louis Dauzier;LOUIS DAUZIER;DAUZIER;45474435,291432856,291584655,291584657,291584660
BOULEVARD;Boulevard d'Aurinques;D AURINQUES;AURINQUES;4602899
BOULEVARD;Boulevard de Canteloube;DE CANTELOUBE;CANTELOUBE;65583157,235330310,236577579
BOULEVARD;Boulevard de Lescudilliers;DE LESCUDILLIERS;LESCUDILLIERS;49961217,49961221,49961222,49961252,416589935,416589936,488633900,488633901
BOULEVARD;Boulevard de Verdun;DE VERDUN;VERDUN;59148009,59148024,62222155
BOULEVARD;Boulevard des Hortes;DES HORTES;HORTES;44624441
BOULEVARD;Boulevard du Pavatou;DU PAVATOU;PAVATOU;4602914,44072618,44707662
BOULEVARD;Boulevard du Pont Rouge;DU PONT ROUGE;ROUGE;4602724
BOULEVARD;Boulevard du Vialenc;DU VIALENC;VIALENC;37765772,194519718,238110395,416589937
;Canterolle;CANTEROLLE;CANTEROLLE;308637573
CARREFOUR;Carrefour Henri et Bernard Tricot;HENRI ET BERNARD TRICOT;TRICOT;4909790
CHEMIN;Chemin Jacques-Paul Péducasse;JACQUES PAUL PEDUCASSE;PEDUCASSE;53544716
;Chemin Rural;CHEMIN RURAL;RURAL;44810261,44810266,45460591,46329641,52136912,53246307,55668552,55668558,364173669,462952001
CHEMIN RURAL;Chemin Rural de Caissy;DE CAISSY;CAISSY;45460589,56237354,59148001,159589090,159596132
CHEMIN RURAL;Chemin Rural de Coissy;DE COISSY;COISSY;4602882,67498084
CHEMIN;Chemin d'Antuejoul;D ANTUEJOUL;ANTUEJOUL;50034284,50036053,186854002
CHEMIN;Chemin d'Exploitation;D EXPLOITATION;EXPLOITATION;46120896,46418646,49532408,52084172,52084173,52085980,171542497
CHEMIN;Chemin de Berthou;DE BERTHOU;BERTHOU;50275418,50275423
CHEMIN;Chemin de Brouzac;DE BROUZAC;BROUZAC;62226714
CHEMIN;Chemin de Conthe;DE CONTHE;CONTHE;288176238,288176239,288176240,288176241,288176242,288176243
CHEMIN;Chemin de Gazard;DE GAZARD;GAZARD;44810278
CHEMIN;Chemin de Lascanaux;DE LASCANAUX;LASCANAUX;44946346,44946353,274500660,274500661
CHEMIN;Chemin de Marmiers;DE MARMIERS;MARMIERS;69195893,235330320
CHEMIN;Chemin de Patay;DE PATAY;PATAY;35579727,44707675
CHEMIN;Chemin de Roussy;DE ROUSSY;ROUSSY;44814336,44814337,52136894,239730064
CHEMIN;Chemin de Tronquières;DE TRONQUIERES;TRONQUIERES;68167626
CHEMIN;Chemin de la Côte Blanche;DE LA COTE BLANCHE;BLANCHE;44779039
CHEMIN;Chemin de la Côte du Buis;DE LA COTE DU BUIS;BUIS;55668568,154703823
CHEMIN;Chemin de la Limite;DE LA LIMITE;LIMITE;44755122,44775225
CHEMIN;Chemin de la Martinie;DE LA MARTINIE;MARTINIE;569139083
CHEMIN;Chemin de la Moissetie;DE LA MOISSETIE;MOISSETIE;44790336
CHEMIN;Chemin de la Ponétie;DE LA PONETIE;PONETIE;59147986
CHEMIN;Chemin des Remparts;DES REMPARTS;REMPARTS;50034281,50034285
CHEMIN;Chemin du Barra;DU BARRA;BARRA;52136883,53544712,154703825
CHEMIN;Chemin du Bois de Conthe;DU BOIS DE CONTHE;CONTHE;49830543,49830544,607687234
CHEMIN;Chemin du Bousquet;DU BOUSQUET;BOUSQUET;65583200,69341629
CHEMIN;Chemin du Roc Castanet;DU ROC CASTANET;CASTANET;44743185,44743191,44755109,44755129
CITE;Cité de Brouzac;DE BROUZAC;BROUZAC;569140598
CITE;Cité de Limagne;DE LIMAGNE;LIMAGNE;569139128
CITE;Cité de Marmiesse;DE MARMIESSE;MARMIESSE;385742499,385742504,385742505,385742506
CITE;Cité de la Montade;DE LA MONTADE;MONTADE;288204910,288204917,288204918
CITE;Cité du Parc;DU PARC;PARC;569139110
COULOIR;Couloir de Bus;DE BUS;BUS;288088442
COURS;Cours Monthyon;MONTHYON;MONTHYON;4602896,237234675
COURS;Cours d'Angoulême;D ANGOULEME;ANGOULEME;44072613,55668565,55668566,55668576,55668577,154704985,235485564
COURS;Cours de Noailles;DE NOAILLES;NOAILLES;288018698
COTE;Côte de Reyne;DE REYNE;REYNE;44755117
COTE;Côte de Verniols;DE VERNIOLS;VERNIOLS;142028120
;Escalier;ESCALIER;ESCALIER;548816121
ESPACE;Espace Henri Matisse;HENRI MATISSE;MATISSE;44941352,474640765,474640777
HAMEAU;Hameau d'Escanis;D ESCANIS;ESCANIS;569139116
ILOT;Ilot Marcel Carne;MARCEL CARNE;CARNE;49886745,49886746
IMPASSE;Impasse Aristide Briand;ARISTIDE BRIAND;BRIAND;53570961
IMPASSE;Impasse Blaise Pascal;BLAISE PASCAL;PASCAL;68167607
IMPASSE;Impasse Clément Marot;CLEMENT MAROT;MAROT;49878695
IMPASSE;Impasse Elsa Triolet;ELSA TRIOLET;TRIOLET;49878702
IMPASSE;Impasse Eugène Lintilhac;EUGENE LINTILHAC;LINTILHAC;45473145,45473146
