voie;name;name_norm;last_word_norm;ways
;Accès au Camping de la Taillade;ACCES AU CAMPING DE LA TAILLADE;TAILLADE;223608962
;Barrage de Grandval;BARRAGE DE GRANDVAL;GRANDVAL;262121261
CHEMIN;Chemin d'Acces Rochegonde-D48-1;D ACCES ROCHEGONDE D48 1;1;219688018
CHEMIN;Chemin d'Orcières;D ORCIERES;ORCIERES;223608968
IMPASSE;Impasse des Fourches;DES FOURCHES;FOURCHES;271956039
;Lotisement de Béchafol 2;LOTISEMENT DE BECHAFOL 2;2;219802703
LOTISSEMENT;Lotissement de Béchafol;DE BECHAFOL;BECHAFOL;219802705
PASSERELLE;Passerelle de Malineux;DE MALINEUX;MALINEUX;248723014
PLACE;Place Francois Marty;FRANCOIS MARTY;MARTY;271956040
PLACE;Place du Meze;DU MEZE;MEZE;271956041,271956042
PONT;Pont Romain;ROMAIN;ORCIERES;224924331
PONT;Pont de Tagenac;DE TAGENAC;TAGENAC;470731049
ROUTE;Route Principale de Neuvéglise;PRINCIPALE DE NEUVEGLISE;NEUVEGLISE;119756832,243455852,243455856
ROUTE;Route Vernuéjols-D48;VERNUEJOLS D48;D48;219546484
ROUTE;Route d'Accès à Rochegonde;D ACCES A ROCHEGONDE;ROCHEGONDE;220317940
ROUTE;Route de Chambernon-Fressange;DE CHAMBERNON FRESSANGE;FRESSANGE;219545787
ROUTE;Route du Cantal vers Saint-Flour;DU CANTAL VERS SAINT FLOUR;FLOUR;126020586,126020587,424823460,424823461,424823462,424823463,471574096,471574097,598955706,598955707
RUE;Rue Henri Pourrat;HENRI POURRAT;POURRAT;242857009
RUE;Rue Jean Ferrat;JEAN FERRAT;FERRAT;271956043
RUE;Rue Laffitte;LAFFITTE;JOUVE;242895508
RUE;Rue Lucie Aubrac;LUCIE AUBRAC;AUBRAC;242895524
RUE;Rue Marie Curie;MARIE CURIE;CURIE;271956044
RUE;Rue Marie Marvingt;MARIE MARVINGT;MARVINGT;271956045
RUE;Rue Maurice Montel;MAURICE MONTEL;MONTEL;242895510
RUE;Rue de la Signolle;DE LA SIGNOLLE;SIGNOLLE;271956046
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;271956047,470327733
RUE;Rue du 19 Mars 1962;DU 19 MARS 1962;1962;223589408,271956048
RUE;Rue du Docteur Jouve;DU DOCTEUR JOUVE;JOUVE;242857014
TRAVERSE;Traversée de Cordesse;E DE CORDESSE;CORDESSE;219802864,224924329
VOIE;Voie Romaine de Rochegonde;ROMAINE DE ROCHEGONDE;ROCHEGONDE;223589427
