voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Anémones;DES ANEMONES;ANEMONES;170302062
ALLEE;Allée des Boutons d'Or;DES BOUTONS D OR;OR;170302040
ALLEE;Allée des Bruyères;DES BRUYERES;BRUYERES;299894961
ALLEE;Allée des Géraniums;DES GERANIUMS;GERANIUMS;170302057
ALLEE;Allée des Marguerites;DES MARGUERITES;MARGUERITES;566795670
ALLEE;Allée des Primevères;DES PRIMEVERES;PRIMEVERES;299894962
ALLEE;Allée des Roses;DES ROSES;ROSES;170302050
ALLEE;Allée des Tulipes;DES TULIPES;TULIPES;299894963
ALLEE;Allée des Violettes;DES VIOLETTES;VIOLETTES;170302055
ALLEE;Allée du Muguet;DU MUGUET;MUGUET;170302045
AVENUE;Avenue Fernand Brun;FERNAND BRUN;BRUN;29361342,184064932,184064933,226763112,339317202,432014780,432014781
AVENUE;Avenue Monseigneur Martrou;MONSEIGNEUR MARTROU;MARTROU;170299479,170299486,170299488
AVENUE;Avenue de Collandres;DE COLLANDRES;COLLANDRES;29361365
AVENUE;Avenue de Mauriac;DE MAURIAC;MAURIAC;4602754,184064936,184064939,184064945,184064952,432007998
AVENUE;Avenue de la Gare;DE LA GARE;GARE;299894964
AVENUE;Avenue de la République;DE LA REPUBLIQUE;REPUBLIQUE;29361285,418295144
BOULEVARD;Boulevard des Sarrazins;DES SARRAZINS;SARRAZINS;165575064,299894965,299894966
;Chemin Rural;CHEMIN RURAL;RURAL;254966969
CHEMIN;Chemin de la Pièce;DE LA PIECE;PIECE;170302038
CITE;Cité Delteil;DELTEIL;DELTEIL;299894968
CITE;Cité de l'Abbaye;DE L ABBAYE;ABBAYE;170299496
CITE;Cité de la Pireyre;DE LA PIREYRE;PIREYRE;299894967
IMPASSE;Impasse Nouvelle;NOUVELLE;NOUVELLE;299894991
IMPASSE;Impasse de l'Industrie;DE L INDUSTRIE;INDUSTRIE;170302027
IMPASSE;Impasse de la Chaussade;DE LA CHAUSSADE;CHAUSSADE;294207127
IMPASSE;Impasse du Lieutenant Basset;DU LIEUTENANT BASSET;BASSET;170300934
IMPASSE;Impasse du Sédour;DU SEDOUR;SEDOUR;170299466
LOTISSEMENT;Lotissement des Mazets;DES MAZETS;MAZETS;170302017,627755695
PLACE;Place Charles de Gaulle;CHARLES DE GAULLE;GAULLE;4602750,31237811,299894969
PLACE;Place La Riomoise;LA RIOMOISE;RIOMOISE;170300930
PLACE;Place de la Gare;DE LA GARE;GARE;299894970
PLACE;Place de la Grande Fontaine;DE LA GRANDE FONTAINE;FONTAINE;276943538
PLACE;Place de la Halle;DE LA HALLE;HALLE;170302047,276943544,418295148
PLACE;Place de la Pireyre;DE LA PIREYRE;PIREYRE;299894971
PLACE;Place du Bar Soubro;DU BAR SOUBRO;SOUBRO;170302020
PLACE;Place du Monument;DU MONUMENT;MONUMENT;29361159,166248084,339317211
ROUTE;Route de Condat;DE CONDAT;CONDAT;3600126,3600127,165575066,184064941,184064942,566791849
ROUTE;Route de Murat;DE MURAT;MURAT;184064935,184064937,299894973
RUE;Rue Alfred Durand;ALFRED DURAND;DURAND;31237784
RUE;Rue Alphonse Besson;ALPHONSE BESSON;BESSON;170300933
RUE;Rue Arsène Vermenouze;ARSENE VERMENOUZE;VERMENOUZE;170299471
RUE;Rue Capitaine de Corvette A. Marche;CAPITAINE DE CORVETTE A  MARCHE;MARCHE;36099777
RUE;Rue Emile Duclaux;EMILE DUCLAUX;DUCLAUX;170299478
RUE;Rue Jean Ménardie;JEAN MENARDIE;MENARDIE;170299464
RUE;Rue Marguerite Meynial;MARGUERITE MEYNIAL;MEYNIAL;170299493
RUE;Rue Paul Doumer;PAUL DOUMER;DOUMER;170299490
