voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Fontaine;DE LA FONTAINE;FONTAINE;60983662
CHEMIN;Chemin de la Guirlande;DE LA GUIRLANDE;GUIRLANDE;60983683
IMPASSE;Impasse de la Noue;DE LA NOUE;NOUE;637582646
IMPASSE;Impasse des Vignerons;DES VIGNERONS;VIGNERONS;60983688
IMPASSE;Impasse du Maine;DU MAINE;MAINE;60983672
IMPASSE;Impasse du Mas;DU MAS;MAS;326359868
IMPASSE;Impasse du Puits;DU PUITS;PUITS;60983684
PLACE;Place de la Poste;DE LA POSTE;POSTE;622317207
ROUTE;Route de Bourras;DE BOURRAS;BOURRAS;622317206
ROUTE;Route de Condé;DE CONDE;CONDE;60983666,326226090,326226091
ROUTE;Route de Vinade;DE VINADE;VINADE;60983687
RUE;Rue Calvin;CALVIN;FONTAINE;60983664
RUE;Rue Porte Barrière;PORTE BARRIERE;BARRIERE;60983686
RUE;Rue Rixendis Loriches;RIXENDIS LORICHES;LORICHES;60983689
RUE;Rue Saint-Etienne;SAINT ETIENNE;ETIENNE;60983659
RUE;Rue Saint-Nicolas;SAINT NICOLAS;NICOLAS;637582645
RUE;Rue de la Croix Saint-Benoit;DE LA CROIX SAINT BENOIT;BENOIT;60983642
RUE;Rue de la Ferrière;DE LA FERRIERE;FERRIERE;60983681
RUE;Rue de la Trache;DE LA TRACHE;TRACHE;60983648,67659813,67659816
RUE;Rue des Bouvents;DES BOUVENTS;BOUVENTS;60983682
RUE;Rue des Halles;DES HALLES;HALLES;60983671
RUE;Rue des Moulins;DES MOULINS;MOULINS;60983644,67659811,67659812,67659814,67659815
RUE;Rue des Plantes;DES PLANTES;PLANTES;622317209
RUE;Rue des Pommerades;DES POMMERADES;POMMERADES;622317217
RUE;Rue des Rouliers;DES ROULIERS;ROULIERS;452744930
RUE;Rue des Vignauds;DES VIGNAUDS;VIGNAUDS;622317208
RUE;Rue du Canton;DU CANTON;CANTON;60983677
RUE;Rue du Pont Bouchard;DU PONT BOUCHARD;BOUCHARD;60983673
RUE;Rue du Port;DU PORT;PORT;60983657
RUE;Rue du Rigolet;DU RIGOLET;RIGOLET;622317211
