voie;name;name_norm;last_word_norm;ways
IMPASSE;Impasse de la Forêt;DE LA FORET;FORET;278011443
IMPASSE;Impasse du Petit Blanchard;DU PETIT BLANCHARD;BLANCHARD;278247639
ROUTE;Route des Pons;DES PONS;PONS;123103808,476203322,476203324
RUE;Rue Chez Care;CHEZ CARE;CARE;421476691
RUE;Rue Henri Vion;HENRI VION;VION;278010539,278010547,563438592
RUE;Rue de l'Église;DE L EGLISE;EGLISE;278010843
RUE;Rue de la Forêt;DE LA FORET;FORET;421476694,421476697
RUE;Rue de la Plaine;DE LA PLAINE;PLAINE;278010548,278010549
RUE;Rue des Ardys;DES ARDYS;ARDYS;278010846
RUE;Rue des Blanchards;DES BLANCHARDS;BLANCHARDS;278010536,278010545,324072301,421477367,421477368
RUE;Rue des Bois;DES BOIS;BOIS;278010543
RUE;Rue des Cèdres;DES CEDRES;CEDRES;278010889
RUE;Rue des Metairies;DES METAIRIES;METAIRIES;278010537
RUE;Rue des Tournesols;DES TOURNESOLS;TOURNESOLS;192494305
RUE;Rue du 8 Mai 1945;DU 8 MAI 1945;1945;278010550,563224252
RUE;Rue du Bourg;DU BOURG;BOURG;421476698
RUE;Rue du Château d'Eau;DU CHATEAU D EAU;EAU;278010540
RUE;Rue du Clone;DU CLONE;CLONE;278010538,278010544,278011445
