voie;name;name_norm;last_word_norm;ways
ALLEE;Allée du 22 Juillet 1944;DU 22 JUILLET 1944;1944;293931481
AUTOROUTE;Autoroute des Oiseaux;DES OISEAUX;OISEAUX;30905692,30905693,49406595,49406597,230299884,516443092,516443093
CHEMIN RURAL;Chemin Rural de Saintes à Crazannes;DE SAINTES A CRAZANNES;CRAZANNES;49795947
CHEMIN;Chemin de Bellivet;DE BELLIVET;BELLIVET;198429247,198429275
CHEMIN;Chemin de la Fragnée;DE LA FRAGNEE;FRAGNEE;206233060
CHEMIN;Chemin des Chails;DES CHAILS;CHAILS;199352015
CHEMIN;Chemin du Chêne des Oeufs;DU CHENE DES OEUFS;OEUFS;231702705,231702709
IMPASSE;Impasse La Bataille;LA BATAILLE;BATAILLE;199352133
IMPASSE;Impasse des Tisserands;DES TISSERANDS;TISSERANDS;199352244
IMPASSE;Impasse du Mur;DU MUR;MUR;199352018
IMPASSE;Impasse du Puits;DU PUITS;PUITS;199352016
;L'Aquitaine;L AQUITAINE;AQUITAINE;32758571,32763280,124857377,124857378,124857380,124857384,489357880
;Le Petit Arcejac;LE PETIT ARCEJAC;ARCEJAC;265759885
;Les Bouleaux;LES BOULEAUX;BOULEAUX;198429248
ROUTE;Route de Crazannes;DE CRAZANNES;CRAZANNES;49786517
ROUTE;Route de Font Morte;DE FONT MORTE;MORTE;49786521,49786522
ROUTE;Route de Neuil-les-Saintes à Port d’Envaux;DE NEUIL LES SAINTES A PORT D’ENVAUX;D’ENVAUX;49786525
ROUTE;Route de Peu Volant;DE PEU VOLANT;VOLANT;42999732
ROUTE;Route de Plassay;DE PLASSAY;PLASSAY;371922440,384167325
ROUTE;Route de Saint-Georges;DE SAINT GEORGES;GEORGES;199351913
ROUTE;Route de Saint-Thomas;DE SAINT THOMAS;THOMAS;198429126
ROUTE;Route de Taillebourg;DE TAILLEBOURG;TAILLEBOURG;199352243,206225479
ROUTE;Route de la Vignerie;DE LA VIGNERIE;VIGNERIE;49786523
ROUTE;Route des Barres;DES BARRES;BARRES;198429122
ROUTE;Route des Bourrons;DES BOURRONS;BOURRONS;293286444
ROUTE;Route des Gillardeaux;DES GILLARDEAUX;GILLARDEAUX;48979585
RUE;Rue de l'Église;DE L EGLISE;EGLISE;199352014
RUE;Rue de la Forge;DE LA FORGE;FORGE;199352134
RUE;Rue de la Vignerie;DE LA VIGNERIE;VIGNERIE;49786526
RUE;Rue du Bourg;DU BOURG;BOURG;42716562
RUE;Rue du Centre;DU CENTRE;CENTRE;293285600
