voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin du Plantis;DU PLANTIS;PLANTIS;57729907
IMPASSE;Impasse Arnaud;ARNAUD;VERGER;57729880
IMPASSE;Impasse de la Cour Carrée;DE LA COUR CARREE;CARREE;57729897,57729921
IMPASSE;Impasse de la Liberté;DE LA LIBERTE;LIBERTE;57729871
IMPASSE;Impasse des Bergères;DES BERGERES;BERGERES;57729864
IMPASSE;Impasse des Iris;DES IRIS;IRIS;57729928
IMPASSE;Impasse des Jardins;DES JARDINS;JARDINS;57729906
IMPASSE;Impasse des Rosiers;DES ROSIERS;ROSIERS;57729925
IMPASSE;Impasse du Marronnier;DU MARRONNIER;MARRONNIER;57729900
IMPASSE;Impasse du Puits;DU PUITS;PUITS;57729911
RUE;Rue Principale;PRINCIPALE;PASSEROSES;57729890
RUE;Rue de Jarnac;DE JARNAC;JARNAC;57729922
RUE;Rue de Malémont;DE MALEMONT;MALEMONT;57729929
RUE;Rue de l'Ancien Four;DE L ANCIEN FOUR;FOUR;57729926
RUE;Rue de la Forge;DE LA FORGE;FORGE;57729869
RUE;Rue de la Pompe;DE LA POMPE;POMPE;57680905
RUE;Rue de la Touche Ronde;DE LA TOUCHE RONDE;RONDE;57729866,57729881
RUE;Rue des Ayres;DES AYRES;AYRES;57729904,57729915
RUE;Rue des Lauriers;DES LAURIERS;LAURIERS;57729905
RUE;Rue des Lilas;DES LILAS;LILAS;57729923
RUE;Rue des Ormeaux;DES ORMEAUX;ORMEAUX;57729886
RUE;Rue des Passeroses;DES PASSEROSES;PASSEROSES;57729889
RUE;Rue des Pervenches;DES PERVENCHES;PERVENCHES;57729870
RUE;Rue des Peupliers;DES PEUPLIERS;PEUPLIERS;57729918
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;57729874
RUE;Rue des Treilles;DES TREILLES;TREILLES;57729930
RUE;Rue des Vallées;DES VALLEES;VALLEES;57729852
RUE;Rue des Écoles;DES ECOLES;ECOLES;57729861
RUE;Rue du Cateau;DU CATEAU;CATEAU;57729892
RUE;Rue du Château;DU CHATEAU;CHATEAU;57729883
RUE;Rue du Chêne;DU CHENE;CHENE;57729927
RUE;Rue du Moulin du Verger;DU MOULIN DU VERGER;VERGER;57729879
RUE;Rue du Soleil Levant;DU SOLEIL LEVANT;LEVANT;333646345
RUE;Rue du Vieux Porche;DU VIEUX PORCHE;PORCHE;57729878
