voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue André Malraux;ANDRE MALRAUX;MALRAUX;42527257,42958225,42992192
AVENUE;Avenue Bernard Chambenoit;BERNARD CHAMBENOIT;CHAMBENOIT;204146502,294081914,294081919
AVENUE;Avenue Liotard;LIOTARD;VERDUN;204147799
AVENUE;Avenue René Caillé;RENE CAILLE;CAILLE;42958223
AVENUE;Avenue du Maréchal Leclerc;DU MARECHAL LECLERC;LECLERC;42527259,204179490,204179491,294081905
CHEMIN;Chemin Vert;VERT;CHAMBENOIT;204146503,385833451
CHEMIN;Chemin de Bessec;DE BESSEC;BESSEC;204146505
CHEMIN;Chemin de Gâte Chou;DE GATE CHOU;CHOU;207564116
CHEMIN;Chemin de Paluaud;DE PALUAUD;PALUAUD;204180383
CHEMIN;Chemin de la Baronnie;DE LA BARONNIE;BARONNIE;288905940
CHEMIN;Chemin des Champs;DES CHAMPS;CHAMPS;421018549
CHEMIN;Chemin des Guilloteaux;DES GUILLOTEAUX;GUILLOTEAUX;204180381,204180386
CHEMIN;Chemin des Prevautes;DES PREVAUTES;PREVAUTES;204146501
CHEMIN;Chemin du Jard;DU JARD;JARD;204149124
IMPASSE;Impasse Atelier Relais;ATELIER RELAIS;RELAIS;461930418
IMPASSE;Impasse de Liauze;DE LIAUZE;LIAUZE;461930415
IMPASSE;Impasse de la Madeleine;DE LA MADELEINE;MADELEINE;204152060
IMPASSE;Impasse des Lauriers;DES LAURIERS;LAURIERS;334823128
IMPASSE;Impasse du Château;DU CHATEAU;CHATEAU;334822536
IMPASSE;Impasse du Moulin du Fort;DU MOULIN DU FORT;FORT;288284495
PLACE;Place du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;204148762
;Poirier Blanc;POIRIER BLANC;BLANC;204381054
ROUTE;Route de Champagne;DE CHAMPAGNE;CHAMPAGNE;42958224
ROUTE;Route de Trizay;DE TRIZAY;TRIZAY;204239327
ROUTE;Route de l'E^pinard;DE L E^PINARD;E^PINARD;204356504
ROUTE;Route de la Coutelière;DE LA COUTELIERE;COUTELIERE;204356506
ROUTE;Route de la Pouchaume;DE LA POUCHAUME;POUCHAUME;42991782
RUE;Rue André Daunas;ANDRE DAUNAS;DAUNAS;204239667
RUE;Rue Bienassis;BIENASSIS;LEPIE;288905661,288905662
RUE;Rue Bouhet;BOUHET;ALZON;361634963
RUE;Rue Claire Pertus;CLAIRE PERTUS;PERTUS;204239330
RUE;Rue Claude Mithonneau;CLAUDE MITHONNEAU;MITHONNEAU;204146507
RUE;Rue Emmanuel d'Alzon;EMMANUEL D ALZON;ALZON;361634960
RUE;Rue Jules Favre;JULES FAVRE;FAVRE;42991768,334822547
RUE;Rue Nicolas Appert;NICOLAS APPERT;APPERT;200303888
RUE;Rue Nicolas Conté;NICOLAS CONTE;CONTE;200303886
RUE;Rue Port Paradis;PORT PARADIS;PARADIS;42991769
RUE;Rue Roland Moreno;ROLAND MORENO;MORENO;461930419
RUE;Rue Saint-Michel;SAINT MICHEL;MICHEL;294081916,334823243
RUE;Rue Valère Corbinaud;VALERE CORBINAUD;CORBINAUD;204152058
RUE;Rue de Liauze;DE LIAUZE;LIAUZE;204355730
RUE;Rue de Verdun;DE VERDUN;VERDUN;204147797,204148763,294081920,361637133
RUE;Rue de la Cadorette;DE LA CADORETTE;CADORETTE;204152056
RUE;Rue de la Coutelière;DE LA COUTELIERE;COUTELIERE;461930413
RUE;Rue de la Foire;DE LA FOIRE;FOIRE;42991785
RUE;Rue de la Grande Gitte;DE LA GRANDE GITTE;GITTE;361637650
RUE;Rue de la Lirette;DE LA LIRETTE;LIRETTE;204152055
RUE;Rue de la Piazère;DE LA PIAZERE;PIAZERE;204356508
RUE;Rue des Allards;DES ALLARDS;ALLARDS;204152061,204239328,364464589
RUE;Rue des Falaises;DES FALAISES;FALAISES;204148504
RUE;Rue des Frênes;DES FRENES;FRENES;279646627
RUE;Rue des Grands Champs;DES GRANDS CHAMPS;CHAMPS;121668334
RUE;Rue des Géraniums;DES GERANIUMS;GERANIUMS;204238279,204238281
RUE;Rue des Lilas;DES LILAS;LILAS;204238283
RUE;Rue des Places;DES PLACES;PLACES;187978611,294050358
RUE;Rue des Remparts;DES REMPARTS;REMPARTS;204148760
RUE;Rue du 19 Mars 1962;DU 19 MARS 1962;1962;204152053
RUE;Rue du Clône du Loup;DU CLONE DU LOUP;LOUP;204146504
RUE;Rue du Corps de Garde;DU CORPS DE GARDE;GARDE;288807862
RUE;Rue du Docteur Gilbert;DU DOCTEUR GILBERT;GILBERT;204239329
RUE;Rue du Grand Fief;DU GRAND FIEF;FIEF;204147803
RUE;Rue du Sénéchal;DU SENECHAL;SENECHAL;288807864
RUE;Rue du Temple;DU TEMPLE;TEMPLE;204149122
RUE;Rue du Vieux Pont;DU VIEUX PONT;PONT;42991783,204147800,204179489,204179492
RUELLE;Ruelle Maurice Lepie;MAURICE LEPIE;LEPIE;288905660
VOIE;Voie Romaine;ROMAINE;VERDUN;204147801
