voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Roche;DE LA ROCHE;ROCHE;200668411
IMPASSE;Impasse de la Varenne;DE LA VARENNE;VARENNE;231938221
IMPASSE;Impasse du Trieur;DU TRIEUR;TRIEUR;200668435
ROUTE;Route de Mauzé;DE MAUZE;MAUZE;295310102
RUE;Rue de Gâtine;DE GATINE;GATINE;321827396
RUE;Rue de l'Arceau;DE L ARCEAU;ARCEAU;200668392
RUE;Rue de l'Aunis;DE L AUNIS;AUNIS;231927891
RUE;Rue de l'Ecole;DE L ECOLE;ECOLE;200668362,231939262
RUE;Rue de l'Usine;DE L USINE;USINE;295310105
RUE;Rue de la Croix;DE LA CROIX;CROIX;295310108
RUE;Rue de la Goronnerie;DE LA GORONNERIE;GORONNERIE;321827277
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;321827260
RUE;Rue de la Mare;DE LA MARE;MARE;200668372,231939263
RUE;Rue de la Mortagne;DE LA MORTAGNE;MORTAGNE;200668406
RUE;Rue de la Planification;DE LA PLANIFICATION;PLANIFICATION;231939245,272678751
RUE;Rue de la Ramée;DE LA RAMEE;RAMEE;321827268
RUE;Rue des Noyers;DES NOYERS;NOYERS;295310110
RUE;Rue des Quatre Vents;DES QUATRE VENTS;VENTS;200668357
RUE;Rue du Bossay;DU BOSSAY;BOSSAY;231927880
RUE;Rue du Mignon;DU MIGNON;MIGNON;200668391
RUE;Rue du Puits;DU PUITS;PUITS;200668452
RUE;Rue du Stade;DU STADE;STADE;272678748
