voie;name;name_norm;last_word_norm;ways
ALLEE;Allée William Bouguereau;WILLIAM BOUGUEREAU;BOUGUEREAU;460155212
ALLEE;Allée des Alouettes;DES ALOUETTES;ALOUETTES;459319337
ALLEE;Allée des Demoiselles;DES DEMOISELLES;DEMOISELLES;129199404
ALLEE;Allée des Genêts;DES GENETS;GENETS;129198496
CHEMIN;Chemin de Pommerou;DE POMMEROU;POMMEROU;79813539,305844831
CHEMIN;Chemin de la Colonie;DE LA COLONIE;COLONIE;79813551
CHEMIN;Chemin de la Pierre Levée;DE LA PIERRE LEVEE;LEVEE;391368163
CHEMIN;Chemin du Paradis;DU PARADIS;PARADIS;46963576
COUR;Cour des Camélias;DES CAMELIAS;CAMELIAS;129206586
COUR;Cour des Gardes;DES GARDES;GARDES;459319335
COUR;Cour des Iris;DES IRIS;IRIS;460155209
COUR;Cour des Mimosas;DES MIMOSAS;MIMOSAS;46962310
COUR;Cour des Sports;DES SPORTS;SPORTS;432213545
COURS;Cours de Judée;DE JUDEE;JUDEE;129199400
;Le Petit Renclos;LE PETIT RENCLOS;RENCLOS;131748032
PLACE;Place des Chênes Verts;DES CHENES VERTS;VERTS;129201765,228209124
;Quéreux des Écoles;QUEREUX DES ECOLES;ECOLES;460155208
ROUTE;Route de Dompierre;DE DOMPIERRE;DOMPIERRE;72181957
ROUTE;Route de La Jarne;DE LA JARNE;JARNE;305572936
RUE;Rue Auguste Jouineau;AUGUSTE JOUINEAU;JOUINEAU;129199403
RUE;Rue Claude Monet;CLAUDE MONET;MONET;122704203
RUE;Rue Henri Matisse;HENRI MATISSE;MATISSE;460155213
RUE;Rue Néchalier;NECHALIER;PLATANES;46962520,183879448
RUE;Rue Paul Cézanne;PAUL CEZANNE;CEZANNE;122704202
RUE;Rue Paul Gauguin;PAUL GAUGUIN;GAUGUIN;228205493
RUE;Rue Villa Donatien;VILLA DONATIEN;DONATIEN;129206908,432213546
RUE;Rue de Galbar;DE GALBAR;GALBAR;228208371
RUE;Rue de La Rochelle;DE LA ROCHELLE;ROCHELLE;79812861,129206907,305525821
RUE;Rue de Nice;DE NICE;NICE;86347351
RUE;Rue de Périgny;DE PERIGNY;PERIGNY;46963578
RUE;Rue de l'Église;DE L EGLISE;EGLISE;46923473,46963577
RUE;Rue de la Forge;DE LA FORGE;FORGE;129201774,217924411
RUE;Rue des Acacias;DES ACACIAS;ACACIAS;129199391
RUE;Rue des Bleuets;DES BLEUETS;BLEUETS;46923474
RUE;Rue des Blés d'Or;DES BLES D OR;OR;46923467
RUE;Rue des Cerisiers;DES CERISIERS;CERISIERS;129206587
RUE;Rue des Charbonniers;DES CHARBONNIERS;CHARBONNIERS;46963682
RUE;Rue des Charmes;DES CHARMES;CHARMES;129198479,129198483
RUE;Rue des Coquelicots;DES COQUELICOTS;COQUELICOTS;46923472
RUE;Rue des Cyprès;DES CYPRES;CYPRES;129199402
RUE;Rue des Demoiselles;DES DEMOISELLES;DEMOISELLES;129199398
RUE;Rue des Frênes;DES FRENES;FRENES;129198487
RUE;Rue des Gardes;DES GARDES;GARDES;46923569
RUE;Rue des Gentilshommes;DES GENTILSHOMMES;GENTILSHOMMES;46961754
RUE;Rue des Lilas;DES LILAS;LILAS;129206589
RUE;Rue des Magnolias;DES MAGNOLIAS;MAGNOLIAS;129206590
RUE;Rue des Mouettes;DES MOUETTES;MOUETTES;46961753,129199392
RUE;Rue des Murs;DES MURS;MURS;46963683
RUE;Rue des Mésanges;DES MESANGES;MESANGES;46923470
RUE;Rue des Palombes;DES PALOMBES;PALOMBES;129199401
RUE;Rue des Platanes;DES PLATANES;PLATANES;46962311
RUE;Rue des Tamaris;DES TAMARIS;TAMARIS;460155211
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;86347354
RUE;Rue des Tourterelles;DES TOURTERELLES;TOURTERELLES;129199393
RUE;Rue des Trainelles;DES TRAINELLES;TRAINELLES;71244188
RUE;Rue des Écoles;DES ECOLES;ECOLES;46962521,86217853
RUE;Rue des Érables;DES ERABLES;ERABLES;129206909
RUE;Rue du 19 Mars 1962;DU 19 MARS 1962;1962;46923477
RUE;Rue du Centre;DU CENTRE;CENTRE;46962523
RUE;Rue du Clou;DU CLOU;CLOU;46923469
RUE;Rue du Couvent;DU COUVENT;COUVENT;46962522
RUE;Rue du Four;DU FOUR;FOUR;129201768
RUE;Rue du Grand Fief;DU GRAND FIEF;FIEF;129198489
RUE;Rue du Gymnase;DU GYMNASE;GYMNASE;432213547
RUE;Rue du Logis du Vivier;DU LOGIS DU VIVIER;VIVIER;432213548
RUE;Rue du Marronnier;DU MARRONNIER;MARRONNIER;60558062
RUE;Rue du Mazureau;DU MAZUREAU;MAZUREAU;46963681
RUE;Rue du Moulin;DU MOULIN;MOULIN;86347352
RUE;Rue du Parc;DU PARC;PARC;129201766,129203490
SENTIER;Sentier du Couvent;DU COUVENT;COUVENT;129206585,662694410
