voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Écoles;DES ECOLES;ECOLES;124023523
CHEMIN;Chemin Vert;VERT;VERT;305693917
CHEMIN;Chemin de la Gâchette;DE LA GACHETTE;GACHETTE;124023517,305704078
CHEMIN;Chemin des Vignes;DES VIGNES;VIGNES;231951190
CHEMIN;Chemin du Moulin de la Pierre;DU MOULIN DE LA PIERRE;PIERRE;124045635
;Grande Rue;GRANDE RUE;RUE;305704079
IMPASSE;Impasse Roland Garros;ROLAND GARROS;GARROS;225662624
IMPASSE;Impasse des Cougnauds;DES COUGNAUDS;COUGNAUDS;303336654
IMPASSE;Impasse des Quatre Vents;DES QUATRE VENTS;VENTS;124023500
LOTISSEMENT;Lotissement de la Romigère;DE LA ROMIGERE;ROMIGERE;124023516
;Lottissement du Fief Buchet;LOTTISSEMENT DU FIEF BUCHET;BUCHET;124045626,124045644
RUE;Rue Chantemerle;CHANTEMERLE;CHANTEMERLE;124045606,124045627,231951191
RUE;Rue Traversière;TRAVERSIERE;TRAVERSIERE;124023515
RUE;Rue de l'Ermitage;DE L ERMITAGE;ERMITAGE;124045639
RUE;Rue de l'Église;DE L EGLISE;EGLISE;124023498
RUE;Rue de la Barbotière;DE LA BARBOTIERE;BARBOTIERE;96106483,122899587,306081697
RUE;Rue de la Commanderie;DE LA COMMANDERIE;COMMANDERIE;305685100,305685101
RUE;Rue de la Garenne;DE LA GARENNE;GARENNE;334705459
RUE;Rue de la Romigère;DE LA ROMIGERE;ROMIGERE;305828621
RUE;Rue des Babigeotiers;DES BABIGEOTIERS;BABIGEOTIERS;303336689
RUE;Rue des Fours à Sel;DES FOURS A SEL;SEL;124023518
RUE;Rue des Majolières;DES MAJOLIERES;MAJOLIERES;124023501,305685094
RUE;Rue des Petits Bonneveaux;DES PETITS BONNEVEAUX;BONNEVEAUX;96106487
RUE;Rue des Templiers;DES TEMPLIERS;TEMPLIERS;305685103
RUE;Rue des Terriers;DES TERRIERS;TERRIERS;119923003,119923006,119923023,500944829
RUE;Rue du Bois de l'Angle;DU BOIS DE L ANGLE;ANGLE;124023495,124023508
RUE;Rue du Marais Doux;DU MARAIS DOUX;DOUX;124023885
RUE;Rue du Moulin du Bel Air;DU MOULIN DU BEL AIR;AIR;25622352,305693918
RUE;Rue du Viel Ormeau;DU VIEL ORMEAU;ORMEAU;124023506,305694586
RUE;Rue sous Marrons;SOUS MARRONS;MARRONS;86207518,334693597,334693598
