voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue de l'Océan;DE L OCEAN;OCEAN;199151551,231208739
CHEMIN;Chemin Bas;BAS;BAS;142337382
CHEMIN;Chemin de la Garousserie;DE LA GAROUSSERIE;GAROUSSERIE;199151262
CHEMIN;Chemin de la Prairie;DE LA PRAIRIE;PRAIRIE;142337395
CHEMIN;Chemin des Grands Champs;DES GRANDS CHAMPS;CHAMPS;142337383
CHEMIN;Chemin des Granges;DES GRANGES;GRANGES;231224795
IMPASSE;Impasse des Frênes;DES FRENES;FRENES;142337398
IMPASSE;Impasse des Grands Champs;DES GRANDS CHAMPS;CHAMPS;142337387
IMPASSE;Impasse des Portes;DES PORTES;PORTES;258743682
IMPASSE;Impasse du Château;DU CHATEAU;CHATEAU;292100943
IMPASSE;Impasse du Village;DU VILLAGE;VILLAGE;292434144
;L'Aquitaine;L AQUITAINE;AQUITAINE;199354609,203776261,258743644,258743647,258743648,258743649,414702288,414702291
PLACE;Place du Souvernir;DU SOUVERNIR;SOUVERNIR;292434145
;Projet Contournement Sud-Ouest de Saint-Jean d'Angély;PROJET CONTOURNEMENT SUD OUEST DE SAINT JEAN D ANGELY;ANGELY;380065631
ROUTE;Route de Rochefort;DE ROCHEFORT;ROCHEFORT;121914379
RUE;Rue Clément Villeneau;CLEMENT VILLENEAU;VILLENEAU;292100944
RUE;Rue Traversière;TRAVERSIERE;TRAVERSIERE;292434146
RUE;Rue de Ganochaud;DE GANOCHAUD;GANOCHAUD;292100945
RUE;Rue de Saintonge;DE SAINTONGE;SAINTONGE;292100946
RUE;Rue de la Garousserie;DE LA GAROUSSERIE;GAROUSSERIE;49982264
RUE;Rue de la Sablière;DE LA SABLIERE;SABLIERE;292100948
RUE;Rue des Herbages;DES HERBAGES;HERBAGES;258743658
RUE;Rue des Mottes;DES MOTTES;MOTTES;142337391
RUE;Rue des Écluses;DES ECLUSES;ECLUSES;323526328
RUE;Rue du 1er Août 1944;DU 1ER AOUT 1944;1944;203775035
RUE;Rue du Fief du Chêne;DU FIEF DU CHENE;CHENE;122372897
RUE;Rue du Marais;DU MARAIS;MARAIS;292100949
RUE;Rue du Trémaillou;DU TREMAILLOU;TREMAILLOU;203775034
SENTIER;Sentier de l'Église;DE L EGLISE;EGLISE;292434147
