voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Tilleuls;DES TILLEULS;TILLEULS;509197267,509197747
IMPASSE;Impasse du Four;DU FOUR;FOUR;279538418
;L'Aquitaine;L AQUITAINE;AQUITAINE;10275960,23611490
PLACE;Place Charles de Gaulle;CHARLES DE GAULLE;GAULLE;172587002
RUE;Rue Basse;BASSE;BASSE;279537982
RUE;Rue Derrière le Bois;DERRIERE LE BOIS;BOIS;175633026
RUE;Rue de la Cigogne;DE LA CIGOGNE;CIGOGNE;175633008
RUE;Rue des Bleuets;DES BLEUETS;BLEUETS;509204881
RUE;Rue des Fresnaies;DES FRESNAIES;FRESNAIES;201804097
RUE;Rue des Glycines;DES GLYCINES;GLYCINES;401616473
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;201803970
RUE;Rue du Puits;DU PUITS;PUITS;279537977
