voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Crux;DE CRUX;CRUX;201668688
CHEMIN;Chemin de Villers;DE VILLERS;VILLERS;201668693
CHEMIN;Chemin de la Croix Blanche;DE LA CROIX BLANCHE;BLANCHE;201668694
CHEMIN;Chemin de la Vallée;DE LA VALLEE;VALLEE;201673573
CHEMIN;Chemin des Vignes;DES VIGNES;VIGNES;303045529
CHEMIN;Chemin du Domaine de Crux;DU DOMAINE DE CRUX;CRUX;201673555
IMPASSE;Impasse Sainte-Catherine;SAINTE CATHERINE;CATHERINE;201664337
IMPASSE;Impasse de Larré;DE LARRE;LARRE;303045438
IMPASSE;Impasse de Villers;DE VILLERS;VILLERS;201668696
IMPASSE;Impasse de la Chicane;DE LA CHICANE;CHICANE;201202978
IMPASSE;Impasse de la Rue Basse;DE LA RUE BASSE;BASSE;201203987
IMPASSE;Impasse des Traines;DES TRAINES;TRAINES;303045436
IMPASSE;Impasse du Lavoir;DU LAVOIR;LAVOIR;303045437
PLACE;Place de l'Église;DE L EGLISE;EGLISE;201663356
PLACE;Place du Tranchet;DU TRANCHET;TRANCHET;303045440
ROUTE;Route de Baugy;DE BAUGY;BAUGY;303045441
ROUTE;Route de Couy;DE COUY;COUY;139978317
ROUTE;Route de Garigny;DE GARIGNY;GARIGNY;285016944,463910669,463910670
ROUTE;Route de Gron;DE GRON;GRON;201664210
ROUTE;Route de Laverdines;DE LAVERDINES;LAVERDINES;201662773,529548613
ROUTE;Route de Mornay;DE MORNAY;MORNAY;201663358,201663409,463910673,463910674,529548606
ROUTE;Route de Villequiers;DE VILLEQUIERS;VILLEQUIERS;139978267,289723606
RUE;Rue Basse;BASSE;CHATEAU;201201957
RUE;Rue de Clanay;DE CLANAY;CLANAY;303045443
RUE;Rue de la Chicane;DE LA CHICANE;CHICANE;201202976
RUE;Rue de la Croix de Pierre;DE LA CROIX DE PIERRE;PIERRE;201200590
RUE;Rue de la Garenne;DE LA GARENNE;GARENNE;201201954
RUE;Rue de la Liberté;DE LA LIBERTE;LIBERTE;201200589,529548609
RUE;Rue des Hauts de Sainte-Catherine;DES HAUTS DE SAINTE CATHERINE;CATHERINE;201203669
RUE;Rue des Thuyas;DES THUYAS;THUYAS;201202975
RUE;Rue du 19 Mars 1962;DU 19 MARS 1962;1962;201663004
RUE;Rue du 8 Mai 1945;DU 8 MAI 1945;1945;201663468
RUE;Rue du Château;DU CHATEAU;CHATEAU;201201955
RUE;Rue du Grallet;DU GRALLET;GRALLET;201202392,368098535,368098536
RUE;Rue du Moulin de la Ville;DU MOULIN DE LA VILLE;VILLE;201200592
