voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de l'Ayguade;DE L AYGUADE;AYGUADE;242579938
CHEMIN;Chemin des Baules;DES BAULES;BAULES;348493979
CHEMIN;Chemin du Champ Laudrier;DU CHAMP LAUDRIER;LAUDRIER;399540279
IMPASSE;Impasse du Pré Châtel;DU PRE CHATEL;CHATEL;348430151
;P-O-Corrèze;P O CORREZE;CORREZE;348587002,451064850,451064851
PLACE;Place de l'Église;DE L EGLISE;EGLISE;399540273
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;399540275
ROUTE;Route Henri de Bournazel;HENRI DE BOURNAZEL;BOURNAZEL;227668161
ROUTE;Route de Blanchefort;DE BLANCHEFORT;BLANCHEFORT;170609321
ROUTE;Route de l'Étang Pontet;DE L ETANG PONTET;PONTET;348300748
ROUTE;Route de la Fageardie;DE LA FAGEARDIE;FAGEARDIE;227628034
ROUTE;Route des Moulins;DES MOULINS;MOULINS;349581597
ROUTE;Route du Foirail;DU FOIRAIL;FOIRAIL;140829917
RUE;Rue de Coq Hardi;DE COQ HARDI;HARDI;140841734
RUE;Rue de la Forge;DE LA FORGE;FORGE;348494023
RUE;Rue du Curé Gaillot;DU CURE GAILLOT;GAILLOT;348494022
RUE;Rue du Mas des Rivaux;DU MAS DES RIVAUX;RIVAUX;349581598
RUE;Rue du Pradel;DU PRADEL;PRADEL;227668156
