voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin du Château;DU CHATEAU;CHATEAU;191043968,341854607
IMPASSE;Impasse des Chenevottes;DES CHENEVOTTES;CHENEVOTTES;246847969
IMPASSE;Impasse des Crêts;DES CRETS;CRETS;246847970
IMPASSE;Impasse des Macherelles;DES MACHERELLES;MACHERELLES;246847971
IMPASSE;Impasse des Vergers;DES VERGERS;VERGERS;246847972
IMPASSE;Impasse des Éporteaux;DES EPORTEAUX;EPORTEAUX;246847973
;Morgeot;MORGEOT;MORGEOT;161278651,339231444,339231476
;Petite Rue;PETITE RUE;RUE;246847974
PLACE;Place Saint-Martin;SAINT MARTIN;MARTIN;246847975,246847976
PLACE;Place de l'Europe;DE L EUROPE;EUROPE;246847977,246847979
PLACE;Place de l'Église;DE L EGLISE;EGLISE;246847980
PLACE;Place des Noyers;DES NOYERS;NOYERS;161278673
PLACE;Place du Grand Four;DU GRAND FOUR;FOUR;246617678,246847981
PLACE;Place du Grand Puits;DU GRAND PUITS;PUITS;246847983
ROUTE;Route Nationale;NATIONALE;NATIONALE;292166039,398488501,398488502,616008641,616008646
ROUTE;Route de Chagny;DE CHAGNY;CHAGNY;235427239,292166040,292166042,292166043,435052590,548844355,548852064,548852066,616008607
ROUTE;Route de Santenay;DE SANTENAY;SANTENAY;176158085,283613869,283613870
RUE;Rue Aligoté;ALIGOTE;ALIGOTE;514324812
RUE;Rue Chardonnay;CHARDONNAY;CHARDONNAY;402921970,410330178
RUE;Rue Charles Paquelin;CHARLES PAQUELIN;PAQUELIN;246847984
RUE;Rue Cour Basse;COUR BASSE;BASSE;341854609
RUE;Rue Notre-Dame;NOTRE DAME;DAME;161278660
RUE;Rue Pinot Noir;PINOT NOIR;NOIR;447892574,447892576
RUE;Rue Principale;PRINCIPALE;PRINCIPALE;82792296
RUE;Rue de Chêne;DE CHENE;CHENE;246617677
RUE;Rue de Combards;DE COMBARDS;COMBARDS;246847986
RUE;Rue de la Capitaine;DE LA CAPITAINE;CAPITAINE;435052585
RUE;Rue de la Murée;DE LA MUREE;MUREE;246847988,246847991
RUE;Rue des Bellemontes;DES BELLEMONTES;BELLEMONTES;246847993
RUE;Rue des Carrières;DES CARRIERES;CARRIERES;246617674,246617679,246847995
RUE;Rue des Champgains;DES CHAMPGAINS;CHAMPGAINS;29234970
RUE;Rue des Champs Gains;DES CHAMPS GAINS;GAINS;29232326,246847997,246848000
RUE;Rue des Farges;DES FARGES;FARGES;238231946
RUE;Rue des Lombardes;DES LOMBARDES;LOMBARDES;238231949
RUE;Rue des Marolles;DES MAROLLES;MAROLLES;246848001
RUE;Rue du Chat Noir;DU CHAT NOIR;NOIR;251819463
RUE;Rue du Cimetière;DU CIMETIERE;CIMETIERE;246848003,246848004
RUE;Rue du Clos Saint-Jean;DU CLOS SAINT JEAN;JEAN;246848014
RUE;Rue du Grand Puits;DU GRAND PUITS;PUITS;246848005,246848006
RUE;Rue du Nord;DU NORD;NORD;246848002
RUE;Rue du Parc;DU PARC;PARC;246848007,246848008
RUE;Rue du Parterre;DU PARTERRE;PARTERRE;246848009
RUE;Rue du Petit Puits;DU PETIT PUITS;PUITS;246617676
RUE;Rue du Village;DU VILLAGE;VILLAGE;246848010
RUELLE;Ruelle des Rebichets;DES REBICHETS;REBICHETS;246848011
