voie;name;name_norm;last_word_norm;ways
AIRE;Aire d'Époisses;D EPOISSES;EPOISSES;174929279
AUTOROUTE;Autoroute du Soleil;DU SOLEIL;SOLEIL;54225287,94651705
CHEMIN;Chemin de l'Aubépin;DE L AUBEPIN;AUBEPIN;431531645
CHEMIN;Chemin de la Carotte;DE LA CAROTTE;CAROTTE;667684371
COUR;Cour des Éperons;DES EPERONS;EPERONS;431531647,431531648
IMPASSE;Impasse de l'Échauguette;DE L ECHAUGUETTE;ECHAUGUETTE;431531651
IMPASSE;Impasse du Pré de Manche;DU PRE DE MANCHE;MANCHE;237796150
PLACE;Place Clair Foyer;CLAIR FOYER;FOYER;98632187
PLACE;Place de Pouilly;DE POUILLY;POUILLY;237796142
PLACE;Place du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;431531652
PLACE;Place du Jeu de Paume;DU JEU DE PAUME;PAUME;431531653
PLACE;Place du Morvan;DU MORVAN;MORVAN;431531654
ROUTE;Route de Sévigné;DE SEVIGNE;SEVIGNE;431531655
ROUTE;Route du Marais;DU MARAIS;MARAIS;237124951
ROUTE;Route du Serein;DU SEREIN;SEREIN;431531656
RUE;Rue d'Avallon;D AVALLON;AVALLON;431531657,639690393
RUE;Rue de Bourgogne;DE BOURGOGNE;BOURGOGNE;98632212
RUE;Rue de Lorzweiler;DE LORZWEILER;LORZWEILER;98632188,98632222
RUE;Rue de Savigny;DE SAVIGNY;SAVIGNY;98632183
RUE;Rue de Semur;DE SEMUR;SEMUR;159838255,632013303
RUE;Rue de Vassy;DE VASSY;VASSY;431531659
RUE;Rue de Vieux Château;DE VIEUX CHATEAU;CHATEAU;98634615
RUE;Rue de l'Auxois;DE L AUXOIS;AUXOIS;98634623,98634631
RUE;Rue de l'Étang;DE L ETANG;ETANG;431531660
RUE;Rue de la Gare;DE LA GARE;GARE;431531661
RUE;Rue de la Piscine;DE LA PISCINE;PISCINE;98634616
RUE;Rue de la Sagesse;DE LA SAGESSE;SAGESSE;431531662
RUE;Rue de la Vigne;DE LA VIGNE;VIGNE;98632211
RUE;Rue des Demoiselles Bert;DES DEMOISELLES BERT;BERT;98632217
RUE;Rue des Forges;DES FORGES;FORGES;98632218
RUE;Rue des Grillons;DES GRILLONS;GRILLONS;98632202
RUE;Rue des Libellules;DES LIBELLULES;LIBELLULES;431531664
RUE;Rue des Lilas;DES LILAS;LILAS;98632184
RUE;Rue des Perrières;DES PERRIERES;PERRIERES;98634628
RUE;Rue des Rosiers;DES ROSIERS;ROSIERS;98632204
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;98632193
RUE;Rue des Éperons;DES EPERONS;EPERONS;431531665
RUE;Rue du 19 Mars 1962;DU 19 MARS 1962;1962;98632194
RUE;Rue du Champ de Foire;DU CHAMP DE FOIRE;FOIRE;98634632
RUE;Rue du Pré Batier;DU PRE BATIER;BATIER;98632189
RUE;Rue du Prés Fleuris;DU PRES FLEURIS;FLEURIS;98634618
RUE;Rue du Stade;DU STADE;STADE;98632195
RUELLE;Ruelle Martin;MARTIN;MARTIN;98634630
RUELLE;Ruelle de la Folie;DE LA FOLIE;FOLIE;98634625
RUELLE;Ruelle du Champ de Foire;DU CHAMP DE FOIRE;FOIRE;431531666
