voie;name;name_norm;last_word_norm;ways
AIRE;Aire de Gevrey Chambertin;DE GEVREY CHAMBERTIN;CHAMBERTIN;463520020,463520024
ALLEE;Allée Jacques Banzin;JACQUES BANZIN;BANZIN;502918919
ALLEE;Allée de Cluny;DE CLUNY;CLUNY;126788105,587327914
ALLEE;Allée de Fonteny;DE FONTENY;FONTENY;126612371
ALLEE;Allée des Droits de l'Homme;DES DROITS DE L HOMME;HOMME;126612373
ALLEE;Allée des Estournelles;DES ESTOURNELLES;ESTOURNELLES;126612375,126612376
;Ancienne Voie Romaine;ANCIENNE VOIE ROMAINE;ROMAINE;78344573,116310453,479582203
AUTOROUTE;Autoroute de Lorraine-Bourgogne;DE LORRAINE BOURGOGNE;BOURGOGNE;4145289,79125540,445228064,445228069,445228088
AVENUE;Avenue de Nierstein;DE NIERSTEIN;NIERSTEIN;126612377
AVENUE;Avenue de Spy;DE SPY;SPY;31520644
AVENUE;Avenue de la Gare;DE LA GARE;GARE;31520643,35905511
CHEMIN;Chemin de Champ Franc;DE CHAMP FRANC;FRANC;126612378
CHEMIN;Chemin de Créot;DE CREOT;CREOT;125399160
CHEMIN;Chemin de Gilly;DE GILLY;GILLY;126612379
CHEMIN;Chemin de Mangay;DE MANGAY;MANGAY;142937865
CHEMIN;Chemin de Pennecière;DE PENNECIERE;PENNECIERE;126612380
CHEMIN;Chemin de l'Argillière;DE L ARGILLIERE;ARGILLIERE;142937876
CHEMIN;Chemin de la Vernotte;DE LA VERNOTTE;VERNOTTE;126612381,126612382
CHEMIN;Chemin des Issarts;DES ISSARTS;ISSARTS;323686241,449064502
CHEMIN;Chemin des Marchais;DES MARCHAIS;MARCHAIS;142942167
CHEMIN;Chemin du Mounlin à Vent;DU MOUNLIN A VENT;VENT;126612383
CHEMIN;Chemin du Mécanon;DU MECANON;MECANON;251737129
IMPASSE;Impasse de Biscutelle;DE BISCUTELLE;BISCUTELLE;126788107
IMPASSE;Impasse des Ophrys;DES OPHRYS;OPHRYS;153523196
PARKING;Parking de la Gare;DE LA GARE;GARE;587323410
PLACE;Place Joliet;JOLIET;GEVREY;323686246
PLACE;Place de la Cure;DE LA CURE;CURE;323686247
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;160654864
PLACE;Place des Lois;DES LOIS;LOIS;221955648,221955649,362597972
PLACE;Place des Marronniers;DES MARRONNIERS;MARRONNIERS;106902410
PLACE;Place du Château;DU CHATEAU;CHATEAU;323686248
PLACE;Place du Monument;DU MONUMENT;MONUMENT;315514084,323684332
ROUTE;Route de Beaune;DE BEAUNE;BEAUNE;323684333,364220659,615374365,615374366,615374367
ROUTE;Route de Dijon;DE DIJON;DIJON;323684334,615374364
ROUTE;Route de Saint-Philibert;DE SAINT PHILIBERT;PHILIBERT;7956817
ROUTE;Route de Saulon;DE SAULON;SAULON;282063081
ROUTE;Route des Grands Crus;DES GRANDS CRUS;CRUS;248268894
RUE;Rue Aquatique;AQUATIQUE;SAULON;283135444,362597988,378204740
RUE;Rue Combe du Dessus;COMBE DU DESSUS;DESSUS;160652088
RUE;Rue Craite Paille;CRAITE PAILLE;PAILLE;126788111
RUE;Rue Debeaumarché;DEBEAUMARCHE;GILLY;126612386
RUE;Rue Gaston Roupnel;GASTON ROUPNEL;ROUPNEL;323686249
RUE;Rue Haute;HAUTE;ROUPNEL;323686250
RUE;Rue Jean Bouhey;JEAN BOUHEY;BOUHEY;126612387
RUE;Rue Mazagran;MAZAGRAN;PUJO;323686259
RUE;Rue Neuve;NEUVE;TISON;142937856,142939488
RUE;Rue Paul Martin;PAUL MARTIN;MARTIN;47897443,399913259,399913260
RUE;Rue Richebourg;RICHEBOURG;HALLES;56002604,319929337
RUE;Rue Saint-Vincent;SAINT VINCENT;VINCENT;126788114
RUE;Rue Souvert;SOUVERT;MONUMENT;323684325
RUE;Rue Yves de Poisey;YVES DE POISEY;POISEY;142937863
RUE;Rue d'En Songe;D EN SONGE;SONGE;142937860
RUE;Rue de Champerrier;DE CHAMPERRIER;CHAMPERRIER;95684991,283135450,362598006
RUE;Rue de Curley;DE CURLEY;CURLEY;323686251
RUE;Rue de Fontaine de Bergis;DE FONTAINE DE BERGIS;BERGIS;126788123
RUE;Rue de Gaizot;DE GAIZOT;GAIZOT;221955650
RUE;Rue de Gevrey;DE GEVREY;GEVREY;323686242
RUE;Rue de Gilly;DE GILLY;GILLY;126612385
RUE;Rue de Lavaux;DE LAVAUX;LAVAUX;283135447
RUE;Rue de Meixvelle;DE MEIXVELLE;MEIXVELLE;142937871
RUE;Rue de Paris;DE PARIS;PARIS;323686252
RUE;Rue de Planteligone;DE PLANTELIGONE;PLANTELIGONE;142942166
RUE;Rue de Saulon;DE SAULON;SAULON;47897032,47897047
RUE;Rue de l'Ancien Hôpital;DE L ANCIEN HOPITAL;HOPITAL;144072493
RUE;Rue de l'Ancienne Poste;DE L ANCIENNE POSTE;POSTE;116145914
RUE;Rue de l'Aumonerie;DE L AUMONERIE;AUMONERIE;263923131
