voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Tilleuls;DES TILLEULS;TILLEULS;167174581
CHEMIN;Chemin des Courtiers;DES COURTIERS;COURTIERS;167169792,167186949,167187318
CHEMIN;Chemin des Vaches;DES VACHES;VACHES;589534282
CHEMIN;Chemin du Corgeot;DU CORGEOT;CORGEOT;167186950
ROUTE;Route de Faverolles;DE FAVEROLLES;FAVEROLLES;167174583
RUE;Rue de Buxerolles;DE BUXEROLLES;BUXEROLLES;347620680
RUE;Rue de Chambain;DE CHAMBAIN;CHAMBAIN;167186615
RUE;Rue de l'Église;DE L EGLISE;EGLISE;167069910
RUE;Rue de la Charme;DE LA CHARME;CHARME;167172909
RUE;Rue des Paux;DES PAUX;PAUX;167069911
RUE;Rue des Roches;DES ROCHES;ROCHES;167069912
RUE;Rue du Bourg;DU BOURG;BOURG;167186616,347620681
RUE;Rue du Petit Tertre;DU PETIT TERTRE;TERTRE;167069913
RUE;Rue du Tertre;DU TERTRE;TERTRE;167069914
