voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Pièces;DES PIECES;PIECES;187900444
AVENUE;Avenue de la 1re Armée;DE LA 1RE ARMEE;ARMEE;196832038,281599162
IMPASSE;Impasse Clos Pauline;CLOS PAULINE;PAULINE;429902654
IMPASSE;Impasse Eugène Talmot;EUGENE TALMOT;TALMOT;187900429
IMPASSE;Impasse Raymond Rameau;RAYMOND RAMEAU;RAMEAU;187900448
IMPASSE;Impasse René Roussey;RENE ROUSSEY;ROUSSEY;187900437
IMPASSE;Impasse de la Croix Blanche;DE LA CROIX BLANCHE;BLANCHE;368357650
IMPASSE;Impasse de la Tille;DE LA TILLE;TILLE;196832041
IMPASSE;Impasse des Acacias;DES ACACIAS;ACACIAS;429902655
IMPASSE;Impasse des Cerisiers;DES CERISIERS;CERISIERS;368357652
IMPASSE;Impasse des Dahlias;DES DAHLIAS;DAHLIAS;196832042
IMPASSE;Impasse des Lilas;DES LILAS;LILAS;368357653
IMPASSE;Impasse des Sorbiers;DES SORBIERS;SORBIERS;187900436
IMPASSE;Impasse le Mortier;LE MORTIER;MORTIER;196845835
IMPASSE;Impasse les Charmottes;LES CHARMOTTES;CHARMOTTES;196845836
IMPASSE;Impasse les Pièces;LES PIECES;PIECES;187900449
PETITE RUE;Petite Rue Roncey;RONCEY;PIECES;187900450
ROUTE;Route de Collonges;DE COLLONGES;COLLONGES;187900445,196845837
RUE;Rue Albert Moussy;ALBERT MOUSSY;MOUSSY;187900447
RUE;Rue Amiral Violette;AMIRAL VIOLETTE;VIOLETTE;196845838
RUE;Rue Georges Febvret;GEORGES FEBVRET;FEBVRET;187900428
RUE;Rue Gondevin;GONDEVIN;DAHLIAS;196832045
RUE;Rue Guillaumat;GUILLAUMAT;PARC;187900426
RUE;Rue Général de Gaulle;GENERAL DE GAULLE;GAULLE;187900442
RUE;Rue Jean Moulin;JEAN MOULIN;MOULIN;187900423
RUE;Rue Le Clos du Chevalier;LE CLOS DU CHEVALIER;CHEVALIER;187900451
RUE;Rue Roulotte;ROULOTTE;FORGE;134531039
RUE;Rue de Pluvet;DE PLUVET;PLUVET;196845839
RUE;Rue de la Croix Blanche;DE LA CROIX BLANCHE;BLANCHE;196845840
RUE;Rue de la Croix aux Chevaux;DE LA CROIX AUX CHEVAUX;CHEVAUX;187900434,187900443
RUE;Rue de la Forge;DE LA FORGE;FORGE;134531022
RUE;Rue de la Glacière;DE LA GLACIERE;GLACIERE;187900420
RUE;Rue de la Poste;DE LA POSTE;POSTE;196845841
RUE;Rue des Cités;DES CITES;CITES;196733788
RUE;Rue des Rosiers;DES ROSIERS;ROSIERS;655307874
RUE;Rue du Chanoine Laboureau;DU CHANOINE LABOUREAU;LABOUREAU;196845842
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;187900424
RUE;Rue du Parc;DU PARC;PARC;187900425
RUE;Rue du Poirier Pécaut;DU POIRIER PECAUT;PECAUT;187900439
RUE;Rue du Roncey;DU RONCEY;RONCEY;196845843
RUELLE;Ruelle du Crosne;DU CROSNE;CROSNE;368357688
