voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin Champs Robot;CHAMPS ROBOT;ROBOT;299230639
CHEMIN;Chemin de Chausserose;DE CHAUSSEROSE;CHAUSSEROSE;371783592,589534299
CHEMIN;Chemin de la Couée;DE LA COUEE;COUEE;371786555
IMPASSE;Impasse Davault;DAVAULT;RAIS;371783582
IMPASSE;Impasse du Tacot;DU TACOT;TACOT;589534298
ROUTE;Route Impériale;IMPERIALE;RAIS;360731324
RUE;Rue d'Amont;D AMONT;AMONT;137843326
RUE;Rue d'Avault;D AVAULT;AVAULT;419392574
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;589534297
RUE;Rue de la Mare;DE LA MARE;MARE;589534295
RUE;Rue de la Serrée;DE LA SERREE;SERREE;239335584
RUE;Rue des Aubépins;DES AUBEPINS;AUBEPINS;299230640
RUE;Rue des Chennevierres;DES CHENNEVIERRES;CHENNEVIERRES;589534294
RUE;Rue des Forges;DES FORGES;FORGES;589534293
RUE;Rue des Vignes;DES VIGNES;VIGNES;643633728
RUE;Rue du Bas;DU BAS;BAS;419392597
RUE;Rue du Petit Rouiller;DU PETIT ROUILLER;ROUILLER;239335580
RUE;Rue du Rais;DU RAIS;RAIS;299230641
VOIE;Voie Romaine;ROMAINE;RAIS;300101870
